Granule UR,Producer Granule ID,Start Time,End Time,Cloud Cover,Day/Night,Size
SC:MOD13A2.005:2066873088,MOD13A2.A2002017.h10v05.005.2008290164931.hdf,2002-01-17T00:00:00Z,2002-02-01T23:59:59Z,0,DAY,19.259174
SC:MOD13A2.005:2067101591,MOD13A2.A2002033.h10v05.005.2008292174510.hdf,2002-02-02T00:00:00Z,2002-02-17T23:59:59Z,0,DAY,18.7452
SC:MOD13A2.005:2064615150,MOD13A2.A2002049.h10v05.005.2008235170437.hdf,2002-02-18T00:00:00Z,2002-03-05T23:59:59Z,1,DAY,19.925463
SC:MOD13A2.005:2064731757,MOD13A2.A2002065.h10v05.005.2008238150516.hdf,2002-03-06T00:00:00Z,2002-03-21T23:59:59Z,1,DAY,19.56717
SC:MOD13A2.005:2043059776,MOD13A2.A2002081.h10v05.005.2007137125422.hdf,2002-03-22T00:00:00Z,2002-04-06T23:59:59Z,0,DAY,19.793173
SC:MOD13A2.005:2067160241,MOD13A2.A2002097.h10v05.005.2008295150827.hdf,2002-04-07T00:00:00Z,2002-04-22T23:59:59Z,0,DAY,19.2346
SC:MOD13A2.005:2043286069,MOD13A2.A2002113.h10v05.005.2007145235705.hdf,2002-04-23T00:00:00Z,2002-05-08T23:59:59Z,1,DAY,20.784243
SC:MOD13A2.005:2043393669,MOD13A2.A2002129.h10v05.005.2007150174814.hdf,2002-05-09T00:00:00Z,2002-05-24T23:59:59Z,0,DAY,20.550877
SC:MOD13A2.005:2043509577,MOD13A2.A2002145.h10v05.005.2007156040210.hdf,2002-05-25T00:00:00Z,2002-06-09T23:59:59Z,0,DAY,21.17858
SC:MOD13A2.005:2064789229,MOD13A2.A2002161.h10v05.005.2008241014706.hdf,2002-06-10T00:00:00Z,2002-06-25T23:59:59Z,0,DAY,20.742071
SC:MOD13A2.005:2064921517,MOD13A2.A2002177.h10v05.005.2008244213615.hdf,2002-06-26T00:00:00Z,2002-07-11T23:59:59Z,2,DAY,21.089321
SC:MOD13A2.005:2044209172,MOD13A2.A2002193.h10v05.005.2007177171504.hdf,2002-07-12T00:00:00Z,2002-07-27T23:59:59Z,2,DAY,21.251955
SC:MOD13A2.005:2065003444,MOD13A2.A2002209.h10v05.005.2008247130549.hdf,2002-07-28T00:00:00Z,2002-08-12T23:59:59Z,0,DAY,20.534323
SC:MOD13A2.005:2044740490,MOD13A2.A2002225.h10v05.005.2007193001024.hdf,2002-08-13T00:00:00Z,2002-08-28T23:59:59Z,1,DAY,20.659027
SC:MOD13A2.005:2065031005,MOD13A2.A2002241.h10v05.005.2008248121909.hdf,2002-08-29T00:00:00Z,2002-09-13T23:59:59Z,0,DAY,20.177729
SC:MOD13A2.005:2065275794,MOD13A2.A2002257.h10v05.005.2008255174712.hdf,2002-09-14T00:00:00Z,2002-09-29T23:59:59Z,3,DAY,20.200533
SC:MOD13A2.005:2065167343,MOD13A2.A2002273.h10v05.005.2008253060419.hdf,2002-09-30T00:00:00Z,2002-10-15T23:59:59Z,0,DAY,19.891172
SC:MOD13A2.005:2045812220,MOD13A2.A2002289.h10v05.005.2007222210329.hdf,2002-10-16T00:00:00Z,2002-10-31T23:59:59Z,1,DAY,19.36383
SC:MOD13A2.005:2046128592,MOD13A2.A2002305.h10v05.005.2007231041100.hdf,2002-11-01T00:00:00Z,2002-11-16T23:59:59Z,0,DAY,19.346083
SC:MOD13A2.005:2046562317,MOD13A2.A2002321.h10v05.005.2007239121831.hdf,2002-11-17T00:00:00Z,2002-12-02T23:59:59Z,0,DAY,19.514412
SC:MOD13A2.005:2046994350,MOD13A2.A2002337.h10v05.005.2007247100240.hdf,2002-12-03T00:00:00Z,2002-12-18T23:59:59Z,0,BOTH,19.064314
SC:MOD13A2.005:2065331839,MOD13A2.A2002353.h10v05.005.2008257115127.hdf,2002-12-19T00:00:00Z,2003-01-03T23:59:59Z,0,DAY,19.037071
SC:MOD13A2.005:2047693780,MOD13A2.A2003001.h10v05.005.2007260190246.hdf,2003-01-01T00:00:00Z,2003-01-16T23:59:59Z,0,BOTH,19.385075
SC:MOD13A2.005:2067191054,MOD13A2.A2003017.h10v05.005.2008298150815.hdf,2003-01-17T00:00:00Z,2003-02-01T23:59:59Z,0,BOTH,18.8481
SC:MOD13A2.005:2048575486,MOD13A2.A2003033.h10v05.005.2007275033948.hdf,2003-02-02T00:00:00Z,2003-02-17T23:59:59Z,0,DAY,19.604464
SC:MOD13A2.005:2049053978,MOD13A2.A2003049.h10v05.005.2007285043419.hdf,2003-02-18T00:00:00Z,2003-03-05T23:59:59Z,3,DAY,19.465187
SC:MOD13A2.005:2067236917,MOD13A2.A2003065.h10v05.005.2008301052321.hdf,2003-03-06T00:00:00Z,2003-03-21T23:59:59Z,0,DAY,18.9946
SC:MOD13A2.005:2067367893,MOD13A2.A2003081.h10v05.005.2008306150103.hdf,2003-03-22T00:00:00Z,2003-04-06T23:59:59Z,0,DAY,19.4842
SC:MOD13A2.005:2067480326,MOD13A2.A2003097.h10v05.005.2008309123507.hdf,2003-04-07T00:00:00Z,2003-04-22T23:59:59Z,0,DAY,19.3537
SC:MOD13A2.005:2065688699,MOD13A2.A2003113.h10v05.005.2008267054944.hdf,2003-04-23T00:00:00Z,2003-05-08T23:59:59Z,0,DAY,20.160715
SC:MOD13A2.005:2050926402,MOD13A2.A2003129.h10v05.005.2007322100827.hdf,2003-05-09T00:00:00Z,2003-05-24T23:59:59Z,0,DAY,20.098532
SC:MOD13A2.005:2051023256,MOD13A2.A2003145.h10v05.005.2007324023634.hdf,2003-05-25T00:00:00Z,2003-06-09T23:59:59Z,0,DAY,20.609013
SC:MOD13A2.005:2067560412,MOD13A2.A2003161.h10v05.005.2008312151322.hdf,2003-06-10T00:00:00Z,2003-06-25T23:59:59Z,1,DAY,19.8888
SC:MOD13A2.005:2051893022,MOD13A2.A2003177.h10v05.005.2007337204753.hdf,2003-06-26T00:00:00Z,2003-07-11T23:59:59Z,3,DAY,21.551277
SC:MOD13A2.005:2067611150,MOD13A2.A2003193.h10v05.005.2008314103918.hdf,2003-07-12T00:00:00Z,2003-07-27T23:59:59Z,1,DAY,20.0296
SC:MOD13A2.005:2065754423,MOD13A2.A2003209.h10v05.005.2008268163322.hdf,2003-07-28T00:00:00Z,2003-08-12T23:59:59Z,1,DAY,21.044216
SC:MOD13A2.005:2068659841,MOD13A2.A2003225.h10v05.005.2008320061045.hdf,2003-08-13T00:00:00Z,2003-08-28T23:59:59Z,1,DAY,19.9675
SC:MOD13A2.005:2065905575,MOD13A2.A2003241.h10v05.005.2008270150826.hdf,2003-08-29T00:00:00Z,2003-09-13T23:59:59Z,0,DAY,20.014812
SC:MOD13A2.005:2053400864,MOD13A2.A2003257.h10v05.005.2008003232427.hdf,2003-09-14T00:00:00Z,2003-09-29T23:59:59Z,0,DAY,20.022709
SC:MOD13A2.005:2065453846,MOD13A2.A2003273.h10v05.005.2008260081013.hdf,2003-09-30T00:00:00Z,2003-10-15T23:59:59Z,0,DAY,19.636358
SC:MOD13A2.005:2065585077,MOD13A2.A2003289.h10v05.005.2008263111217.hdf,2003-10-16T00:00:00Z,2003-10-31T23:59:59Z,0,DAY,19.686632
SC:MOD13A2.005:2054485765,MOD13A2.A2003305.h10v05.005.2008022070800.hdf,2003-11-01T00:00:00Z,2003-11-16T23:59:59Z,2,DAY,19.600485
SC:MOD13A2.005:2055015833,MOD13A2.A2003321.h10v05.005.2008036151855.hdf,2003-11-17T00:00:00Z,2003-12-02T23:59:59Z,0,DAY,19.48116
SC:MOD13A2.005:2065634190,MOD13A2.A2003337.h10v05.005.2008265225858.hdf,2003-12-03T00:00:00Z,2003-12-18T23:59:59Z,0,DAY,19.434502
SC:MOD13A2.005:2055312153,MOD13A2.A2003353.h10v05.005.2008040122015.hdf,2003-12-19T00:00:00Z,2004-01-03T23:59:59Z,1,DAY,19.144587
SC:MOD13A2.005:2046241910,MOD13A2.A2004001.h10v05.005.2007234013208.hdf,2004-01-01T00:00:00Z,2004-01-16T23:59:59Z,0,DAY,19.432522
SC:MOD13A2.005:2064383135,MOD13A2.A2004017.h10v05.005.2008224120554.hdf,2004-01-17T00:00:00Z,2004-02-01T23:59:59Z,3,BOTH,19.283628
SC:MOD13A2.005:2046774430,MOD13A2.A2004033.h10v05.005.2007243155150.hdf,2004-02-02T00:00:00Z,2004-02-17T23:59:59Z,3,DAY,19.959984
SC:MOD13A2.005:2047126537,MOD13A2.A2004049.h10v05.005.2007248102907.hdf,2004-02-18T00:00:00Z,2004-03-04T23:59:59Z,2,DAY,19.766853
SC:MOD13A2.005:2047287428,MOD13A2.A2004065.h10v05.005.2007253093000.hdf,2004-03-05T00:00:00Z,2004-03-20T23:59:59Z,0,DAY,20.1193
SC:MOD13A2.005:2047608543,MOD13A2.A2004081.h10v05.005.2007259140257.hdf,2004-03-21T00:00:00Z,2004-04-05T23:59:59Z,0,DAY,20.390923
SC:MOD13A2.005:2064399978,MOD13A2.A2004097.h10v05.005.2008224231231.hdf,2004-04-06T00:00:00Z,2004-04-21T23:59:59Z,0,DAY,20.364674
SC:MOD13A2.005:2048341341,MOD13A2.A2004113.h10v05.005.2007271054415.hdf,2004-04-22T00:00:00Z,2004-05-07T23:59:59Z,0,DAY,20.621408
SC:MOD13A2.005:2048708559,MOD13A2.A2004129.h10v05.005.2007277184412.hdf,2004-05-08T00:00:00Z,2004-05-23T23:59:59Z,1,DAY,21.208805
SC:MOD13A2.005:2048966256,MOD13A2.A2004145.h10v05.005.2007283114251.hdf,2004-05-24T00:00:00Z,2004-06-08T23:59:59Z,1,DAY,20.798386
SC:MOD13A2.005:2065124544,MOD13A2.A2004161.h10v05.005.2008251210225.hdf,2004-06-09T00:00:00Z,2004-06-24T23:59:59Z,6,DAY,21.26247
SC:MOD13A2.005:2049535440,MOD13A2.A2004177.h10v05.005.2007294090721.hdf,2004-06-25T00:00:00Z,2004-07-10T23:59:59Z,1,DAY,21.011185
SC:MOD13A2.005:2049751323,MOD13A2.A2004193.h10v05.005.2007298203737.hdf,2004-07-11T00:00:00Z,2004-07-26T23:59:59Z,0,DAY,20.698147
SC:MOD13A2.005:2078321779,MOD13A2.A2004209.h10v05.005.2010055180836.hdf,2004-07-27T00:00:00Z,2004-08-11T23:59:59Z,0,DAY,19.2984
SC:MOD13A2.005:2050214529,MOD13A2.A2004225.h10v05.005.2007307232628.hdf,2004-08-12T00:00:00Z,2004-08-27T23:59:59Z,0,DAY,20.449074
SC:MOD13A2.005:2065332885,MOD13A2.A2004241.h10v05.005.2008257131330.hdf,2004-08-28T00:00:00Z,2004-09-12T23:59:59Z,0,DAY,20.138397
SC:MOD13A2.005:2050627286,MOD13A2.A2004257.h10v05.005.2007316074224.hdf,2004-09-13T00:00:00Z,2004-09-28T23:59:59Z,0,DAY,20.120853
SC:MOD13A2.005:2065206250,MOD13A2.A2004273.h10v05.005.2008254050501.hdf,2004-09-29T00:00:00Z,2004-10-14T23:59:59Z,0,DAY,19.66471
SC:MOD13A2.005:2065288756,MOD13A2.A2004289.h10v05.005.2008256000904.hdf,2004-10-15T00:00:00Z,2004-10-30T23:59:59Z,0,DAY,19.345533
SC:MOD13A2.005:2063336365,MOD13A2.A2004305.h10v05.005.2008187064215.hdf,2004-10-31T00:00:00Z,2004-11-15T23:59:59Z,0,BOTH,18.881958
SC:MOD13A2.005:2064445945,MOD13A2.A2004321.h10v05.005.2008226091937.hdf,2004-11-16T00:00:00Z,2004-12-01T23:59:59Z,1,DAY,19.022205
SC:MOD13A2.005:2051896608,MOD13A2.A2004337.h10v05.005.2007340132245.hdf,2004-12-02T00:00:00Z,2004-12-17T23:59:59Z,0,DAY,19.791464
SC:MOD13A2.005:2065444841,MOD13A2.A2004353.h10v05.005.2008260101658.hdf,2004-12-18T00:00:00Z,2005-01-02T23:59:59Z,0,DAY,19.320208
SC:MOD13A2.005:2052456451,MOD13A2.A2005001.h10v05.005.2007351184110.hdf,2005-01-01T00:00:00Z,2005-01-16T23:59:59Z,5,DAY,19.514837
SC:MOD13A2.005:2052544266,MOD13A2.A2005017.h10v05.005.2007352204048.hdf,2005-01-17T00:00:00Z,2005-02-01T23:59:59Z,0,DAY,19.480553
SC:MOD13A2.005:2052975628,MOD13A2.A2005033.h10v05.005.2007360133808.hdf,2005-02-02T00:00:00Z,2005-02-17T23:59:59Z,0,DAY,19.370304
SC:MOD13A2.005:2063771195,MOD13A2.A2005049.h10v05.005.2008200112852.hdf,2005-02-18T00:00:00Z,2005-03-05T23:59:59Z,0,DAY,19.383204
SC:MOD13A2.005:2053269192,MOD13A2.A2005065.h10v05.005.2007365235447.hdf,2005-03-06T00:00:00Z,2005-03-21T23:59:59Z,0,DAY,19.86453
SC:MOD13A2.005:2053615554,MOD13A2.A2005081.h10v05.005.2008007145833.hdf,2005-03-22T00:00:00Z,2005-04-06T23:59:59Z,0,DAY,20.143034
SC:MOD13A2.005:2054217903,MOD13A2.A2005097.h10v05.005.2008018040936.hdf,2005-04-07T00:00:00Z,2005-04-22T23:59:59Z,0,DAY,20.240429
SC:MOD13A2.005:2054472934,MOD13A2.A2005113.h10v05.005.2008022031322.hdf,2005-04-23T00:00:00Z,2005-05-08T23:59:59Z,0,DAY,20.405222
SC:MOD13A2.005:2054913389,MOD13A2.A2005129.h10v05.005.2008032031041.hdf,2005-05-09T00:00:00Z,2005-05-24T23:59:59Z,0,DAY,20.761238
SC:MOD13A2.005:2064518317,MOD13A2.A2005145.h10v05.005.2008232170522.hdf,2005-05-25T00:00:00Z,2005-06-09T23:59:59Z,0,DAY,20.944328
SC:MOD13A2.005:2055145420,MOD13A2.A2005161.h10v05.005.2008038190932.hdf,2005-06-10T00:00:00Z,2005-06-25T23:59:59Z,0,DAY,20.654285
SC:MOD13A2.005:2063914617,MOD13A2.A2005177.h10v05.005.2008204161124.hdf,2005-06-26T00:00:00Z,2005-07-11T23:59:59Z,3,DAY,21.348972
SC:MOD13A2.005:2064134643,MOD13A2.A2005193.h10v05.005.2008215131222.hdf,2005-07-12T00:00:00Z,2005-07-27T23:59:59Z,1,DAY,21.141747
SC:MOD13A2.005:2056212532,MOD13A2.A2005209.h10v05.005.2008056040018.hdf,2005-07-28T00:00:00Z,2005-08-12T23:59:59Z,2,DAY,21.202465
SC:MOD13A2.005:2064061606,MOD13A2.A2005225.h10v05.005.2008212135853.hdf,2005-08-13T00:00:00Z,2005-08-28T23:59:59Z,1,DAY,20.524158
SC:MOD13A2.005:2056708062,MOD13A2.A2005241.h10v05.005.2008065061301.hdf,2005-08-29T00:00:00Z,2005-09-13T23:59:59Z,0,DAY,20.033272
SC:MOD13A2.005:2064160203,MOD13A2.A2005257.h10v05.005.2008216135755.hdf,2005-09-14T00:00:00Z,2005-09-29T23:59:59Z,0,DAY,19.887838
SC:MOD13A2.005:2057165188,MOD13A2.A2005273.h10v05.005.2008073010729.hdf,2005-09-30T00:00:00Z,2005-10-15T23:59:59Z,0,DAY,19.943382
SC:MOD13A2.005:2057446465,MOD13A2.A2005289.h10v05.005.2008076024027.hdf,2005-10-16T00:00:00Z,2005-10-31T23:59:59Z,0,DAY,19.88641
SC:MOD13A2.005:2057966631,MOD13A2.A2005305.h10v05.005.2008083130625.hdf,2005-11-01T00:00:00Z,2005-11-16T23:59:59Z,0,DAY,19.913374
SC:MOD13A2.005:2065578237,MOD13A2.A2005321.h10v05.005.2008263061048.hdf,2005-11-17T00:00:00Z,2005-12-02T23:59:59Z,0,DAY,19.57258
SC:MOD13A2.005:2064211308,MOD13A2.A2005337.h10v05.005.2008218174317.hdf,2005-12-03T00:00:00Z,2005-12-18T23:59:59Z,1,DAY,19.293016
SC:MOD13A2.005:2058601646,MOD13A2.A2005353.h10v05.005.2008090215725.hdf,2005-12-19T00:00:00Z,2006-01-03T23:59:59Z,1,DAY,19.396225
SC:MOD13A2.005:2056609420,MOD13A2.A2006001.h10v05.005.2008063124047.hdf,2006-01-01T00:00:00Z,2006-01-16T23:59:59Z,0,DAY,19.434774
SC:MOD13A2.005:2066288847,MOD13A2.A2006017.h10v05.005.2008277141849.hdf,2006-01-17T00:00:00Z,2006-02-01T23:59:59Z,0,DAY,19.552353
SC:MOD13A2.005:2057150316,MOD13A2.A2006033.h10v05.005.2008072121235.hdf,2006-02-02T00:00:00Z,2006-02-17T23:59:59Z,0,DAY,19.681917
SC:MOD13A2.005:2057578519,MOD13A2.A2006049.h10v05.005.2008077110846.hdf,2006-02-18T00:00:00Z,2006-03-05T23:59:59Z,0,DAY,19.847054
SC:MOD13A2.005:2058049907,MOD13A2.A2006065.h10v05.005.2008084105540.hdf,2006-03-06T00:00:00Z,2006-03-21T23:59:59Z,0,DAY,19.879711
SC:MOD13A2.005:2058886343,MOD13A2.A2006081.h10v05.005.2008097180813.hdf,2006-03-22T00:00:00Z,2006-04-06T23:59:59Z,0,DAY,20.269651
SC:MOD13A2.005:2059054374,MOD13A2.A2006097.h10v05.005.2008101033214.hdf,2006-04-07T00:00:00Z,2006-04-22T23:59:59Z,0,DAY,20.74556
SC:MOD13A2.005:2059597981,MOD13A2.A2006113.h10v05.005.2008108175626.hdf,2006-04-23T00:00:00Z,2006-05-08T23:59:59Z,0,DAY,20.185608
SC:MOD13A2.005:2068731899,MOD13A2.A2006129.h10v05.005.2008321173503.hdf,2006-05-09T00:00:00Z,2006-05-24T23:59:59Z,0,DAY,19.74
SC:MOD13A2.005:2061197530,MOD13A2.A2006145.h10v05.005.2008119044010.hdf,2006-05-25T00:00:00Z,2006-06-09T23:59:59Z,0,DAY,20.958315
SC:MOD13A2.005:2064597080,MOD13A2.A2006161.h10v05.005.2008234003538.hdf,2006-06-10T00:00:00Z,2006-06-25T23:59:59Z,0,DAY,20.901628
SC:MOD13A2.005:2061610239,MOD13A2.A2006177.h10v05.005.2008131120715.hdf,2006-06-26T00:00:00Z,2006-07-11T23:59:59Z,0,DAY,20.796633
SC:MOD13A2.005:2062018979,MOD13A2.A2006193.h10v05.005.2008137021314.hdf,2006-07-12T00:00:00Z,2006-07-27T23:59:59Z,1,DAY,21.17381
SC:MOD13A2.005:2058992847,MOD13A2.A2006209.h10v05.005.2008099145131.hdf,2006-07-28T00:00:00Z,2006-08-12T23:59:59Z,2,DAY,21.257656
SC:MOD13A2.005:2059294734,MOD13A2.A2006225.h10v05.005.2008103085906.hdf,2006-08-13T00:00:00Z,2006-08-28T23:59:59Z,3,DAY,20.720963
SC:MOD13A2.005:2059336113,MOD13A2.A2006241.h10v05.005.2008105091655.hdf,2006-08-29T00:00:00Z,2006-09-13T23:59:59Z,0,DAY,20.42014
SC:MOD13A2.005:2059926827,MOD13A2.A2006257.h10v05.005.2008111003044.hdf,2006-09-14T00:00:00Z,2006-09-29T23:59:59Z,0,DAY,20.10571
SC:MOD13A2.005:2066076568,MOD13A2.A2006273.h10v05.005.2008272130815.hdf,2006-09-30T00:00:00Z,2006-10-15T23:59:59Z,0,BOTH,19.951115
SC:MOD13A2.005:2066220302,MOD13A2.A2006289.h10v05.005.2008275125547.hdf,2006-10-16T00:00:00Z,2006-10-31T23:59:59Z,0,DAY,19.419024
SC:MOD13A2.005:2064790795,MOD13A2.A2006305.h10v05.005.2008241031236.hdf,2006-11-01T00:00:00Z,2006-11-16T23:59:59Z,0,DAY,19.323746
SC:MOD13A2.005:2064871161,MOD13A2.A2006321.h10v05.005.2008243123434.hdf,2006-11-17T00:00:00Z,2006-12-02T23:59:59Z,0,DAY,19.277502
SC:MOD13A2.005:2064948585,MOD13A2.A2006337.h10v05.005.2008245161110.hdf,2006-12-03T00:00:00Z,2006-12-18T23:59:59Z,0,DAY,19.893026
SC:MOD13A2.005:2061532070,MOD13A2.A2006353.h10v05.005.2008134004040.hdf,2006-12-19T00:00:00Z,2007-01-03T23:59:59Z,0,DAY,19.079695
SC:MOD13A2.005:2040086153,MOD13A2.A2007001.h10v05.005.2007022143051.hdf,2007-01-01T00:00:00Z,2007-01-16T23:59:59Z,2,DAY,19.360151
SC:MOD13A2.005:2042028283,MOD13A2.A2007017.h10v05.005.2007094212637.hdf,2007-01-17T00:00:00Z,2007-02-01T23:59:59Z,0,DAY,19.598768
