"site","threshold","core.prop","coreP","trans.prop","transP"
"d108_-44_142",0.333333333333333,0.0344827586206897,0.999000999000999,0.724137931034483,0.035964035964036
"d108_-44_144",0.333333333333333,0.0869565217391304,0.989010989010989,0.826086956521739,0
"d108_-44_146",0.333333333333333,0.0967741935483871,0.998001998001998,0.725806451612903,0.000999000999000999
"d108_-44_148",0.333333333333333,0.0625,0.989010989010989,0.796875,0
"d108_-44_150",0.333333333333333,0.0606060606060606,0.963036963036963,0.787878787878788,0.0999000999000999
"d108_-46_132",0.333333333333333,0.0666666666666667,0.884115884115884,0.6,0.21978021978022
"d108_-46_134",0.333333333333333,0,0.999000999000999,0.739130434782609,0.027972027972028
"d108_-46_136",0.333333333333333,0.1,0.981018981018981,0.733333333333333,0.026973026973027
"d108_-46_138",0.333333333333333,0.0416666666666667,0.993006993006993,0.791666666666667,0.033966033966034
"d108_-46_140",0.333333333333333,0.111111111111111,0.884115884115884,0.777777777777778,0.014985014985015
"d108_-46_142",0.333333333333333,0.0731707317073171,0.99000999000999,0.829268292682927,0
"d108_-46_144",0.333333333333333,0.06,0.995004995004995,0.82,0
"d108_-46_146",0.333333333333333,0.0851063829787234,0.986013986013986,0.787234042553192,0.000999000999000999
"d108_-46_150",0.333333333333333,0.102040816326531,0.936063936063936,0.693877551020408,0.013986013986014
"d108_-46_152",0.333333333333333,0.0689655172413793,0.999000999000999,0.758620689655172,0.004995004995005
"d108_-48_128",0.333333333333333,0.037037037037037,0.999000999000999,0.592592592592593,0.0669330669330669
"d108_-48_130",0.333333333333333,0.0526315789473684,0.999000999000999,0.684210526315789,0.182817182817183
"d108_-48_132",0.333333333333333,0.115384615384615,0.921078921078921,0.846153846153846,0.038961038961039
"d108_-48_134",0.333333333333333,0.0689655172413793,0.971028971028971,0.827586206896552,0.001998001998002
"d108_-48_136",0.333333333333333,0.0740740740740741,0.983016983016983,0.740740740740741,0.015984015984016
"d108_-48_138",0.333333333333333,0.129032258064516,0.859140859140859,0.806451612903226,0.00699300699300699
"d108_-48_140",0.333333333333333,0.0476190476190476,0.992007992007992,0.833333333333333,0
