"datasetID","site","scale","n"
208,"maxgrain_3_T4_3",4,13
208,"maxgrain_3_T4_4",4,10
208,"maxgrain_3_T4_5",4,13
208,"maxgrain_3_T5_1",4,12
208,"maxgrain_3_T5_2",4,12
208,"maxgrain_3_T5_3",4,13
208,"maxgrain_3_T5_4",4,11
208,"maxgrain_3_T5_5",4,14
208,"maxgrain_3_T6_1",4,12
208,"maxgrain_3_T6_2",4,13
208,"maxgrain_3_T6_3",4,10
208,"maxgrain_3_T6_4",4,13
208,"maxgrain_3_T6_5",4,10
208,"maxgrain_3_T7_1",4,14
208,"maxgrain_3_T7_2",4,14
208,"maxgrain_3_T7_3",4,15
208,"maxgrain_3_T7_4",4,14
208,"maxgrain_3_T7_5",4,15
208,"maxgrain_4_T1_1",4,11
208,"maxgrain_4_T1_2",4,13
208,"maxgrain_4_T1_3",4,12
208,"maxgrain_4_T1_4",4,11
208,"maxgrain_4_T1_5",4,12
208,"maxgrain_4_T2_1",4,14
208,"maxgrain_4_T2_2",4,11
208,"maxgrain_4_T2_3",4,13
208,"maxgrain_4_T2_4",4,11
208,"maxgrain_4_T2_5",4,12
208,"maxgrain_4_T3_1",4,12
208,"maxgrain_4_T3_2",4,12
208,"maxgrain_4_T3_3",4,10
208,"maxgrain_4_T3_4",4,11
208,"maxgrain_4_T3_5",4,9
208,"maxgrain_4_T4_1",4,13
208,"maxgrain_4_T4_2",4,13
208,"maxgrain_4_T4_3",4,16
208,"maxgrain_4_T4_4",4,12
208,"maxgrain_4_T4_5",4,15
208,"maxgrain_4_T5_1",4,16
208,"maxgrain_4_T5_2",4,14
208,"maxgrain_4_T5_3",4,12
208,"maxgrain_4_T5_4",4,14
208,"maxgrain_4_T5_5",4,14
208,"maxgrain_4_T6_1",4,10
208,"maxgrain_4_T6_2",4,12
208,"maxgrain_4_T6_3",4,11
208,"maxgrain_4_T6_4",4,12
208,"maxgrain_4_T6_5",4,12
208,"maxgrain_4_T7_1",4,15
208,"maxgrain_4_T7_2",4,15
208,"maxgrain_4_T7_3",4,14
208,"maxgrain_4_T7_4",4,13
208,"maxgrain_4_T7_5",4,16
208,"maxgrain_5_T1_1",4,13
208,"maxgrain_5_T1_2",4,13
208,"maxgrain_5_T1_3",4,11
208,"maxgrain_5_T1_4",4,13
208,"maxgrain_5_T1_5",4,11
208,"maxgrain_5_T2_1",4,12
208,"maxgrain_5_T2_2",4,13
208,"maxgrain_5_T2_3",4,11
208,"maxgrain_5_T2_4",4,10
208,"maxgrain_5_T2_5",4,11
208,"maxgrain_5_T3_1",4,9
208,"maxgrain_5_T3_2",4,14
208,"maxgrain_5_T3_3",4,14
208,"maxgrain_5_T3_4",4,13
208,"maxgrain_5_T3_5",4,9
208,"maxgrain_5_T4_1",4,13
208,"maxgrain_5_T4_2",4,12
208,"maxgrain_5_T4_3",4,13
208,"maxgrain_5_T4_4",4,10
208,"maxgrain_5_T4_5",4,11
208,"maxgrain_5_T5_1",4,11
208,"maxgrain_5_T5_2",4,14
208,"maxgrain_5_T5_3",4,15
208,"maxgrain_5_T5_4",4,13
208,"maxgrain_5_T5_5",4,11
208,"maxgrain_5_T6_1",4,11
208,"maxgrain_5_T6_2",4,9
208,"maxgrain_5_T6_3",4,12
208,"maxgrain_5_T6_4",4,11
208,"maxgrain_5_T6_5",4,11
208,"maxgrain_5_T7_1",4,16
208,"maxgrain_5_T7_2",4,15
208,"maxgrain_5_T7_3",4,14
208,"maxgrain_5_T7_4",4,16
208,"maxgrain_5_T7_5",4,15
208,"maxgrain_6_T1_1",4,11
208,"maxgrain_6_T1_2",4,13
208,"maxgrain_6_T1_3",4,13
208,"maxgrain_6_T1_4",4,12
208,"maxgrain_6_T1_5",4,13
208,"maxgrain_6_T2_1",4,11
208,"maxgrain_6_T2_2",4,11
208,"maxgrain_6_T2_3",4,12
208,"maxgrain_6_T2_4",4,11
208,"maxgrain_6_T2_5",4,11
208,"maxgrain_6_T3_1",4,12
208,"maxgrain_6_T3_2",4,13
208,"maxgrain_6_T3_3",4,12
208,"maxgrain_6_T3_4",4,12
208,"maxgrain_6_T3_5",4,10
208,"maxgrain_6_T4_1",4,12
208,"maxgrain_6_T4_2",4,12
208,"maxgrain_6_T4_3",4,12
208,"maxgrain_6_T4_4",4,10
208,"maxgrain_6_T4_5",4,12
208,"maxgrain_6_T5_1",4,11
208,"maxgrain_6_T5_2",4,11
208,"maxgrain_6_T5_3",4,11
208,"maxgrain_6_T5_4",4,12
208,"maxgrain_6_T5_5",4,13
208,"maxgrain_6_T6_1",4,10
208,"maxgrain_6_T6_2",4,14
208,"maxgrain_6_T6_3",4,10
208,"maxgrain_6_T6_4",4,9
208,"maxgrain_6_T6_5",4,9
208,"maxgrain_6_T7_1",4,12
208,"maxgrain_6_T7_2",4,15
208,"maxgrain_6_T7_3",4,13
208,"maxgrain_6_T7_4",4,13
208,"maxgrain_6_T7_5",4,14
210,"maxgrain",1,135
210,"maxgrain_A",2,91
210,"maxgrain_B",2,93
210,"maxgrain_C",2,110
210,"maxgrain_A_1",3,34
210,"maxgrain_A_10",3,33
210,"maxgrain_A_11",3,17
210,"maxgrain_A_12",3,38
210,"maxgrain_A_13",3,31
210,"maxgrain_A_14",3,22
210,"maxgrain_A_15",3,33
210,"maxgrain_A_16",3,38
210,"maxgrain_A_17",3,20
210,"maxgrain_A_18",3,23
210,"maxgrain_A_19",3,27
210,"maxgrain_A_2",3,37
210,"maxgrain_A_20",3,32
210,"maxgrain_A_21",3,22
210,"maxgrain_A_22",3,36
210,"maxgrain_A_23",3,29
210,"maxgrain_A_24",3,31
210,"maxgrain_A_25",3,23
210,"maxgrain_A_26",3,26
210,"maxgrain_A_27",3,28
210,"maxgrain_A_28",3,29
210,"maxgrain_A_29",3,33
210,"maxgrain_A_3",3,33
210,"maxgrain_A_30",3,36
210,"maxgrain_A_31",3,27
210,"maxgrain_A_32",3,26
210,"maxgrain_A_33",3,38
210,"maxgrain_A_34",3,26
210,"maxgrain_A_35",3,31
210,"maxgrain_A_36",3,27
210,"maxgrain_A_37",3,29
210,"maxgrain_A_38",3,24
210,"maxgrain_A_39",3,26
210,"maxgrain_A_4",3,40
210,"maxgrain_A_40",3,23
210,"maxgrain_A_41",3,29
210,"maxgrain_A_42",3,22
210,"maxgrain_A_43",3,31
210,"maxgrain_A_44",3,27
210,"maxgrain_A_45",3,33
210,"maxgrain_A_46",3,32
210,"maxgrain_A_47",3,38
210,"maxgrain_A_48",3,18
210,"maxgrain_A_49",3,29
210,"maxgrain_A_5",3,33
210,"maxgrain_A_50",3,32
210,"maxgrain_A_51",3,23
210,"maxgrain_A_52",3,14
210,"maxgrain_A_53",3,38
210,"maxgrain_A_54",3,33
210,"maxgrain_A_6",3,21
210,"maxgrain_A_7",3,25
210,"maxgrain_A_8",3,26
210,"maxgrain_A_9",3,17
210,"maxgrain_B_1",3,42
210,"maxgrain_B_10",3,28
210,"maxgrain_B_11",3,31
210,"maxgrain_B_12",3,29
210,"maxgrain_B_13",3,27
210,"maxgrain_B_14",3,28
210,"maxgrain_B_15",3,25
210,"maxgrain_B_16",3,26
210,"maxgrain_B_17",3,36
210,"maxgrain_B_18",3,19
210,"maxgrain_B_19",3,26
210,"maxgrain_B_2",3,30
210,"maxgrain_B_20",3,33
210,"maxgrain_B_21",3,32
210,"maxgrain_B_22",3,15
210,"maxgrain_B_23",3,27
210,"maxgrain_B_24",3,22
210,"maxgrain_B_25",3,26
210,"maxgrain_B_26",3,28
210,"maxgrain_B_27",3,27
210,"maxgrain_B_28",3,29
210,"maxgrain_B_29",3,15
210,"maxgrain_B_3",3,18
210,"maxgrain_B_30",3,19
210,"maxgrain_B_31",3,33
210,"maxgrain_B_32",3,23
210,"maxgrain_B_33",3,36
210,"maxgrain_B_34",3,34
210,"maxgrain_B_35",3,31
210,"maxgrain_B_36",3,26
210,"maxgrain_B_37",3,26
210,"maxgrain_B_38",3,27
210,"maxgrain_B_39",3,21
210,"maxgrain_B_4",3,13
210,"maxgrain_B_40",3,27
210,"maxgrain_B_41",3,27
210,"maxgrain_B_42",3,22
210,"maxgrain_B_43",3,24
210,"maxgrain_B_44",3,25
210,"maxgrain_B_45",3,29
210,"maxgrain_B_46",3,29
210,"maxgrain_B_47",3,18
210,"maxgrain_B_48",3,31
210,"maxgrain_B_49",3,26
210,"maxgrain_B_5",3,20
210,"maxgrain_B_50",3,24
210,"maxgrain_B_51",3,32
210,"maxgrain_B_52",3,34
210,"maxgrain_B_53",3,27
210,"maxgrain_B_54",3,35
210,"maxgrain_B_6",3,24
210,"maxgrain_B_7",3,26
210,"maxgrain_B_8",3,28
210,"maxgrain_B_9",3,29
210,"maxgrain_C_1",3,42
210,"maxgrain_C_10",3,30
210,"maxgrain_C_11",3,29
210,"maxgrain_C_12",3,22
210,"maxgrain_C_13",3,35
210,"maxgrain_C_14",3,36
210,"maxgrain_C_15",3,31
210,"maxgrain_C_16",3,34
210,"maxgrain_C_17",3,32
210,"maxgrain_C_18",3,41
210,"maxgrain_C_19",3,37
210,"maxgrain_C_2",3,43
210,"maxgrain_C_20",3,32
210,"maxgrain_C_21",3,37
210,"maxgrain_C_22",3,26
210,"maxgrain_C_23",3,27
210,"maxgrain_C_24",3,25
210,"maxgrain_C_25",3,27
210,"maxgrain_C_26",3,45
210,"maxgrain_C_27",3,36
210,"maxgrain_C_28",3,36
210,"maxgrain_C_29",3,22
210,"maxgrain_C_3",3,34
210,"maxgrain_C_30",3,43
210,"maxgrain_C_31",3,39
210,"maxgrain_C_32",3,43
210,"maxgrain_C_33",3,42
210,"maxgrain_C_34",3,51
210,"maxgrain_C_35",3,42
210,"maxgrain_C_36",3,39
210,"maxgrain_C_37",3,37
210,"maxgrain_C_38",3,40
210,"maxgrain_C_39",3,39
210,"maxgrain_C_4",3,43
210,"maxgrain_C_40",3,25
210,"maxgrain_C_41",3,45
210,"maxgrain_C_42",3,45
210,"maxgrain_C_43",3,49
210,"maxgrain_C_44",3,35
210,"maxgrain_C_45",3,31
210,"maxgrain_C_46",3,32
210,"maxgrain_C_47",3,42
210,"maxgrain_C_48",3,32
210,"maxgrain_C_49",3,37
210,"maxgrain_C_5",3,27
210,"maxgrain_C_50",3,37
210,"maxgrain_C_51",3,33
210,"maxgrain_C_52",3,26
210,"maxgrain_C_53",3,42
210,"maxgrain_C_54",3,51
210,"maxgrain_C_6",3,29
210,"maxgrain_C_7",3,39
210,"maxgrain_C_8",3,38
210,"maxgrain_C_9",3,27
213,"maxgrain",1,112
213,"maxgrain_e1q1-1",2,23
213,"maxgrain_e1q1-2",2,27
213,"maxgrain_e1q1-3",2,28
213,"maxgrain_e1q1a-1",2,28
213,"maxgrain_e1q1a-2",2,30
213,"maxgrain_e1q1a-3",2,38
213,"maxgrain_e1q2-1",2,26
213,"maxgrain_e1q2-2",2,36
213,"maxgrain_e1q2-3",2,29
213,"maxgrain_e1q2-4",2,17
213,"maxgrain_e1q2-5",2,20
213,"maxgrain_e1q2-6",2,25
213,"maxgrain_e1q2-7",2,20
213,"maxgrain_e1q2-8",2,25
213,"maxgrain_e1q3-1",2,19
213,"maxgrain_e1q3-2",2,27
213,"maxgrain_e1q3-3",2,29
213,"maxgrain_e1q3a-1",2,18
213,"maxgrain_e1q3a-2",2,19
213,"maxgrain_e1q3a-3",2,22
213,"maxgrain_e1q4-1",2,50
213,"maxgrain_e1q4-2",2,36
213,"maxgrain_e1q4a-1",2,44
213,"maxgrain_e1q4a-2",2,45
213,"maxgrain_e1q5-1",2,28
213,"maxgrain_e1q5-2",2,18
213,"maxgrain_e1q5-3",2,25
213,"maxgrain_e1q5-4",2,24
213,"maxgrain_e2q2-1",2,30
213,"maxgrain_e2q2-2",2,31
213,"maxgrain_e2q2-3",2,45
213,"maxgrain_e2q2-4",2,37
213,"maxgrain_e2q3-1",2,32
213,"maxgrain_e2q3-2",2,20
213,"maxgrain_e2q3a-1",2,31
213,"maxgrain_e2q3a-2",2,26
213,"maxgrain_e2qa-1",2,19
213,"maxgrain_e2qa-2",2,22
213,"maxgrain_e2qa-3",2,28
213,"maxgrain_e2qa-4",2,29
213,"maxgrain_e2qa-5",2,27
213,"maxgrain_e2qo-1",2,29
213,"maxgrain_e2qo-10",2,21
213,"maxgrain_e2qo-2",2,13
213,"maxgrain_e2qo-3",2,27
213,"maxgrain_e2qo-4",2,21
213,"maxgrain_e2qo-5",2,16
213,"maxgrain_e2qo-6",2,17
213,"maxgrain_e2qo-7",2,25
213,"maxgrain_e2qo-8",2,23
213,"maxgrain_e2qo-9",2,33
217,"maxgrain",1,296
217,"maxgrain_a",2,235
217,"maxgrain_b",2,252
217,"maxgrain_c",2,257
217,"maxgrain_d",2,253
217,"maxgrain_a_1",3,202
217,"maxgrain_a_2",3,194
217,"maxgrain_a_3",3,197
217,"maxgrain_a_4",3,188
217,"maxgrain_a_5",3,201
217,"maxgrain_b_1",3,201
217,"maxgrain_b_2",3,194
217,"maxgrain_b_3",3,202
217,"maxgrain_b_4",3,201
217,"maxgrain_b_5",3,203
217,"maxgrain_c_1",3,200
217,"maxgrain_c_2",3,203
217,"maxgrain_c_3",3,206
217,"maxgrain_c_4",3,205
217,"maxgrain_c_5",3,210
217,"maxgrain_d_1",3,207
217,"maxgrain_d_2",3,203
217,"maxgrain_d_3",3,195
217,"maxgrain_d_4",3,212
217,"maxgrain_d_5",3,208
218,"maxgrain",1,80
218,"maxgrain_A",2,69
218,"maxgrain_B",2,71
218,"maxgrain_C",2,63
218,"maxgrain_A_1",3,35
218,"maxgrain_A_10",3,41
218,"maxgrain_A_2",3,37
218,"maxgrain_A_3",3,41
218,"maxgrain_A_4",3,45
218,"maxgrain_A_5",3,49
218,"maxgrain_A_6",3,41
218,"maxgrain_A_7",3,38
218,"maxgrain_A_8",3,38
218,"maxgrain_A_9",3,35
218,"maxgrain_B_1",3,47
218,"maxgrain_B_2",3,42
218,"maxgrain_B_3",3,39
218,"maxgrain_B_4",3,49
218,"maxgrain_B_5",3,46
218,"maxgrain_B_6",3,38
218,"maxgrain_B_7",3,36
218,"maxgrain_B_8",3,35
218,"maxgrain_C_1",3,37
218,"maxgrain_C_2",3,30
218,"maxgrain_C_3",3,40
218,"maxgrain_C_4",3,40
218,"maxgrain_C_5",3,37
218,"maxgrain_C_6",3,34
218,"maxgrain_C_7",3,41
218,"maxgrain_C_8",3,38
218,"maxgrain_D",2,74
218,"maxgrain_E",2,67
218,"maxgrain_B_0",3,26
218,"maxgrain_D_1",3,50
218,"maxgrain_D_2",3,42
218,"maxgrain_D_3",3,44
218,"maxgrain_D_4",3,41
218,"maxgrain_D_5",3,42
218,"maxgrain_D_6",3,43
218,"maxgrain_D_7",3,42
218,"maxgrain_D_8",3,40
218,"maxgrain_E_1",3,30
218,"maxgrain_E_2",3,53
218,"maxgrain_E_3",3,47
218,"maxgrain_E_4",3,42
218,"maxgrain_E_5",3,46
218,"maxgrain_E_6",3,39
218,"maxgrain_E_7",3,43
218,"maxgrain_E_8",3,43
221,"221",1,99
221,"221_1",2,61
221,"221_10",2,59
221,"221_11",2,56
221,"221_12",2,57
221,"221_13",2,70
221,"221_14",2,53
221,"221_15",2,49
221,"221_16",2,55
221,"221_17",2,56
221,"221_18",2,58
221,"221_19",2,66
221,"221_2",2,62
221,"221_20",2,57
221,"221_21",2,55
221,"221_22",2,52
221,"221_23",2,57
221,"221_24",2,61
221,"221_3",2,59
221,"221_4",2,51
221,"221_5",2,59
221,"221_6",2,65
221,"221_7",2,59
221,"221_8",2,51
221,"221_9",2,55
221,"221_1_11",3,35
221,"221_1_13",3,19
221,"221_1_15",3,36
221,"221_1_17",3,29
221,"221_1_31",3,30
221,"221_1_33",3,23
221,"221_1_35",3,30
221,"221_1_37",3,27
221,"221_1_51",3,30
221,"221_1_53",3,31
221,"221_1_55",3,18
221,"221_1_57",3,24
221,"221_1_71",3,37
221,"221_1_73",3,36
221,"221_1_75",3,30
221,"221_1_77",3,29
221,"221_10_11",3,25
221,"221_10_13",3,23
221,"221_10_15",3,21
221,"221_10_17",3,30
221,"221_10_31",3,25
221,"221_10_33",3,26
221,"221_10_35",3,25
221,"221_10_37",3,25
221,"221_10_51",3,26
221,"221_10_53",3,23
221,"221_10_55",3,34
221,"221_10_57",3,18
221,"221_10_71",3,27
221,"221_10_73",3,28
221,"221_10_75",3,28
221,"221_10_77",3,23
221,"221_11_11",3,28
221,"221_11_13",3,25
221,"221_11_15",3,26
221,"221_11_17",3,23
221,"221_11_31",3,23
221,"221_11_33",3,22
221,"221_11_35",3,22
221,"221_11_37",3,24
221,"221_11_51",3,16
221,"221_11_53",3,19
221,"221_11_55",3,17
221,"221_11_57",3,19
221,"221_11_71",3,26
221,"221_11_73",3,17
221,"221_11_75",3,17
221,"221_11_77",3,12
221,"221_12_11",3,23
221,"221_12_13",3,21
221,"221_12_15",3,23
221,"221_12_17",3,25
221,"221_12_31",3,23
221,"221_12_33",3,15
221,"221_12_35",3,21
221,"221_12_37",3,29
221,"221_12_51",3,24
221,"221_12_53",3,20
221,"221_12_55",3,20
221,"221_12_57",3,21
221,"221_12_71",3,17
221,"221_12_73",3,16
221,"221_12_75",3,21
221,"221_12_77",3,20
221,"221_13_11",3,35
221,"221_13_13",3,29
221,"221_13_15",3,28
221,"221_13_17",3,29
221,"221_13_31",3,40
221,"221_13_33",3,37
221,"221_13_35",3,31
221,"221_13_37",3,35
221,"221_13_51",3,21
221,"221_13_53",3,16
221,"221_13_55",3,24
221,"221_13_57",3,29
221,"221_13_71",3,21
221,"221_13_73",3,15
221,"221_13_75",3,18
221,"221_13_77",3,26
221,"221_14_11",3,21
221,"221_14_13",3,20
221,"221_14_15",3,28
221,"221_14_17",3,25
221,"221_14_31",3,20
221,"221_14_33",3,13
221,"221_14_35",3,26
221,"221_14_37",3,19
221,"221_14_51",3,23
221,"221_14_53",3,18
221,"221_14_55",3,20
221,"221_14_57",3,24
221,"221_14_71",3,12
221,"221_14_73",3,15
221,"221_14_75",3,14
221,"221_14_77",3,22
221,"221_15_11",3,19
221,"221_15_13",3,19
221,"221_15_15",3,14
221,"221_15_17",3,26
221,"221_15_31",3,17
221,"221_15_33",3,7
221,"221_15_35",3,14
221,"221_15_37",3,25
221,"221_15_51",3,19
221,"221_15_53",3,15
221,"221_15_55",3,19
221,"221_15_57",3,20
221,"221_15_71",3,18
221,"221_15_73",3,26
221,"221_15_75",3,18
221,"221_15_77",3,27
221,"221_16_11",3,19
221,"221_16_13",3,23
221,"221_16_15",3,24
221,"221_16_17",3,31
221,"221_16_31",3,24
221,"221_16_33",3,24
221,"221_16_35",3,28
221,"221_16_37",3,30
221,"221_16_51",3,28
221,"221_16_53",3,25
221,"221_16_55",3,21
221,"221_16_57",3,21
221,"221_16_71",3,24
221,"221_16_73",3,22
221,"221_16_75",3,24
221,"221_16_77",3,24
221,"221_17_11",3,19
221,"221_17_13",3,20
221,"221_17_15",3,20
221,"221_17_17",3,24
221,"221_17_31",3,18
221,"221_17_33",3,22
221,"221_17_35",3,22
221,"221_17_37",3,26
221,"221_17_51",3,21
221,"221_17_53",3,15
221,"221_17_55",3,22
221,"221_17_57",3,27
221,"221_17_71",3,12
221,"221_17_73",3,22
221,"221_17_75",3,23
221,"221_17_77",3,16
221,"221_18_11",3,12
221,"221_18_13",3,16
221,"221_18_15",3,25
221,"221_18_17",3,25
221,"221_18_31",3,14
221,"221_18_33",3,10
221,"221_18_35",3,18
221,"221_18_37",3,29
221,"221_18_51",3,27
221,"221_18_53",3,26
221,"221_18_55",3,24
221,"221_18_57",3,24
221,"221_18_71",3,20
221,"221_18_73",3,25
221,"221_18_75",3,18
221,"221_18_77",3,27
221,"221_19_11",3,23
221,"221_19_13",3,19
221,"221_19_15",3,29
221,"221_19_17",3,30
221,"221_19_31",3,26
221,"221_19_33",3,30
221,"221_19_35",3,32
221,"221_19_37",3,25
221,"221_19_51",3,27
221,"221_19_53",3,24
221,"221_19_55",3,23
221,"221_19_57",3,18
221,"221_19_71",3,13
221,"221_19_73",3,12
221,"221_19_75",3,17
221,"221_19_77",3,25
221,"221_2_11",3,26
221,"221_2_13",3,30
221,"221_2_15",3,23
221,"221_2_17",3,30
221,"221_2_31",3,32
221,"221_2_33",3,25
221,"221_2_35",3,29
221,"221_2_37",3,28
221,"221_2_51",3,20
