number,datasetID,site,system,taxa,nTime,spRichTotal,spRichCore,spRichTrans,propCore,propCore_pVal,propTrans,propTrans_pVal,meanAbundance,mu,bimodality,pBimodal,alpha,beta
46,1,17004,Terrestrial,Bird,15,64,35,23,0.546875,0.152847153,0.359375,0.414585415,531.3333333,0.610416667,0.710598693,0,0.603313926,0.356674882
47,1,17009,Terrestrial,Bird,15,87,49,27,0.563218391,0.140859141,0.310344828,0.412587413,700.9333333,0.635249042,0.626795962,0,0.68179381,0.356856588
48,1,17011,Terrestrial,Bird,15,85,49,31,0.576470588,0.080919081,0.364705882,0.368631369,488.6666667,0.61254902,0.697092458,0,0.605789254,0.354089733
49,1,17013,Terrestrial,Bird,15,32,18,11,0.5625,0.108891109,0.34375,0.414585415,496.8,0.604166667,0.650430485,0,0.739100036,0.469615161
50,1,17037,Terrestrial,Bird,15,41,20,13,0.487804878,0.184815185,0.317073171,0.476523477,648.1333333,0.590243902,0.596234208,0.002997003,0.743683677,0.476255375
51,1,17040,Terrestrial,Bird,15,66,32,21,0.484848485,0.242757243,0.318181818,0.420579421,446,0.603030303,0.595814359,0.001998002,0.706682906,0.415404833
52,1,17044,Terrestrial,Bird,15,45,20,20,0.444444444,0.225774226,0.444444444,0.244755245,653.1333333,0.537777778,0.621985158,0,0.677451333,0.49345254
53,1,17052,Terrestrial,Bird,15,75,38,27,0.506666667,0.263736264,0.36,0.34965035,701,0.615111111,0.663287079,0,0.644581753,0.35432268
54,1,17055,Terrestrial,Bird,15,51,28,17,0.549019608,0.107892108,0.333333333,0.32967033,956.5333333,0.62875817,0.572653061,0,0.793476037,0.435376374
55,1,18003,Terrestrial,Bird,15,77,43,27,0.558441558,0.104895105,0.350649351,0.370629371,537.1333333,0.621645022,0.654996006,0,0.66263415,0.372573611
56,1,18009,Terrestrial,Bird,15,90,51,26,0.566666667,0.237762238,0.288888889,0.358641359,663.1333333,0.674074074,0.576618796,0.006993007,0.761894893,0.340485667
57,1,21001,Terrestrial,Bird,15,68,46,11,0.676470588,0.004995005,0.161764706,0.902097902,794.1333333,0.738235294,0.441366252,0.158841159,1.041699717,0.400658114
58,1,21002,Terrestrial,Bird,15,66,41,16,0.621212121,0.096903097,0.242424242,0.569430569,834.4666667,0.67979798,0.575893443,0.010989011,0.755686084,0.35634911
59,1,21003,Terrestrial,Bird,15,85,68,13,0.8,0.01998002,0.152941176,0.636363636,1662.2,0.815686275,0.442628879,0.056943057,1.026164677,0.286321463
60,1,21004,Terrestrial,Bird,15,68,45,9,0.661764706,0.015984016,0.132352941,0.965034965,942.4,0.743137255,0.428730316,0.168831169,1.077474861,0.393451728
61,1,25001,Terrestrial,Bird,15,63,53,5,0.841269841,0.000999001,0.079365079,0.961038961,1679.266667,0.850793651,0.311522795,0.252747253,1.502010609,0.333654778
62,1,25002,Terrestrial,Bird,15,45,27,15,0.6,0.063936064,0.333333333,0.384615385,668.4666667,0.64,0.647394531,0.001998002,0.723792999,0.403967972
63,1,25003,Terrestrial,Bird,15,59,33,15,0.559322034,0.001998002,0.254237288,0.804195804,372.3333333,0.632768362,0.500574713,0.017982018,0.894728517,0.501257851
64,1,25009,Terrestrial,Bird,15,57,45,10,0.789473684,0.007992008,0.175438596,0.815184815,1277.866667,0.78245614,0.49533779,0.095904096,0.971366682,0.353242643
65,1,25014,Terrestrial,Bird,15,53,40,11,0.754716981,0.007992008,0.20754717,0.638361638,467.3333333,0.748427673,0.56442235,0.020979021,0.847044417,0.340471146
66,1,25020,Terrestrial,Bird,15,50,35,9,0.7,0.036963037,0.18,0.738261738,491.5333333,0.756,0.464171429,0.080919081,1.076393575,0.381431679
67,1,25022,Terrestrial,Bird,15,47,31,10,0.659574468,0.006993007,0.212765957,0.759240759,394.3333333,0.689361702,0.522404614,0.036963037,0.906275652,0.422725919
68,1,25025,Terrestrial,Bird,15,51,29,16,0.568627451,0.077922078,0.31372549,0.453546454,700.3333333,0.618300654,0.637362637,0.000999001,0.70390026,0.419142441
69,1,25027,Terrestrial,Bird,15,46,26,13,0.565217391,0.217782218,0.282608696,0.435564436,423.3333333,0.669565217,0.616642876,0.003996004,0.762988437,0.378027176
70,1,25031,Terrestrial,Bird,15,47,26,15,0.553191489,0.098901099,0.319148936,0.535464535,611.6666667,0.619858156,0.667184265,0,0.68635609,0.417776991
71,1,25037,Terrestrial,Bird,15,56,34,16,0.607142857,0.011988012,0.285714286,0.548451548,366.2,0.639285714,0.550128853,0.010989011,0.804413615,0.441666683
72,1,25052,Terrestrial,Bird,15,61,46,10,0.754098361,0.056943057,0.163934426,0.646353646,1116.6,0.792349727,0.487316217,0.026973027,0.973039574,0.304334793
73,1,25066,Terrestrial,Bird,15,47,30,8,0.638297872,0.184815185,0.170212766,0.796203796,362.1333333,0.730496454,0.441326531,0.116883117,1.056439625,0.392895762
74,1,25067,Terrestrial,Bird,15,46,27,15,0.586956522,0.065934066,0.326086957,0.498501499,405.1333333,0.620289855,0.62366421,0.000999001,0.727022006,0.43627692
75,1,25073,Terrestrial,Bird,15,46,34,7,0.739130435,0.003996004,0.152173913,0.872127872,496.6,0.769565217,0.445169939,0.135864136,1.088851735,0.386708819
76,1,25081,Terrestrial,Bird,15,32,19,8,0.59375,0.105894106,0.25,0.603396603,334.8666667,0.683333333,0.553571429,0.012987013,0.913229893,0.445226005
77,1,25086,Terrestrial,Bird,15,40,26,9,0.65,0.037962038,0.225,0.705294705,316.4666667,0.705,0.515191327,0.075924076,0.96525069,0.43471683
78,1,25087,Terrestrial,Bird,15,36,19,13,0.527777778,0.203796204,0.361111111,0.397602398,246,0.614814815,0.695137314,0.003996004,0.669849032,0.403801663
79,1,25129,Terrestrial,Bird,15,41,29,5,0.707317073,0.015984016,0.12195122,0.989010989,583.6,0.764227642,0.369655005,0.286713287,1.315803839,0.450604004
80,1,27010,Terrestrial,Bird,15,67,51,10,0.76119403,0.001998002,0.149253731,0.867132867,668.2,0.785074627,0.400223726,0.196803197,1.168425995,0.367634787
81,1,27021,Terrestrial,Bird,15,58,43,7,0.74137931,0,0.120689655,0.981018981,574.5333333,0.781609195,0.353830474,0.305694306,1.366131261,0.409944989
82,1,27027,Terrestrial,Bird,15,76,57,8,0.75,0.022977023,0.105263158,0.942057942,730.3333333,0.807017544,0.356916728,0.217782218,1.325113306,0.344930645
83,1,27033,Terrestrial,Bird,15,67,47,11,0.701492537,0.001998002,0.164179104,0.907092907,784.8,0.751243781,0.440903634,0.108891109,1.056204007,0.370006209
84,1,27046,Terrestrial,Bird,15,68,47,15,0.691176471,0.031968032,0.220588235,0.646353646,614.6,0.730392157,0.556682967,0.032967033,0.812815049,0.336118586
85,1,27054,Terrestrial,Bird,15,65,46,12,0.707692308,0.006993007,0.184615385,0.773226773,708.8,0.764102564,0.422126237,0.155844156,1.155893057,0.379176505
86,1,27057,Terrestrial,Bird,15,66,53,11,0.803030303,0.010989011,0.166666667,0.684315684,806.0666667,0.8,0.462585034,0.073926074,1.02553917,0.318323092
87,1,33013,Terrestrial,Bird,15,75,29,32,0.386666667,0.303696304,0.426666667,0.18981019,212.8,0.498666667,0.547776294,0.000999001,0.729769126,0.649331125
88,1,33020,Terrestrial,Bird,15,43,18,16,0.418604651,0.321678322,0.372093023,0.385614386,434.1333333,0.573643411,0.632653061,0.000999001,0.689996612,0.455945668
89,1,33021,Terrestrial,Bird,15,48,24,18,0.5,0.20979021,0.375,0.33966034,623.7333333,0.594444444,0.613803855,0,0.725045975,0.444416162
90,1,33027,Terrestrial,Bird,15,53,25,27,0.471698113,0.17982018,0.509433962,0.142857143,611.9333333,0.51572327,0.698092912,0,0.591086096,0.457205936
91,1,33128,Terrestrial,Bird,15,57,23,27,0.403508772,0.350649351,0.473684211,0.136863137,363.1333333,0.519298246,0.628003418,0.002997003,0.631927109,0.485623175
92,1,33212,Terrestrial,Bird,15,68,24,30,0.352941176,0.36963037,0.441176471,0.142857143,199.7333333,0.487254902,0.521162877,0.010989011,0.737074091,0.661880217
93,1,33220,Terrestrial,Bird,15,30,13,13,0.433333333,0.292707293,0.433333333,0.287712288,361.2666667,0.548888889,0.630861678,0,0.719250685,0.530476829
94,1,34002,Terrestrial,Bird,15,72,50,14,0.694444444,0.025974026,0.194444444,0.674325674,1158.133333,0.751851852,0.501826657,0.034965035,0.924160224,0.33207865
95,1,34014,Terrestrial,Bird,15,70,40,23,0.571428571,0.132867133,0.328571429,0.398601399,1261.266667,0.642857143,0.655997501,0,0.677831587,0.359114009
96,1,34022,Terrestrial,Bird,15,80,50,23,0.625,0.020979021,0.2875,0.47952048,1181.666667,0.668333333,0.586721939,0.002997003,0.770957067,0.371396034
97,1,34024,Terrestrial,Bird,15,49,24,15,0.489795918,0.215784216,0.306122449,0.512487512,396.1333333,0.612244898,0.517227891,0.03996004,0.846945778,0.491563979
98,1,34025,Terrestrial,Bird,15,73,45,23,0.616438356,0.005994006,0.315068493,0.460539461,1022.866667,0.647488584,0.582429368,0.001998002,0.77716528,0.412416888
99,1,34029,Terrestrial,Bird,15,60,31,16,0.516666667,0.111888112,0.266666667,0.661338661,541.3333333,0.614444444,0.552443311,0.016983017,0.773658397,0.45216778
100,1,34030,Terrestrial,Bird,15,66,27,20,0.409090909,0.35964036,0.303030303,0.403596404,1422.333333,0.588888889,0.569934034,0.020979021,0.700197328,0.405874388
101,1,34038,Terrestrial,Bird,15,77,44,17,0.571428571,0.110889111,0.220779221,0.721278721,744.2666667,0.67012987,0.544431133,0.011988012,0.796687085,0.37721155
102,1,34041,Terrestrial,Bird,15,65,34,21,0.523076923,0.086913087,0.323076923,0.481518482,539.6,0.584615385,0.602195424,0.002997003,0.705418369,0.452972394
103,1,34042,Terrestrial,Bird,15,59,27,21,0.457627119,0.317682318,0.355932203,0.350649351,652.3333333,0.57740113,0.620455079,0.000999001,0.666888352,0.423826102
104,1,34044,Terrestrial,Bird,15,67,32,20,0.47761194,0.281718282,0.298507463,0.462537463,1174.866667,0.60199005,0.543508312,0.006993007,0.754769605,0.437154242
105,1,34046,Terrestrial,Bird,15,77,49,20,0.636363636,0,0.25974026,0.62037962,749.9333333,0.677056277,0.504757774,0.033966034,0.880006248,0.408972864
