"stateroute","PCA.min","PCA.max","PCA.slope","PCA.mid","PCA.curvature","PCN.min","PCN.max","PCN.slope","PCN.mid","PCN.curvature"
14435,0.584905660377358,0.862944162436548,0.207116958042527,1.70126985535006,1.28618268083533,0.584905660377358,0.862944162436548,0.193063570600034,3.00831622635664,1.24869361058479
14907,0.5,0.830645161290323,0.220678657341123,1.70126985535006,1.00202524529041,0.5,0.830645161290323,0.247627573644408,3.20308730647245,0.844603146681424
17004,0.467391304347826,0.817733990147783,0.232762642159436,2.00229985101404,0.926646038715764,0.467391304347826,0.817733990147783,0.258986535805552,3.47090027842144,0.955902049637793
17009,0.654867256637168,0.792746113989637,0.1172348287523,1.70126985535006,1.00139279513651,0.654867256637168,0.792746113989637,0.129517611447848,3.09949648146188,1.00185178790583
17011,0.535714285714286,0.839805825242718,0.200256007892088,1.70126985535006,1.16002424569896,0.535714285714286,0.839805825242718,0.192632246439118,2.9943464859905,1.16968502756055
17012,0.486486486486487,0.840579710144927,0.233184045506302,1.87736111440574,0.826065607265141,0.486486486486487,0.840579710144927,0.244694104032648,3.29452500993021,0.77776157953125
17013,0.5,0.841121495327103,0.25410885870773,1.70126985535006,0.853849053815799,0.5,0.841121495327103,0.254176358670936,3.07227441255704,0.909342020605741
17017,0.6,0.795121951219512,0.132752094538235,1.70126985535006,1.11240331578599,0.6,0.795121951219512,0.143883167812537,3.11512214121791,1.12174357064538
17019,0.535353535353535,0.847619047619048,0.2056388842177,1.70126985535006,0.9833966911388,0.535353535353535,0.847619047619048,0.200111509389514,3.05040553729984,0.856658012844751
17031,0.478260869565217,0.786458333333333,0.23309103489534,1.87736111440574,1.54280662194229,0.478260869565217,0.786458333333333,0.234869189037265,3.22518862761149,1.58854974518764
17037,0.436363636363636,0.822429906542056,0.269719186586546,2.0992098640221,1.18950937526702,0.436363636363636,0.822429906542056,0.294779752943296,3.54819280470331,1.33371144622536
