"fvals","preds"
-0.000770346144990417,-0.000770346144990418
-0.000774102500610387,-0.000774102500610387
-0.000737338499095229,-0.000737338499095229
-0.000769553326932568,-0.000769553326932568
-0.000764103334699213,-0.000764103334699213
-0.000757985775732126,-0.000757985775732126
-0.000713651729180305,-0.000713651729180305
-0.000769570025139719,-0.000769570025139719
-0.00076142279084081,-0.000761422790840811
-0.000770085948442425,-0.000770085948442425
-0.000755996338666066,-0.000755996338666067
-0.000771970547820664,-0.000771970547820664
-0.000771185188935042,-0.000771185188935042
-0.000771771363527838,-0.000771771363527838
-0.000754451116822661,-0.000754451116822662
-0.000774507590895217,-0.000774507590895217
-0.00076288590735803,-0.00076288590735803
-0.00074819618488957,-0.000748196184889571
-0.000767375427925827,-0.000767375427925827
-0.000761821105464489,-0.000761821105464489
-0.000772046668432509,-0.000772046668432509
-0.000771520759812011,-0.000771520759812011
-0.000775922060571703,-0.000775922060571703
-0.0007738138130271,-0.0007738138130271
-0.000776609188631679,-0.000776609188631679
-0.000773380047676325,-0.000773380047676325
-0.000777685110754971,-0.000777685110754971
-0.000776036626687403,-0.000776036626687404
-0.000775906296476402,-0.000775906296476402
-0.000776939212230761,-0.000776939212230761
-0.000769534184894649,-0.00076953418489465
-0.000765054763211517,-0.000765054763211517
-0.000764849111074957,-0.000764849111074958
-0.000762321742436932,-0.000762321742436932
-0.000768806131409241,-0.000768806131409241
-0.000759158742092908,-0.000759158742092908
-0.000770237095428209,-0.000770237095428209
-0.000769297018963097,-0.000769297018963097
-0.000767210259294349,-0.000767210259294349
-0.000765020939786661,-0.000765020939786661
-0.000767585843259561,-0.000767585843259561
-0.000771803508631071,-0.000771803508631071
-0.000769392333114794,-0.000769392333114794
-0.000763642187114817,-0.000763642187114817
-0.000771301273884642,-0.000771301273884642
-0.000764877083878419,-0.000764877083878419
-0.000765341918261608,-0.000765341918261609
-0.000768469579174556,-0.000768469579174556
-0.000767142111183827,-0.000767142111183827
-0.000750935889556679,-0.000750935889556679
-0.000757557904454055,-0.000757557904454056
-0.000770645689363601,-0.000770645689363602
-0.000762811151667889,-0.000762811151667889
-0.00077154404545643,-0.00077154404545643
-0.000758791456969971,-0.000758791456969972
-0.000775563508018373,-0.000775563508018373
-0.000777621441119484,-0.000777621441119484
-0.000777475207735843,-0.000777475207735843
-0.000776326362155436,-0.000776326362155436
-0.00077560883104485,-0.000775608831044851
-0.000773964925404482,-0.000773964925404482
-0.000774349594371358,-0.000774349594371359
-0.000778373057786625,-0.000778373057786626
-0.000778066083597057,-0.000778066083597058
-0.000778665441316306,-0.000778665441316306
-0.000778500386693654,-0.000778500386693654
