"stateroute","OA.A","OA.i","OA.k","OA.r2","ON.A","ON.i","ON.k","ON.r2","CA.A","CA.i","CA.k","CA.r2","CN.A","CN.i","CN.k","CN.r2","TAexp","TApow","TAexp.r2","TApow.r2","TNexp","TNpow","TNexp.r2","TNpow.r2","ndvi_v","elev_v","prec_v","temp_v","ndvi_qv","elev_qv","prec_qv","temp_qv","qhull_vol","zhull_vol"
2057,0.927786549100151,0.428607762802666,0.626292139427935,0.983754444228936,0.927786549100151,1.70252184394916,0.684429770452559,0.981805471175129,0.898784781022056,0.808744543995401,0.511035262085708,0.975333045546165,0.898784781022056,2.11521137652305,0.55371242663576,0.971028131060007,-0.303483281296392,-0.000829891776275727,0.840063421575505,0.371507882669934,-0.287942314600408,-0.000829891776275727,0.839386509269883,0.371507882669934,0.0417621641584307,0.0471212553669837,0.0699772300060642,0.0888103164514423,0.0165615244568812,0.0279892014664765,0.00341896314278271,0.00484443779195615,0.00111845508246884,0.0430465939595507
2059,0.933312254753922,0.612857894461993,0.657139813109779,0.982601372915367,0.933312254753922,1.78611505254974,0.650880970860419,0.988772994068753,0.890038589905234,0.998849460759798,0.462014123230085,0.987395039408793,0.890038589905234,2.18476216719964,0.466764068029264,0.989565948216944,-0.33631592437387,-0.00101481294958294,0.840747630617387,0.452715504529943,-0.309339194785584,-0.00101481294958294,0.841588364569237,0.452715504529943,0.0809515393820793,0.0342120814625591,0.0730934725676557,0.107552625687188,0.0215864177518596,0.0252110985832056,0.00344252065330108,0.00466804598208989,0.00189860540264831,0.115962400043307
2060,0.946188740874668,0.543342932427509,0.738955769472906,0.97813360320743,0.946188740874668,1.81246655483746,0.718783080663329,0.976425416639775,0.912398649408934,0.949179197113891,0.560478373019426,0.97468544778548,0.912398649408934,2.21564174997558,0.544094503460888,0.973081347553813,-0.343008848128788,-0.000984858991056938,0.73128314770672,0.356537820671125,-0.32806802135825,-0.000984858991056938,0.731953597851701,0.356537820671125,0.0417108248102711,0.0511096583224521,0.0726781782882927,0.109674818133464,0.0163924617996103,0.0303204867128252,0.00323188218405856,0.00547739333644828,0.00142290040020411,0.0665285188689672
2065,0.92476769587474,0.641910484178869,0.637061043276078,0.981349017109232,0.92476769587474,2.00011753102771,0.664489292341558,0.981539668692894,0.8989389141411,1.06012719431532,0.50060070857273,0.983962939930252,0.8989389141411,2.42401466461557,0.509688880065369,0.984332457629374,-0.326452575669079,-0.000853472085730476,0.779909703863485,0.31525744100438,-0.323345714406817,-0.000853472085730476,0.785289209628793,0.31525744100438,0.0578967958806952,0.0818689569127758,0.0830964405069131,0.145810687274091,0.0200427011709018,0.0403031102190851,0.00395736054681452,0.00679934413966615,0.00187315403304168,0.137477186990092
2072,0.920385806225682,0.379158696214662,0.638837027174763,0.976949719515414,0.920385806225682,1.83314657777192,0.640068031124559,0.978233734738854,0.884872008858133,0.757624198117171,0.521433821576355,0.979830337808415,0.884872008858133,2.21209973598639,0.520485861297509,0.981349411183081,-0.274059765451561,-0.000600061325013867,0.707133500257339,0.200486299775044,-0.276717350539152,-0.000600061325013867,0.707773814878547,0.200486299775044,0.0366145783987502,0.0562267897692935,0.0736216481510864,0.0881518650634,0.0158818714289888,0.0297918312357547,0.0037222171134492,0.00509734603833166,0.00149599398518901,0.0408820970967022
2105,0.92795556476647,0.504315342233978,0.646298088702473,0.985772309538733,0.92795556476647,1.96619872475648,0.663034053488626,0.985939036224595,0.902179016384469,0.919794774142077,0.52863499695203,0.991341563216454,0.902179016384469,2.39032345765008,0.54109061776962,0.990946416936473,-0.301234739671547,-0.000745486879382669,0.770540988479914,0.279092536215723,-0.309422729357354,-0.000745486879382669,0.773322026004473,0.279092536215723,0.0371527014307684,0.0721501056069465,0.0644348915480506,0.103857939674724,0.0158841310444328,0.0351692692596203,0.00318464528466626,0.0058486596002662,0.00159694862426662,0.0707923107831895
2109,0.920398064620303,0.307436707672223,0.755428901540655,0.977715503196819,0.920398064620303,1.83678744452286,0.784366275645281,0.977648977126274,0.896944577254555,0.72742522489758,0.672927464273205,0.975841476568891,0.896944577254555,2.26097558448438,0.673709883679145,0.980563038713824,-0.247003391716751,-0.00056636228963901,0.698080761670278,0.217055638373236,-0.2624689770286,-0.00056636228963901,0.710977696009174,0.217055638373236,0.0315898142473263,0.0712958613458102,0.0668851434651134,0.104043740565492,0.0146276402718443,0.0346368445901353,0.00333870416026739,0.0058591385900585,0.00156901094313616,0.0686093148158857
2111,0.919724771066639,0.436999553844628,0.613582892481501,0.982573847813291,0.919724771066639,2.00899311354807,0.663401441009134,0.980851838943239,0.894941061645209,0.821087300919628,0.508368464609759,0.982046301455583,0.894941061645209,2.40608606458402,0.521678960394238,0.984461923801282,-0.299190134184794,-0.000691027200010887,0.660007883558948,0.208222400450978,-0.323339367766617,-0.000691027200010887,0.664465853980036,0.208222400450978,0.0255946359157651,0.0739018385722054,0.0692483394982763,0.123729662984388,0.0133055953952188,0.0360895919543009,0.00319816312357135,0.00651093638929732,0.0015265516069799,0.0787800959666581
2156,0.937240266173341,0.487021567164839,0.719136184647913,0.98313105954273,0.937240266173341,1.88663830967295,0.745745841391583,0.982998454349933,0.918459212894356,0.928559623056267,0.605040364134792,0.983683000860547,0.918459212894356,2.33491555477828,0.617040247486893,0.985008892265129,-0.322376993123745,-0.000792491809663649,0.661330541110722,0.236353828974579,-0.324717704556337,-0.000792491809663649,0.665367680630283,0.236353828974579,0.0487989811212939,0.0616726939059918,0.0745205887383698,0.125357654532235,0.0179197729978091,0.0330435717137029,0.00330084216252233,0.00616908011414422,0.00170687523069673,0.0820186827410528
2164,0.935135244839435,0.779542526925528,0.624722990582238,0.981251114243279,0.935135244839435,2.00853083580721,0.66911423743303,0.984699362091371,0.904576856918568,1.15562902507304,0.463473318619614,0.982327406799293,0.904576856918568,2.40292330135558,0.494443811649781,0.983713084819324,-0.368875714266823,-0.000998838081811564,0.770494611866919,0.334104435526666,-0.346893231105954,-0.000998838081811564,0.779292221071466,0.334104435526666,0.0481220307451168,0.0782339718852406,0.0790562653067779,0.141118410017927,0.0177657991590074,0.0385803015043907,0.00372105463491326,0.00690162858006287,0.00180563534786199,0.122620002494576
