"","stateroute","scale","subrouteID","AOU","occupancy"
"1843","53026",5,"Stop1","3640",0.266666666666667
"1851","68317",5,"Stop1","3640",0.2
"1860","89019",5,"Stop1","3640",0.133333333333333
"1875","64039",5,"Stop1","3670",0.0666666666666667
"1899","58116",5,"Stop1","3680",0.2
"1906","72029",5,"Stop1","3680",0.133333333333333
"1908","72035",5,"Stop1","3680",0.133333333333333
"1910","72132",5,"Stop1","3680",0.0666666666666667
"1912","88924",5,"Stop1","3680",0.133333333333333
"1943","89043",5,"Stop1","3690",0.133333333333333
"1963","72036",5,"Stop1","3730",0.0666666666666667
"1996","89029",5,"Stop1","3732",0.0666666666666667
"1999","14098",5,"Stop1","3750",0.466666666666667
"2000","34034",5,"Stop1","3750",0.333333333333333
"2001","39028",5,"Stop1","3750",0.0666666666666667
"2006","55011",5,"Stop1","3750",0.266666666666667
"2009","64038",5,"Stop1","3750",0.2
"2010","64039",5,"Stop1","3750",0.333333333333333
"2014","72029",5,"Stop1","3750",0.0666666666666667
"2015","72034",5,"Stop1","3750",0.2
"2016","72035",5,"Stop1","3750",0.266666666666667
"2017","72036",5,"Stop1","3750",0.2
"2027","34034",5,"Stop1","3870",0.266666666666667
"2028","39028",5,"Stop1","3870",0.266666666666667
"2030","46121",5,"Stop1","3870",0.0666666666666667
"2041","72029",5,"Stop1","3870",0.0666666666666667
"2042","72034",5,"Stop1","3870",0.0666666666666667
"2044","72036",5,"Stop1","3870",0.0666666666666667
"2047","88924",5,"Stop1","3870",0.0666666666666667
"2066","68119",5,"Stop1","3880",0.133333333333333
"2069","72034",5,"Stop1","3880",0.0666666666666667
"2070","72035",5,"Stop1","3880",0.0666666666666667
"2071","72036",5,"Stop1","3880",0.133333333333333
"2085","53025",5,"Stop1","3900",0.0666666666666667
"2086","53026",5,"Stop1","3900",0.266666666666667
"2089","59020",5,"Stop1","3900",0.0666666666666667
"2099","72132",5,"Stop1","3900",0.4
"2102","89001",5,"Stop1","3900",0.2
"2108","34034",5,"Stop1","3930",0.0666666666666667
"2112","53025",5,"Stop1","3930",0.0666666666666667
"2113","53026",5,"Stop1","3930",0.0666666666666667
"2119","68113",5,"Stop1","3930",0.0666666666666667
"2135","34034",5,"Stop1","3940",0.0666666666666667
"2142","58116",5,"Stop1","3940",0.0666666666666667
"2143","59020",5,"Stop1","3940",0.266666666666667
"2147","68119",5,"Stop1","3940",0.0666666666666667
"2148","68317",5,"Stop1","3940",0.0666666666666667
"2151","72035",5,"Stop1","3940",0.2
"2152","72036",5,"Stop1","3940",0.466666666666667
"2153","72132",5,"Stop1","3940",0.133333333333333
"2158","89029",5,"Stop1","3940",0.0666666666666667
"2161","14098",5,"Stop1","3970",0.133333333333333
"2211","89019",5,"Stop1","4010",0.0666666666666667
"2218","45101",5,"Stop1","4020",0.133333333333333
"2223","58116",5,"Stop1","4020",0.0666666666666667
"2228","68119",5,"Stop1","4020",0.0666666666666667
"2229","68317",5,"Stop1","4020",0.0666666666666667
"2230","72029",5,"Stop1","4020",0.466666666666667
"2231","72034",5,"Stop1","4020",0.333333333333333
"2234","72132",5,"Stop1","4020",0.0666666666666667
"2235","76306",5,"Stop1","4020",0.4
"2247","53025",5,"Stop1","4021",0.0666666666666667
"2248","53026",5,"Stop1","4021",0.0666666666666667
"2266","89029",5,"Stop1","4021",0.266666666666667
"2294","89043",5,"Stop1","4030",0.133333333333333
"2295","89078",5,"Stop1","4030",0.0666666666666667
"2311","72029",5,"Stop1","4050",0.0666666666666667
"2313","72035",5,"Stop1","4050",0.266666666666667
"2315","72132",5,"Stop1","4050",0.0666666666666667
"2317","88924",5,"Stop1","4050",0.0666666666666667
"2324","34034",5,"Stop1","4060",0.0666666666666667
"2325","39028",5,"Stop1","4060",0.133333333333333
"2350","14098",5,"Stop1","4070",0.533333333333333
"2378","34034",5,"Stop1","4090",0.0666666666666667
"2379","39028",5,"Stop1","4090",0.133333333333333
"2381","46121",5,"Stop1","4090",0.466666666666667
"2386","59020",5,"Stop1","4090",0.2
"2405","34034",5,"Stop1","4120",0.133333333333333
"2406","39028",5,"Stop1","4120",0.0666666666666667
"2407","45101",5,"Stop1","4120",0.0666666666666667
"2408","46121",5,"Stop1","4120",0.0666666666666667
"2412","58116",5,"Stop1","4120",0.0666666666666667
"2413","59020",5,"Stop1","4120",0.266666666666667
"2414","64038",5,"Stop1","4120",0.0666666666666667
"2419","72029",5,"Stop1","4120",0.0666666666666667
"2422","72036",5,"Stop1","4120",0.133333333333333
"2423","72132",5,"Stop1","4120",0.0666666666666667
"2424","76306",5,"Stop1","4120",0.0666666666666667
"2436","53025",5,"Stop1","4130",0.133333333333333
"2438","55011",5,"Stop1","4130",0.2
"2453","89001",5,"Stop1","4130",0.0666666666666667
"2455","89029",5,"Stop1","4130",0.0666666666666667
"2460","39028",5,"Stop1","4160",0.466666666666667
"2487","39028",5,"Stop1","4171",0.0666666666666667
"2488","45101",5,"Stop1","4171",0.2
"2506","88924",5,"Stop1","4171",0.533333333333333
"2512","14098",5,"Stop1","4180",0.2
"2519","55011",5,"Stop1","4180",0.733333333333333
"2540","34034",5,"Stop1","4200",0.0666666666666667
"2542","45101",5,"Stop1","4200",0.4
"2544","53025",5,"Stop1","4200",0.533333333333333
"2545","53026",5,"Stop1","4200",0.2
"2546","55011",5,"Stop1","4200",0.8
"2553","68317",5,"Stop1","4200",0.0666666666666667
"2561","89001",5,"Stop1","4200",0.733333333333333
"2563","89029",5,"Stop1","4200",0.533333333333333
"2564","89043",5,"Stop1","4200",0.533333333333333
"2567","34034",5,"Stop1","4230",0.2
"2570","46121",5,"Stop1","4230",0.333333333333333
"2575","59020",5,"Stop1","4230",0.0666666666666667
"2586","76306",5,"Stop1","4230",0.0666666666666667
"2587","88924",5,"Stop1","4230",0.0666666666666667
"2595","39028",5,"Stop1","4280",0.133333333333333
"2609","72034",5,"Stop1","4280",0.0666666666666667
"2612","72132",5,"Stop1","4280",0.0666666666666667
"2613","76306",5,"Stop1","4280",0.0666666666666667
"2620","14098",5,"Stop1","4310",0.266666666666667
"2669","89001",5,"Stop1","4330",0.133333333333333
"2671","89029",5,"Stop1","4330",0.133333333333333
"2672","89043",5,"Stop1","4330",0.0666666666666667
"2673","89078",5,"Stop1","4330",0.133333333333333
"2675","34034",5,"Stop1","4440",0.466666666666667
"2676","39028",5,"Stop1","4440",0.533333333333333
"2677","45101",5,"Stop1","4440",0.0666666666666667
"2683","59020",5,"Stop1","4440",0.4
"2684","64038",5,"Stop1","4440",0.733333333333333
"2685","64039",5,"Stop1","4440",0.466666666666667
"2686","68113",5,"Stop1","4440",0.333333333333333
"2687","68119",5,"Stop1","4440",0.666666666666667
"2688","68317",5,"Stop1","4440",0.333333333333333
"2690","72034",5,"Stop1","4440",0.133333333333333
"2691","72035",5,"Stop1","4440",0.0666666666666667
"2692","72036",5,"Stop1","4440",0.2
"2693","72132",5,"Stop1","4440",0.733333333333333
"2694","76306",5,"Stop1","4440",0.333333333333333
"2695","88924",5,"Stop1","4440",0.333333333333333
"2698","89029",5,"Stop1","4440",0.266666666666667
"2701","14098",5,"Stop1","4470",0.866666666666667
"2711","64038",5,"Stop1","4470",0.0666666666666667
"2712","64039",5,"Stop1","4470",0.666666666666667
"2725","89029",5,"Stop1","4470",0.466666666666667
"2735","55011",5,"Stop1","4480",0.0666666666666667
"2756","34034",5,"Stop1","4520",0.2
"2757","39028",5,"Stop1","4520",0.0666666666666667
"2758","45101",5,"Stop1","4520",0.0666666666666667
"2759","46121",5,"Stop1","4520",0.666666666666667
"2764","59020",5,"Stop1","4520",0.0666666666666667
"2768","68119",5,"Stop1","4520",0.733333333333333
"2769","68317",5,"Stop1","4520",0.133333333333333
"2770","72029",5,"Stop1","4520",0.533333333333333
"2772","72035",5,"Stop1","4520",0.133333333333333
"2773","72036",5,"Stop1","4520",0.133333333333333
"2775","76306",5,"Stop1","4520",0.466666666666667
"2776","88924",5,"Stop1","4520",0.2
"2782","14098",5,"Stop1","4540",0.933333333333333
"2789","55011",5,"Stop1","4540",0.733333333333333
"2810","34034",5,"Stop1","4560",0.6
"2811","39028",5,"Stop1","4560",0.133333333333333
"2817","58116",5,"Stop1","4560",0.666666666666667
"2818","59020",5,"Stop1","4560",0.0666666666666667
"2821","68113",5,"Stop1","4560",0.866666666666667
"2822","68119",5,"Stop1","4560",0.733333333333333
"2823","68317",5,"Stop1","4560",0.533333333333333
"2824","72029",5,"Stop1","4560",1
"2825","72034",5,"Stop1","4560",0.933333333333333
"2826","72035",5,"Stop1","4560",1
"2827","72036",5,"Stop1","4560",0.933333333333333
"2828","72132",5,"Stop1","4560",1
"2829","76306",5,"Stop1","4560",0.933333333333333
"2830","88924",5,"Stop1","4560",0.8
"2847","64039",5,"Stop1","4570",0.733333333333333
"2860","89029",5,"Stop1","4570",0.533333333333333
"2863","14098",5,"Stop1","4580",0.666666666666667
"2893","45101",5,"Stop1","4590",0.333333333333333
"2913","89019",5,"Stop1","4590",0.666666666666667
"2915","89043",5,"Stop1","4590",0.666666666666667
"2918","34034",5,"Stop1","4610",0.733333333333333
"2919","39028",5,"Stop1","4610",0.333333333333333
"2920","45101",5,"Stop1","4610",0.0666666666666667
"2925","58116",5,"Stop1","4610",0.2
"2926","59020",5,"Stop1","4610",0.0666666666666667
"2930","68119",5,"Stop1","4610",0.2
"2931","68317",5,"Stop1","4610",0.4
"2932","72029",5,"Stop1","4610",0.2
"2933","72034",5,"Stop1","4610",0.2
"2934","72035",5,"Stop1","4610",0.133333333333333
"2935","72036",5,"Stop1","4610",0.266666666666667
"2936","72132",5,"Stop1","4610",0.533333333333333
"2938","88924",5,"Stop1","4610",0.133333333333333
"2944","14098",5,"Stop1","4620",0.6
"2949","53025",5,"Stop1","4620",0.466666666666667
"2950","53026",5,"Stop1","4620",0.2
"2968","89029",5,"Stop1","4620",0.933333333333333
"2974","45101",5,"Stop1","4630",0.133333333333333
"2998","14098",5,"Stop1","4641",0.666666666666667
"3020","89001",5,"Stop1","4641",0.866666666666667
"3022","89029",5,"Stop1","4641",0.266666666666667
"3023","89043",5,"Stop1","4641",1
"3024","89078",5,"Stop1","4641",0.933333333333333
"3044","72132",5,"Stop1","4650",0.0666666666666667
"3046","88924",5,"Stop1","4650",0.4
"3057","53025",5,"Stop1","4660",0.133333333333333
"3058","53026",5,"Stop1","4660",0.933333333333333
"3065","68119",5,"Stop1","4660",0.333333333333333
"3066","68317",5,"Stop1","4660",0.133333333333333
"3068","72034",5,"Stop1","4660",0.133333333333333
"3069","72035",5,"Stop1","4660",0.133333333333333
"3073","88924",5,"Stop1","4660",0.0666666666666667
"3076","89029",5,"Stop1","4660",0.133333333333333
"3078","89078",5,"Stop1","4660",0.6
"3082","45101",5,"Stop1","4661",0.733333333333333
"3087","58116",5,"Stop1","4661",0.333333333333333
"3091","68113",5,"Stop1","4661",0.2
"3092","68119",5,"Stop1","4661",1
"3093","68317",5,"Stop1","4661",0.133333333333333
"3098","72132",5,"Stop1","4661",0.0666666666666667
"3099","76306",5,"Stop1","4661",0.8
"3109","45101",5,"Stop1","4670",0.133333333333333
"3112","53026",5,"Stop1","4670",0.0666666666666667
"3114","58116",5,"Stop1","4670",0.466666666666667
"3117","64039",5,"Stop1","4670",0.133333333333333
"3119","68119",5,"Stop1","4670",0.2
"3120","68317",5,"Stop1","4670",0.0666666666666667
"3121","72029",5,"Stop1","4670",0.4
"3122","72034",5,"Stop1","4670",0.6
"3123","72035",5,"Stop1","4670",0.466666666666667
"3124","72036",5,"Stop1","4670",0.0666666666666667
"3125","72132",5,"Stop1","4670",0.933333333333333
"3126","76306",5,"Stop1","4670",0.133333333333333
"3127","88924",5,"Stop1","4670",0.0666666666666667
"3138","53025",5,"Stop1","4680",0.4
"3139","53026",5,"Stop1","4680",0.266666666666667
"3155","89001",5,"Stop1","4680",0.0666666666666667
"3156","89019",5,"Stop1","4680",0.466666666666667
"3157","89029",5,"Stop1","4680",0.266666666666667
"3158","89043",5,"Stop1","4680",0.2
"3159","89078",5,"Stop1","4680",0.266666666666667
"3165","53025",5,"Stop1","4690",0.733333333333333
"3166","53026",5,"Stop1","4690",0.933333333333333
"3184","89029",5,"Stop1","4690",0.0666666666666667
"3194","55011",5,"Stop1","4691",0.666666666666667
"3224","64038",5,"Stop1","4740",1
"3225","64039",5,"Stop1","4740",0.866666666666667
"3232","72036",5,"Stop1","4740",0.6
"3241","14098",5,"Stop1","4760",0.133333333333333
"3269","34034",5,"Stop1","4770",0.533333333333333
"3270","39028",5,"Stop1","4770",0.266666666666667
"3271","45101",5,"Stop1","4770",0.2
"3272","46121",5,"Stop1","4770",0.533333333333333
"3276","58116",5,"Stop1","4770",0.0666666666666667
"3277","59020",5,"Stop1","4770",0.333333333333333
"3280","68113",5,"Stop1","4770",0.133333333333333
"3281","68119",5,"Stop1","4770",0.466666666666667
"3282","68317",5,"Stop1","4770",0.133333333333333
"3283","72029",5,"Stop1","4770",0.8
"3284","72034",5,"Stop1","4770",0.333333333333333
"3285","72035",5,"Stop1","4770",0.266666666666667
"3286","72036",5,"Stop1","4770",0.4
"3287","72132",5,"Stop1","4770",0.0666666666666667
"3288","76306",5,"Stop1","4770",0.466666666666667
"3289","88924",5,"Stop1","4770",0.133333333333333
"3317","89001",5,"Stop1","4780",0.4
"3318","89019",5,"Stop1","4780",0.133333333333333
"3320","89043",5,"Stop1","4780",0.0666666666666667
"3321","89078",5,"Stop1","4780",0.133333333333333
"3322","14098",5,"Stop1","4810",0.4
"3352","45101",5,"Stop1","4840",0.0666666666666667
"3372","89019",5,"Stop1","4840",0.0666666666666667
"3374","89043",5,"Stop1","4840",0.133333333333333
"3379","45101",5,"Stop1","4860",0.133333333333333
"3381","53025",5,"Stop1","4860",0.133333333333333
"3382","53026",5,"Stop1","4860",0.0666666666666667
"3383","55011",5,"Stop1","4860",0.133333333333333
"3384","58116",5,"Stop1","4860",0.0666666666666667
"3391","72029",5,"Stop1","4860",0.266666666666667
"3392","72034",5,"Stop1","4860",0.2
"3393","72035",5,"Stop1","4860",0.0666666666666667
"3395","72132",5,"Stop1","4860",0.4
"3396","76306",5,"Stop1","4860",0.133333333333333
"3398","89001",5,"Stop1","4860",0.466666666666667
"3399","89019",5,"Stop1","4860",0.0666666666666667
"3402","89078",5,"Stop1","4860",0.2
"3403","14098",5,"Stop1","4880",0.2
"3404","34034",5,"Stop1","4880",0.8
"3405","39028",5,"Stop1","4880",1
"3407","46121",5,"Stop1","4880",0.933333333333333
"3408","53025",5,"Stop1","4880",0.133333333333333
"3409","53026",5,"Stop1","4880",0.2
"3411","58116",5,"Stop1","4880",0.8
"3412","59020",5,"Stop1","4880",1
"3413","64038",5,"Stop1","4880",0.0666666666666667
"3414","64039",5,"Stop1","4880",0.866666666666667
"3415","68113",5,"Stop1","4880",0.933333333333333
"3416","68119",5,"Stop1","4880",1
"3417","68317",5,"Stop1","4880",1
"3418","72029",5,"Stop1","4880",1
"3419","72034",5,"Stop1","4880",1
"3420","72035",5,"Stop1","4880",1
"3421","72036",5,"Stop1","4880",1
"3422","72132",5,"Stop1","4880",0.866666666666667
"3423","76306",5,"Stop1","4880",1
"3424","88924",5,"Stop1","4880",0.8
"3427","89029",5,"Stop1","4880",0.2
"3429","89078",5,"Stop1","4880",0.2
"3434","46121",5,"Stop1","4881",0.133333333333333
"3479","89001",5,"Stop1","4882",0.533333333333333
"3506","89001",5,"Stop1","4890",0.2
"3515","46121",5,"Stop1","4900",0.466666666666667
"3520","59020",5,"Stop1","4900",0.0666666666666667
"3529","72036",5,"Stop1","4900",0.266666666666667
"3562","89029",5,"Stop1","4910",0.0666666666666667
"3572","55011",5,"Stop1","4920",0.466666666666667
"3592","14098",5,"Stop1","4930",0.4
"3593","34034",5,"Stop1","4930",0.666666666666667
"3594","39028",5,"Stop1","4930",0.466666666666667
"3596","46121",5,"Stop1","4930",0.0666666666666667
"3601","59020",5,"Stop1","4930",0.6
"3603","64039",5,"Stop1","4930",0.2
"3604","68113",5,"Stop1","4930",0.8
"3605","68119",5,"Stop1","4930",0.266666666666667
"3607","72029",5,"Stop1","4930",0.133333333333333
"3608","72034",5,"Stop1","4930",0.0666666666666667
"3609","72035",5,"Stop1","4930",0.733333333333333
"3610","72036",5,"Stop1","4930",0.933333333333333
"3611","72132",5,"Stop1","4930",0.333333333333333
"3612","76306",5,"Stop1","4930",0.266666666666667
"3613","88924",5,"Stop1","4930",0.133333333333333
"3614","89001",5,"Stop1","4930",0.0666666666666667
"3618","89078",5,"Stop1","4930",0.133333333333333
"3620","34034",5,"Stop1","4940",0.0666666666666667
