"","site","species","year","count"
"88","d228_hb","White-br. Nuthatch",1971,2
"90","d228_hb","Winter Wren",1971,1.5
"91","d228_hb","Robin",1971,4.5
"92","d228_hb","Wood Thrush",1971,9
"93","d228_hb","Hermit Thrush",1971,7
"94","d228_hb","Veery",1971,5
"95","d228_hb","Swainson's Thrush",1971,11
"96","d228_hb","Philadelphia Vireo",1971,5
"98","d228_hb","Red-eyed Vireo",1971,29
"100","d228_hb","Bk.-thr. Green Warbler",1971,12
"101","d228_hb","Bk.-thr. Blue Warbler",1971,11
"103","d228_hb","Blackburnian Warbler",1971,4
"105","d228_hb","Ovenbird",1971,9
"106","d228_hb","American Redstart",1971,29
"108","d228_hb","Scarlet Tanager",1971,5
"109","d228_hb","Rose-br. Grosbeak",1971,6
"111","d228_hb","Dark-eyed Junco",1971,8
"112","d228_hb","Purple Finch",1971,1
"118","d228_hb","Yellow-b.Sapsucker",1972,4
"119","d228_hb","Hairy Woodpecker",1972,2
"120","d228_hb","Downy Woodpecker",1972,2
"121","d228_hb","Least Flycatcher",1972,49.5
"124","d228_hb","Black-c. Chickadee",1972,0.5
"126","d228_hb","White-br. Nuthatch",1972,2
"128","d228_hb","Winter Wren",1972,0.5
"129","d228_hb","Robin",1972,1.5
"130","d228_hb","Wood Thrush",1972,7
"131","d228_hb","Hermit Thrush",1972,7
"132","d228_hb","Veery",1972,2
"133","d228_hb","Swainson's Thrush",1972,11
"134","d228_hb","Philadelphia Vireo",1972,8
"135","d228_hb","Solitary Vireo",1972,0.5
"136","d228_hb","Red-eyed Vireo",1972,22
"138","d228_hb","Bk.-thr. Green Warbler",1972,7
"139","d228_hb","Bk.-thr. Blue Warbler",1972,9
"140","d228_hb","Yellow-r. Warbler",1972,1
"141","d228_hb","Blackburnian Warbler",1972,7
"143","d228_hb","Ovenbird",1972,9
"144","d228_hb","American Redstart",1972,29
"146","d228_hb","Scarlet Tanager",1972,8
"147","d228_hb","Rose-br. Grosbeak",1972,10
"149","d228_hb","Dark-eyed Junco",1972,8
"150","d228_hb","Purple Finch",1972,6
"156","d228_hb","Yellow-b.Sapsucker",1973,4
"157","d228_hb","Hairy Woodpecker",1973,2
"158","d228_hb","Downy Woodpecker",1973,2
"159","d228_hb","Least Flycatcher",1973,57
"163","d228_hb","Brown Creeper",1973,0.5
"164","d228_hb","White-br. Nuthatch",1973,1
"166","d228_hb","Winter Wren",1973,3
"168","d228_hb","Wood Thrush",1973,4
"169","d228_hb","Hermit Thrush",1973,4
"170","d228_hb","Veery",1973,1
"171","d228_hb","Swainson's Thrush",1973,9
"172","d228_hb","Philadelphia Vireo",1973,4
"173","d228_hb","Solitary Vireo",1973,1
"174","d228_hb","Red-eyed Vireo",1973,26
"176","d228_hb","Bk.-thr. Green Warbler",1973,6
"177","d228_hb","Bk.-thr. Blue Warbler",1973,11
"179","d228_hb","Blackburnian Warbler",1973,4
"181","d228_hb","Ovenbird",1973,11
"182","d228_hb","American Redstart",1973,26
"184","d228_hb","Scarlet Tanager",1973,7
"185","d228_hb","Rose-br. Grosbeak",1973,4.5
"187","d228_hb","Dark-eyed Junco",1973,2
"188","d228_hb","Purple Finch",1973,2
"192","d228_hb","Ruby-thr. Hummingbird",1974,3
"194","d228_hb","Yellow-b.Sapsucker",1974,3
"195","d228_hb","Hairy Woodpecker",1974,1
"196","d228_hb","Downy Woodpecker",1974,2
"197","d228_hb","Least Flycatcher",1974,26
"200","d228_hb","Black-c. Chickadee",1974,1
"201","d228_hb","Brown Creeper",1974,1
"202","d228_hb","White-br. Nuthatch",1974,1
"204","d228_hb","Winter Wren",1974,6
"206","d228_hb","Wood Thrush",1974,5
"207","d228_hb","Hermit Thrush",1974,2
"208","d228_hb","Veery",1974,0.5
"209","d228_hb","Swainson's Thrush",1974,6.5
"210","d228_hb","Philadelphia Vireo",1974,4
"211","d228_hb","Solitary Vireo",1974,1
"212","d228_hb","Red-eyed Vireo",1974,23
"214","d228_hb","Bk.-thr. Green Warbler",1974,10
"215","d228_hb","Bk.-thr. Blue Warbler",1974,11
"217","d228_hb","Blackburnian Warbler",1974,6
"219","d228_hb","Ovenbird",1974,10
"220","d228_hb","American Redstart",1974,22
"222","d228_hb","Scarlet Tanager",1974,3
"223","d228_hb","Rose-br. Grosbeak",1974,8
"225","d228_hb","Dark-eyed Junco",1974,5
"232","d228_hb","Yellow-b.Sapsucker",1975,5
"233","d228_hb","Hairy Woodpecker",1975,2
"234","d228_hb","Downy Woodpecker",1975,3
"235","d228_hb","Least Flycatcher",1975,30
"238","d228_hb","Black-c. Chickadee",1975,1
"240","d228_hb","White-br. Nuthatch",1975,1.5
"242","d228_hb","Winter Wren",1975,2
"244","d228_hb","Wood Thrush",1975,6.5
"245","d228_hb","Hermit Thrush",1975,7.5
"246","d228_hb","Veery",1975,2.5
"247","d228_hb","Swainson's Thrush",1975,8
"248","d228_hb","Philadelphia Vireo",1975,3.5
"250","d228_hb","Red-eyed Vireo",1975,31
"252","d228_hb","Bk.-thr. Green Warbler",1975,8
"253","d228_hb","Bk.-thr. Blue Warbler",1975,12
"255","d228_hb","Blackburnian Warbler",1975,6
"257","d228_hb","Ovenbird",1975,18
"258","d228_hb","American Redstart",1975,39
"260","d228_hb","Scarlet Tanager",1975,1.5
"261","d228_hb","Rose-br. Grosbeak",1975,7.5
"263","d228_hb","Dark-eyed Junco",1975,5
"270","d228_hb","Yellow-b.Sapsucker",1976,5
"271","d228_hb","Hairy Woodpecker",1976,2
"272","d228_hb","Downy Woodpecker",1976,2.5
"273","d228_hb","Least Flycatcher",1976,28
"278","d228_hb","White-br. Nuthatch",1976,1.5
"280","d228_hb","Winter Wren",1976,5
"282","d228_hb","Wood Thrush",1976,5
"283","d228_hb","Hermit Thrush",1976,5
"284","d228_hb","Veery",1976,2.5
"285","d228_hb","Swainson's Thrush",1976,7
"286","d228_hb","Philadelphia Vireo",1976,3.5
"287","d228_hb","Solitary Vireo",1976,0.5
"288","d228_hb","Red-eyed Vireo",1976,30
"290","d228_hb","Bk.-thr. Green Warbler",1976,8
"291","d228_hb","Bk.-thr. Blue Warbler",1976,11
"293","d228_hb","Blackburnian Warbler",1976,2
"295","d228_hb","Ovenbird",1976,18.5
"296","d228_hb","American Redstart",1976,42
"298","d228_hb","Scarlet Tanager",1976,1.5
"299","d228_hb","Rose-br. Grosbeak",1976,7
"301","d228_hb","Dark-eyed Junco",1976,6
"308","d228_hb","Yellow-b.Sapsucker",1977,5
"309","d228_hb","Hairy Woodpecker",1977,3
"310","d228_hb","Downy Woodpecker",1977,3
"311","d228_hb","Least Flycatcher",1977,34
"314","d228_hb","Black-c. Chickadee",1977,2
"316","d228_hb","White-br. Nuthatch",1977,3
"318","d228_hb","Winter Wren",1977,1
"320","d228_hb","Wood Thrush",1977,9
"321","d228_hb","Hermit Thrush",1977,4
"322","d228_hb","Veery",1977,3
"323","d228_hb","Swainson's Thrush",1977,4
"324","d228_hb","Philadelphia Vireo",1977,2
"325","d228_hb","Solitary Vireo",1977,4
"326","d228_hb","Red-eyed Vireo",1977,23.5
"328","d228_hb","Bk.-thr. Green Warbler",1977,7
"329","d228_hb","Bk.-thr. Blue Warbler",1977,12
"331","d228_hb","Blackburnian Warbler",1977,3
"333","d228_hb","Ovenbird",1977,9
"334","d228_hb","American Redstart",1977,44
"336","d228_hb","Scarlet Tanager",1977,4
"337","d228_hb","Rose-br. Grosbeak",1977,5
"339","d228_hb","Dark-eyed Junco",1977,2
"346","d228_hb","Yellow-b.Sapsucker",1978,3
"347","d228_hb","Hairy Woodpecker",1978,2
"348","d228_hb","Downy Woodpecker",1978,3.5
"349","d228_hb","Least Flycatcher",1978,22
"354","d228_hb","White-br. Nuthatch",1978,2.5
"358","d228_hb","Wood Thrush",1978,7
"359","d228_hb","Hermit Thrush",1978,1.5
"360","d228_hb","Veery",1978,4
"361","d228_hb","Swainson's Thrush",1978,5
"362","d228_hb","Philadelphia Vireo",1978,3
"363","d228_hb","Solitary Vireo",1978,3
"364","d228_hb","Red-eyed Vireo",1978,20
"366","d228_hb","Bk.-thr. Green Warbler",1978,7.5
"367","d228_hb","Bk.-thr. Blue Warbler",1978,10.5
"369","d228_hb","Blackburnian Warbler",1978,1
"371","d228_hb","Ovenbird",1978,13
"372","d228_hb","American Redstart",1978,32.5
"374","d228_hb","Scarlet Tanager",1978,3.5
"375","d228_hb","Rose-br. Grosbeak",1978,4
"384","d228_hb","Yellow-b.Sapsucker",1979,4
"385","d228_hb","Hairy Woodpecker",1979,3
"386","d228_hb","Downy Woodpecker",1979,2
"387","d228_hb","Least Flycatcher",1979,22
"392","d228_hb","White-br. Nuthatch",1979,1
"396","d228_hb","Wood Thrush",1979,7
"398","d228_hb","Veery",1979,3
"399","d228_hb","Swainson's Thrush",1979,7
"400","d228_hb","Philadelphia Vireo",1979,2
"402","d228_hb","Red-eyed Vireo",1979,16
"404","d228_hb","Bk.-thr. Green Warbler",1979,9
"405","d228_hb","Bk.-thr. Blue Warbler",1979,14.5
"406","d228_hb","Yellow-r. Warbler",1979,1
"407","d228_hb","Blackburnian Warbler",1979,1
"409","d228_hb","Ovenbird",1979,12
"410","d228_hb","American Redstart",1979,36
"412","d228_hb","Scarlet Tanager",1979,2
"413","d228_hb","Rose-br. Grosbeak",1979,4
"422","d228_hb","Yellow-b.Sapsucker",1980,2
"423","d228_hb","Hairy Woodpecker",1980,2
"424","d228_hb","Downy Woodpecker",1980,4
"425","d228_hb","Least Flycatcher",1980,15
"427","d228_hb","Blue Jay",1980,1
"428","d228_hb","Black-c. Chickadee",1980,2
"429","d228_hb","Brown Creeper",1980,2
"430","d228_hb","White-br. Nuthatch",1980,2
"432","d228_hb","Winter Wren",1980,1
"434","d228_hb","Wood Thrush",1980,3
"435","d228_hb","Hermit Thrush",1980,2
"436","d228_hb","Veery",1980,1
"437","d228_hb","Swainson's Thrush",1980,3
"438","d228_hb","Philadelphia Vireo",1980,3
"440","d228_hb","Red-eyed Vireo",1980,13
"442","d228_hb","Bk.-thr. Green Warbler",1980,10
"443","d228_hb","Bk.-thr. Blue Warbler",1980,8
"445","d228_hb","Blackburnian Warbler",1980,2
"447","d228_hb","Ovenbird",1980,10
"448","d228_hb","American Redstart",1980,34.5
"450","d228_hb","Scarlet Tanager",1980,4
"451","d228_hb","Rose-br. Grosbeak",1980,6
"460","d228_hb","Yellow-b.Sapsucker",1981,2.5
"461","d228_hb","Hairy Woodpecker",1981,2
"463","d228_hb","Least Flycatcher",1981,1
"464","d228_hb","Wood Pewee",1981,2
"465","d228_hb","Blue Jay",1981,1.5
"466","d228_hb","Black-c. Chickadee",1981,1
"468","d228_hb","White-br. Nuthatch",1981,3
"470","d228_hb","Winter Wren",1981,0.5
"472","d228_hb","Wood Thrush",1981,0.5
"473","d228_hb","Hermit Thrush",1981,1
"474","d228_hb","Veery",1981,2
"475","d228_hb","Swainson's Thrush",1981,2
"476","d228_hb","Philadelphia Vireo",1981,2
"478","d228_hb","Red-eyed Vireo",1981,26
"480","d228_hb","Bk.-thr. Green Warbler",1981,9
"481","d228_hb","Bk.-thr. Blue Warbler",1981,12
"483","d228_hb","Blackburnian Warbler",1981,3.5
"485","d228_hb","Ovenbird",1981,10
"486","d228_hb","American Redstart",1981,22
"488","d228_hb","Scarlet Tanager",1981,5
"489","d228_hb","Rose-br. Grosbeak",1981,8
"498","d228_hb","Yellow-b.Sapsucker",1982,2
"499","d228_hb","Hairy Woodpecker",1982,3
"500","d228_hb","Downy Woodpecker",1982,1
"506","d228_hb","White-br. Nuthatch",1982,2
"510","d228_hb","Wood Thrush",1982,2
"511","d228_hb","Hermit Thrush",1982,1
"512","d228_hb","Veery",1982,3
"513","d228_hb","Swainson's Thrush",1982,1
"514","d228_hb","Philadelphia Vireo",1982,2
"516","d228_hb","Red-eyed Vireo",1982,23
"518","d228_hb","Bk.-thr. Green Warbler",1982,8.5
"519","d228_hb","Bk.-thr. Blue Warbler",1982,14
"520","d228_hb","Yellow-r. Warbler",1982,1
"521","d228_hb","Blackburnian Warbler",1982,4.5
"523","d228_hb","Ovenbird",1982,11
"524","d228_hb","American Redstart",1982,32
"526","d228_hb","Scarlet Tanager",1982,6
"527","d228_hb","Rose-br. Grosbeak",1982,7
"536","d228_hb","Yellow-b.Sapsucker",1983,2
"537","d228_hb","Hairy Woodpecker",1983,0.5
"538","d228_hb","Downy Woodpecker",1983,3
"544","d228_hb","White-br. Nuthatch",1983,1.5
"548","d228_hb","Wood Thrush",1983,2
"549","d228_hb","Hermit Thrush",1983,2
"550","d228_hb","Veery",1983,2
"551","d228_hb","Swainson's Thrush",1983,2
"554","d228_hb","Red-eyed Vireo",1983,22
"556","d228_hb","Bk.-thr. Green Warbler",1983,11
"557","d228_hb","Bk.-thr. Blue Warbler",1983,13.5
"559","d228_hb","Blackburnian Warbler",1983,2
"561","d228_hb","Ovenbird",1983,13.5
"562","d228_hb","American Redstart",1983,30
"564","d228_hb","Scarlet Tanager",1983,7
"565","d228_hb","Rose-br. Grosbeak",1983,4
"574","d228_hb","Yellow-b.Sapsucker",1984,2
"575","d228_hb","Hairy Woodpecker",1984,1
"576","d228_hb","Downy Woodpecker",1984,1.5
"582","d228_hb","White-br. Nuthatch",1984,2.5
"586","d228_hb","Wood Thrush",1984,1
"587","d228_hb","Hermit Thrush",1984,3.5
"588","d228_hb","Veery",1984,2
"589","d228_hb","Swainson's Thrush",1984,2
"592","d228_hb","Red-eyed Vireo",1984,20.5
"594","d228_hb","Bk.-thr. Green Warbler",1984,7
"595","d228_hb","Bk.-thr. Blue Warbler",1984,9.5
"597","d228_hb","Blackburnian Warbler",1984,1
"599","d228_hb","Ovenbird",1984,11
"600","d228_hb","American Redstart",1984,14
"602","d228_hb","Scarlet Tanager",1984,4
"603","d228_hb","Rose-br. Grosbeak",1984,5
"605","d228_hb","Dark-eyed Junco",1984,1
"610","d228_hb","Ruby-thr. Hummingbird",1985,2
"612","d228_hb","Yellow-b.Sapsucker",1985,1
"613","d228_hb","Hairy Woodpecker",1985,2
"614","d228_hb","Downy Woodpecker",1985,2
"618","d228_hb","Black-c. Chickadee",1985,1
"620","d228_hb","White-br. Nuthatch",1985,2
"624","d228_hb","Wood Thrush",1985,1
"625","d228_hb","Hermit Thrush",1985,2
"626","d228_hb","Veery",1985,4.5
"627","d228_hb","Swainson's Thrush",1985,4
"629","d228_hb","Solitary Vireo",1985,0.5
"630","d228_hb","Red-eyed Vireo",1985,21.5
"632","d228_hb","Bk.-thr. Green Warbler",1985,15
"633","d228_hb","Bk.-thr. Blue Warbler",1985,8.5
"634","d228_hb","Yellow-r. Warbler",1985,3
"635","d228_hb","Blackburnian Warbler",1985,0.5
"637","d228_hb","Ovenbird",1985,10
"638","d228_hb","American Redstart",1985,27
"640","d228_hb","Scarlet Tanager",1985,3
"641","d228_hb","Rose-br. Grosbeak",1985,5.5
"650","d228_hb","Yellow-b.Sapsucker",1986,2
"651","d228_hb","Hairy Woodpecker",1986,1.5
"657","d228_hb","Brown Creeper",1986,0.5
"658","d228_hb","White-br. Nuthatch",1986,1
"662","d228_hb","Wood Thrush",1986,1.5
"663","d228_hb","Hermit Thrush",1986,2
"664","d228_hb","Veery",1986,2.5
"665","d228_hb","Swainson's Thrush",1986,1.5
"668","d228_hb","Red-eyed Vireo",1986,22
"670","d228_hb","Bk.-thr. Green Warbler",1986,8.5
"671","d228_hb","Bk.-thr. Blue Warbler",1986,10.5
"672","d228_hb","Yellow-r. Warbler",1986,1.5
"673","d228_hb","Blackburnian Warbler",1986,2
"675","d228_hb","Ovenbird",1986,16
"676","d228_hb","American Redstart",1986,13
"678","d228_hb","Scarlet Tanager",1986,2
"679","d228_hb","Rose-br. Grosbeak",1986,2.5
"688","d228_hb","Yellow-b.Sapsucker",1987,2
"689","d228_hb","Hairy Woodpecker",1987,1.5
"696","d228_hb","White-br. Nuthatch",1987,1
"698","d228_hb","Winter Wren",1987,0.5
"701","d228_hb","Hermit Thrush",1987,2
"702","d228_hb","Veery",1987,1.5
"703","d228_hb","Swainson's Thrush",1987,2
"705","d228_hb","Solitary Vireo",1987,0.5
"706","d228_hb","Red-eyed Vireo",1987,19.5
"708","d228_hb","Bk.-thr. Green Warbler",1987,12
"709","d228_hb","Bk.-thr. Blue Warbler",1987,11.5
"713","d228_hb","Ovenbird",1987,15.5
"714","d228_hb","American Redstart",1987,11
"716","d228_hb","Scarlet Tanager",1987,1.5
"717","d228_hb","Rose-br. Grosbeak",1987,2.5
"726","d228_hb","Yellow-b.Sapsucker",1988,1
"727","d228_hb","Hairy Woodpecker",1988,1.5
"728","d228_hb","Downy Woodpecker",1988,1.5
"729","d228_hb","Least Flycatcher",1988,6
"731","d228_hb","Blue Jay",1988,0.5
"733","d228_hb","Brown Creeper",1988,0.5
"734","d228_hb","White-br. Nuthatch",1988,1
"736","d228_hb","Winter Wren",1988,1
"739","d228_hb","Hermit Thrush",1988,4
"740","d228_hb","Veery",1988,1.5
"741","d228_hb","Swainson's Thrush",1988,2
"744","d228_hb","Red-eyed Vireo",1988,22
"746","d228_hb","Bk.-thr. Green Warbler",1988,17
"747","d228_hb","Bk.-thr. Blue Warbler",1988,9
"748","d228_hb","Yellow-r. Warbler",1988,2.5
"751","d228_hb","Ovenbird",1988,21.5
"752","d228_hb","American Redstart",1988,13.5
"754","d228_hb","Scarlet Tanager",1988,2
"755","d228_hb","Rose-br. Grosbeak",1988,2.5
"757","d228_hb","Dark-eyed Junco",1988,2
"764","d228_hb","Yellow-b.Sapsucker",1989,1.5
"765","d228_hb","Hairy Woodpecker",1989,1
"766","d228_hb","Downy Woodpecker",1989,2
"770","d228_hb","Black-c. Chickadee",1989,2
"772","d228_hb","White-br. Nuthatch",1989,2
"774","d228_hb","Winter Wren",1989,1
"776","d228_hb","Wood Thrush",1989,1
"777","d228_hb","Hermit Thrush",1989,4
"778","d228_hb","Veery",1989,0.5
"779","d228_hb","Swainson's Thrush",1989,2
"782","d228_hb","Red-eyed Vireo",1989,22.5
"784","d228_hb","Bk.-thr. Green Warbler",1989,15.5
"785","d228_hb","Bk.-thr. Blue Warbler",1989,15
"786","d228_hb","Yellow-r. Warbler",1989,2
"787","d228_hb","Blackburnian Warbler",1989,2
"789","d228_hb","Ovenbird",1989,16
"790","d228_hb","American Redstart",1989,5.5
"792","d228_hb","Scarlet Tanager",1989,2.5
"793","d228_hb","Rose-br. Grosbeak",1989,3
"800","d228_hb","Ruby-thr. Hummingbird",1990,1
"802","d228_hb","Yellow-b.Sapsucker",1990,3
"803","d228_hb","Hairy Woodpecker",1990,1
"808","d228_hb","Black-c. Chickadee",1990,2
"809","d228_hb","Brown Creeper",1990,2.5
"810","d228_hb","White-br. Nuthatch",1990,3
"812","d228_hb","Winter Wren",1990,2
"814","d228_hb","Wood Thrush",1990,1
"815","d228_hb","Hermit Thrush",1990,5
"816","d228_hb","Veery",1990,2
"817","d228_hb","Swainson's Thrush",1990,3.5
"820","d228_hb","Red-eyed Vireo",1990,24
"822","d228_hb","Bk.-thr. Green Warbler",1990,17.5
"823","d228_hb","Bk.-thr. Blue Warbler",1990,16
"824","d228_hb","Yellow-r. Warbler",1990,2
"825","d228_hb","Blackburnian Warbler",1990,1
"827","d228_hb","Ovenbird",1990,20
"828","d228_hb","American Redstart",1990,18.5
"830","d228_hb","Scarlet Tanager",1990,1.5
"831","d228_hb","Rose-br. Grosbeak",1990,4.5
"833","d228_hb","Dark-eyed Junco",1990,2
"838","d228_hb","Ruby-thr. Hummingbird",1991,2
"840","d228_hb","Yellow-b.Sapsucker",1991,2
"841","d228_hb","Hairy Woodpecker",1991,2
"842","d228_hb","Downy Woodpecker",1991,1.5
"843","d228_hb","Least Flycatcher",1991,1.5
"844","d228_hb","Wood Pewee",1991,1
"846","d228_hb","Black-c. Chickadee",1991,1
"847","d228_hb","Brown Creeper",1991,2
"848","d228_hb","White-br. Nuthatch",1991,1.5
"850","d228_hb","Winter Wren",1991,3
"853","d228_hb","Hermit Thrush",1991,2
"854","d228_hb","Veery",1991,2.5
"855","d228_hb","Swainson's Thrush",1991,2.5
"857","d228_hb","Solitary Vireo",1991,2.5
"858","d228_hb","Red-eyed Vireo",1991,25.5
"860","d228_hb","Bk.-thr. Green Warbler",1991,13.5
"861","d228_hb","Bk.-thr. Blue Warbler",1991,13.5
"862","d228_hb","Yellow-r. Warbler",1991,2
"863","d228_hb","Blackburnian Warbler",1991,2.5
"865","d228_hb","Ovenbird",1991,17.5
"866","d228_hb","American Redstart",1991,14
"868","d228_hb","Scarlet Tanager",1991,2.5
"869","d228_hb","Rose-br. Grosbeak",1991,2
"878","d228_hb","Yellow-b.Sapsucker",1992,3
"879","d228_hb","Hairy Woodpecker",1992,2
"880","d228_hb","Downy Woodpecker",1992,2
"881","d228_hb","Least Flycatcher",1992,1
"882","d228_hb","Wood Pewee",1992,1
"884","d228_hb","Black-c. Chickadee",1992,3
"885","d228_hb","Brown Creeper",1992,0.5
"886","d228_hb","White-br. Nuthatch",1992,2
"888","d228_hb","Winter Wren",1992,1
"891","d228_hb","Hermit Thrush",1992,5
"892","d228_hb","Veery",1992,6
"893","d228_hb","Swainson's Thrush",1992,3.5
"895","d228_hb","Solitary Vireo",1992,2
"896","d228_hb","Red-eyed Vireo",1992,15
"898","d228_hb","Bk.-thr. Green Warbler",1992,18
"899","d228_hb","Bk.-thr. Blue Warbler",1992,15
"900","d228_hb","Yellow-r. Warbler",1992,3
"901","d228_hb","Blackburnian Warbler",1992,3
"903","d228_hb","Ovenbird",1992,15.5
"904","d228_hb","American Redstart",1992,19
"906","d228_hb","Scarlet Tanager",1992,4.5
"907","d228_hb","Rose-br. Grosbeak",1992,4
"916","d228_hb","Yellow-b.Sapsucker",1993,1
"917","d228_hb","Hairy Woodpecker",1993,1
"920","d228_hb","Wood Pewee",1993,1
"922","d228_hb","Black-c. Chickadee",1993,2
"924","d228_hb","White-br. Nuthatch",1993,2
"929","d228_hb","Hermit Thrush",1993,3
"930","d228_hb","Veery",1993,3.5
"931","d228_hb","Swainson's Thrush",1993,2.5
"933","d228_hb","Solitary Vireo",1993,2
"934","d228_hb","Red-eyed Vireo",1993,16.5
"936","d228_hb","Bk.-thr. Green Warbler",1993,17.5
"937","d228_hb","Bk.-thr. Blue Warbler",1993,11
"941","d228_hb","Ovenbird",1993,13.5
"942","d228_hb","American Redstart",1993,13
"944","d228_hb","Scarlet Tanager",1993,3.5
"945","d228_hb","Rose-br. Grosbeak",1993,0.5
"954","d228_hb","Yellow-b.Sapsucker",1994,2.5
"955","d228_hb","Hairy Woodpecker",1994,1
"956","d228_hb","Downy Woodpecker",1994,2.5
"958","d228_hb","Wood Pewee",1994,1
"960","d228_hb","Black-c. Chickadee",1994,2
"961","d228_hb","Brown Creeper",1994,1.5
"962","d228_hb","White-br. Nuthatch",1994,1
"964","d228_hb","Winter Wren",1994,1
"967","d228_hb","Hermit Thrush",1994,3.5
"968","d228_hb","Veery",1994,4
"971","d228_hb","Solitary Vireo",1994,1
"972","d228_hb","Red-eyed Vireo",1994,18.5
"974","d228_hb","Bk.-thr. Green Warbler",1994,13.5
"975","d228_hb","Bk.-thr. Blue Warbler",1994,7
"979","d228_hb","Ovenbird",1994,9
"980","d228_hb","American Redstart",1994,7.5
"982","d228_hb","Scarlet Tanager",1994,3.5
"983","d228_hb","Rose-br. Grosbeak",1994,2
"985","d228_hb","Dark-eyed Junco",1994,2
"989","d228_hb","Ruffed Grouse",1995,2
"992","d228_hb","Yellow-b.Sapsucker",1995,2
"993","d228_hb","Hairy Woodpecker",1995,2
"998","d228_hb","Black-c. Chickadee",1995,2
"1005","d228_hb","Hermit Thrush",1995,2
"1006","d228_hb","Veery",1995,3
"1010","d228_hb","Red-eyed Vireo",1995,18
"1012","d228_hb","Bk.-thr. Green Warbler",1995,14
"1013","d228_hb","Bk.-thr. Blue Warbler",1995,10
"1017","d228_hb","Ovenbird",1995,11
"1018","d228_hb","American Redstart",1995,2
"1020","d228_hb","Scarlet Tanager",1995,2
"1021","d228_hb","Rose-br. Grosbeak",1995,2
"1027","d228_hb","Ruffed Grouse",1996,1
"1030","d228_hb","Yellow-b.Sapsucker",1996,2
"1031","d228_hb","Hairy Woodpecker",1996,2
"1035","d228_hb","Blue Jay",1996,1
"1037","d228_hb","Brown Creeper",1996,1
"1038","d228_hb","White-br. Nuthatch",1996,3
"1040","d228_hb","Winter Wren",1996,1.5
"1043","d228_hb","Hermit Thrush",1996,5
"1044","d228_hb","Veery",1996,3
"1045","d228_hb","Swainson's Thrush",1996,0.5
"1048","d228_hb","Red-eyed Vireo",1996,19
"1050","d228_hb","Bk.-thr. Green Warbler",1996,16
"1051","d228_hb","Bk.-thr. Blue Warbler",1996,5.5
"1052","d228_hb","Yellow-r. Warbler",1996,2
"1053","d228_hb","Blackburnian Warbler",1996,3.5
"1055","d228_hb","Ovenbird",1996,12
"1056","d228_hb","American Redstart",1996,10.5
"1058","d228_hb","Scarlet Tanager",1996,2
"1059","d228_hb","Rose-br. Grosbeak",1996,2
"1068","d228_hb","Yellow-b.Sapsucker",1997,3
"1069","d228_hb","Hairy Woodpecker",1997,1
"1070","d228_hb","Downy Woodpecker",1997,1
