spnum,spcode,family,genus,species,variety,subspecies,spname,binomia_auth,trinomial_auth
167,koelmacr,Poaceae,Koeleria,macrantha,,,Koeleria macrantha,(Ledeb.) Schult.,
168,krigcesp,Asteraceae,Krigia,caespitosa,,,Krigia caespitosa,(Raf.) K.L. Chambers,
169,kummstip,Fabaceae,Kummerowia,stipulacea,,,Kummerowia stipulacea,(Maxim.) Makino,
170,kummstri,Fabaceae,Kummerowia,striata,,,Kummerowia striata,(Thunb.) Schindl.,
171,lactserr,Asteraceae,Lactuca,serriola,,,Lactuca serriola,L.,
172,lepivirg,Brassicaceae,Lepidium,virginicum,,,Lepidium virginicum,L.,
173,lespcapi,Fabaceae,Lespedeza,capitata,,,Lespedeza capitata,Michx.,
174,lespcune,Fabaceae,Lespedeza,cuneata,,,Lespedeza cuneata,(Dum. Cours.) G. Don,
175,lespproc,Fabaceae,Lespedeza,procumbens,,,Lespedeza procumbens,Michx.,
176,lespviol,Fabaceae,Lespedeza,violacea,,,Lespedeza violacea,auct. non (L.) Pers.,
177,lespvirg,Fabaceae,Lespedeza,virginica,,,Lespedeza virginica,(L.) Britton,
178,liataspe,Asteraceae,Liatris,aspera,,,Liatris aspera,Michx.,
179,linusulc,Linaceae,Linum,sulcatum,,,Linum sulcatum,Riddell,
180,lithinci,Boraginaceae,Lithospermum,incisum,,,Lithospermum incisum,Lehm.,
181,lomafoen,Apiaceae,Lomatium,foeniculaceum,,,Lomatium foeniculaceum,(Nutt.) J.M. Coult. & Rose,
182,lotuunif,Fabaceae,Lotus,unifoliolatus,,,Lotus unifoliolatus,(Hook.) Benth.,
183,ludwsp,Onagraceae,Ludwigia,sp.,,,Ludwigia sp.,,
184,lycoamer,Lamiaceae,Lycopus,americanus,,,Lycopus americanus,Muhl. ex W. Bartram,
185,lythalat,Lythraceae,Lythrum,alatum,,,Lythrum alatum,Pursh,
186,malvhisp,Malvaceae,Malvastrum,hispidum,,,Malvastrum hispidum,(Pursh) Hochr.,
187,medilupu,Fabaceae,Medicago,lupulina,,,Medicago lupulina,L.,
188,melioffi,Fabaceae,Melilotus,officinalis,,,Melilotus officinalis,(L.) Lam.,
189,mimoquad,Fabaceae,Mimosa,nuttallii,,,Mimosa nuttallii,(DC. ex Britton & Rose) B.L. Turner,
190,minupatu,Caryophyllaceae,Minuartia,patula,,,Minuartia patula,(Michx.) Mattf.,
191,miraalbi,Nyctaginaceae,Mirabilis,albida,,,Mirabilis albida,(Walter) Heimerl,
192,monacitr,Lamiaceae,Monarda,citriodora,,,Monarda citriodora,Cerv. ex Lag.,
193,monafist,Lamiaceae,Monarda,fistulosa,,,Monarda fistulosa,"Sims, nom. inq.",
194,muhlschr,Poaceae,Muhlenbergia,schreberi,,,Muhlenbergia schreberi,J.F. Gmel.,
195,myosvern,Boraginaceae,Myosotis,verna,,,Myosotis verna,Nutt.,
196,nemagemi,Iridaceae,Nemastylis,geminiflora,,,Nemastylis geminiflora,Nutt.,
197,nothbiva,Liliaceae,Nothoscordum,bivalve,,,Nothoscordum bivalve,(L.) Britton,
198,nuttcana,Scrophulariaceae,Nuttallanthus,canadensis,,,Nuttallanthus canadensis,(L.) D.A. Sutton,
199,oenolaci,Onagraceae,Oenothera,laciniata,,,Oenothera laciniata,Hill,
200,oenolini,Onagraceae,Oenothera,linifolia,,,Oenothera linifolia,Nutt.,
201,oenospec,Onagraceae,Oenothera,speciosa,,,Oenothera speciosa,Nutt.,
202,onosmoll,Boraginaceae,Onosmodium,bejariense,,,Onosmodium bejariense,DC. ex A. DC.,
203,ophienge,Ophioglossaceae,Ophioglossum,engelmannii,,,Ophioglossum engelmannii,Prantl,
204,opunmacr,Cactaceae,Opuntia,macrorhiza,,,Opuntia macrorhiza,Engelm.,
205,oxaldill,Oxalidaceae,Oxalis,dillenii,,,Oxalis dillenii,Jacq.,
206,oxalviol,Oxalidaceae,Oxalis,violacea,,,Oxalis violacea,L.,
207,paniance,Poaceae,Panicum,anceps,,,Panicum anceps,Michx.,
208,panicapi,Poaceae,Panicum,capillare,,,Panicum capillare,L.,
209,panivirg,Poaceae,Panicum,virgatum,,,Panicum virgatum,L.,
210,paripens,Urticaceae,Parietaria,pensylvanica,,,Parietaria pensylvanica,Muhl. ex Willd.,
211,pasppubi,Poaceae,Paspalum,pubiflorum,,,Paspalum pubiflorum,Rupr. ex Fourn.,
212,paspseta,Poaceae,Paspalum,setaceum,,,Paspalum setaceum,Michx.,
213,pediescu,Fabaceae,Pediomelum,esculentum,,,Pediomelum esculentum,(Pursh) Rydb.,
214,penstubi,Scrophulariaceae,Penstemon,tubiflorus,,,Penstemon tubiflorus,Nutt.,
215,periamer,Apiaceae,Perideridia,americana,,,Perideridia americana,(Nutt. ex DC.) Rchb.,
216,phalcaro,Poaceae,Phalaris,caroliniana,,,Phalaris caroliniana,Walter,
217,physangu,Solanaceae,Physalis,angulata,,,Physalis angulata,L.,
218,physpumi,Solanaceae,Physalis,pumila,,,Physalis pumila,Nutt.,
219,physvirg,Solanaceae,Physalis,virginiana,,,Physalis virginiana,Mill.,
220,planaris,Plantaginaceae,Plantago,aristata,,,Plantago aristata,Michx.,
221,planpata,Plantaginaceae,Plantago,patagonica,,,Plantago patagonica,Jacq.,
222,planvirg,Plantaginaceae,Plantago,virginica,,,Plantago virginica,L.,
223,poaannua,Poaceae,Poa,annua,,,Poa annua,L.,
224,poaprate,Poaceae,Poa,pratensis,,,Poa pratensis,L.,
225,polyinca,Polygalaceae,Polygala,incarnata,,,Polygala incarnata,L.,
226,polyvert,Polygalaceae,Polygala,verticillata,,,Polygala verticillata,L.,
227,polyaren,Polygonaceae,Polygonum,arenastrum,,,Polygonum arenastrum,Jord. ex Boreau,
228,polyavic,Polygonaceae,Polygonum,aviculare,,,Polygonum aviculare,L.,
229,polyconv,Polygonaceae,Polygonum,convolvulus,,,Polygonum convolvulus,L.,
230,polyhydr,Polygonaceae,Polygonum,hydropiperoides,,,Polygonum hydropiperoides,Michx.,
231,polynutt,Apiaceae,Polytaenia,nuttallii,,,Polytaenia nuttallii,DC.,
232,prenaspe,Asteraceae,Prenanthes,aspera,,,Prenanthes aspera,Michx.,
233,prunangu,Rosaceae,Prunus,angustifolia,,,Prunus angustifolia,Marsh.,
234,prunmexi,Rosaceae,Prunus,mexicana,,,Prunus mexicana,S. Watson,
235,psortenu,Fabaceae,Psoralidium,tenuiflorum,,,Psoralidium tenuiflorum,(Pursh) Rydb.,
236,pyrrcaro,Asteraceae,Pyrrhopappus,carolinianus,,,Pyrrhopappus carolinianus,(Walter) DC.,
237,pyrrgran,Asteraceae,Pyrrhopappus,grandiflorus,,,Pyrrhopappus grandiflorus,(Nutt.) Nutt.,
238,ranuhisp,Ranunculaceae,Ranunculus,hispidus,,,Ranunculus hispidus,Michx.,
239,raticolu,Asteraceae,Ratibida,columnifera,,,Ratibida columnifera,(Nutt.) Woot. & Standl.,
240,rhuscopa,Anacardiaceae,Rhus,copallinum,,,Rhus copallinum,L.,
241,rhynharv,Cyperaceae,Rhynchospora,harveyi,,,Rhynchospora harveyi,W. Boott,
242,rosacaro,Rosaceae,Rosa,carolina,,,Rosa carolina,L.,
243,rubuflag,Rosaceae,Rubus,flagellaris,,,Rubus flagellaris,Willd.,
244,rubuostr,Rosaceae,Rubus,ostryifolius,,,Rubus ostryifolius,Rydb.,
245,rudbhirt,Asteraceae,Rudbeckia,hirta,,,Rudbeckia hirta,L.,
246,ruelhumi,Acanthaceae,Ruellia,humilis,,,Ruellia humilis,Nutt.,
247,rumecris,Polygonaceae,Rumex,crispus,,,Rumex crispus,L.,
248,rumehast,Polygonaceae,Rumex,hastatulus,,,Rumex hastatulus,Baldw.,
249,sabacamp,Gentianaceae,Sabatia,campestris,,,Sabatia campestris,Nutt.,
250,salvazur,Lamiaceae,Salvia,azurea,grandiflora,,Salvia azurea var. grandiflora,Michx. ex Lam.,Benth.
251,saniodor,Apiaceae,Sanicula,odorata,,,Sanicula odorata,(Raf.) K.M. Pryer & L.R. Phillippe,
252,schepani,Poaceae,Schedonnardus,paniculatus,,,Schedonnardus paniculatus,(Nutt.) Trel.,
253,schiscop,Poaceae,Schizachyrium,scoparium,,,Schizachyrium scoparium,(Michx.) Nash,
254,scirpend,Cyperaceae,Scirpus,pendulus,,,Scirpus pendulus,Muhl.,
255,sclepauc,Cyperaceae,Scleria,pauciflora,,,Scleria pauciflora,Muhl. ex Willd.,
256,scutparv,Lamiaceae,Scutellaria,parvula,,,Scutellaria parvula,Michx.,
257,seneplat,Asteraceae,Packera,plattensis,,,Packera plattensis,(Nutt.) W.A. Weber & A. Löve,
258,setaparv,Poaceae,Setaria,parviflora,,,Setaria parviflora,(Poir.) Kerguélen,
259,setaviri,Poaceae,Setaria,viridis,,,Setaria viridis,(L.) P. Beauv.,
260,sibavirg,Brassicaceae,Sibara,virginica,,,Sibara virginica,(L.) Rollins,
261,sileanti,Caryophyllaceae,Silene,antirrhina,,,Silene antirrhina,L.,
262,silestel,Caryophyllaceae,Silene,stellata,,,Silene stellata,(L.) W.T. Aiton,
263,sisycamp,Iridaceae,Sisyrinchium,campestre,,,Sisyrinchium campestre,E.P. Bicknell,
264,solacaro,Solanaceae,Solanum,carolinense,,,Solanum carolinense,L.,
265,solarost,Solanaceae,Solanum,rostratum,,,Solanum rostratum,Dunal,
266,solicana,Asteraceae,Solidago,canadensis,,,Solidago canadensis,L.,
267,solinemo,Asteraceae,Solidago,nemoralis,,,Solidago nemoralis,Aiton,
268,solirigi,Asteraceae,Oligoneuron,rigidum,,,Oligoneuron rigidum,(L.) Small,
269,soncaspe,Asteraceae,Sonchus,asper,,,Sonchus asper,(L.) Hill,
270,sorgnuta,Poaceae,Sorghastrum,nutans,,,Sorghastrum nutans,(L.) Nash,
271,sperdiva,Apiaceae,Spermolepis,divaricata,,,Spermolepis divaricata,(Walter) Raf. ex Ser.,
272,speriner,Apiaceae,Spermolepis,inermis,,,Spermolepis inermis,(Nutt. ex DC.) Mathias & Constance,
273,spheobtu,Poaceae,Sphenopholis,obtusata,,,Sphenopholis obtusata,(Michx.) Scribn.,
274,unknspir,Orchidaceae,Spiranthes,sp.,,,Spiranthes sp.,,
275,sporcomp,Poaceae,Sporobolus,compositus,,,Sporobolus compositus,(Poir.) Merr.,
276,sporvagi,Poaceae,Sporobolus,vaginiflorus,,,Sporobolus vaginiflorus,(Torr. ex A. Gray) Alph. Wood,
277,stroleio,Fabaceae,Strophostyles,leiosperma,,,Strophostyles leiosperma,(Torr. & A. Gray) Piper,
278,stylbifl,Fabaceae,Stylosanthes,biflora,,,Stylosanthes biflora,"(L.) Britton, Sterns & Poggenb.",
279,symporbi,Caprifoliaceae,Symphoricarpos,orbiculatus,,,Symphoricarpos orbiculatus,Moench,
280,taraoffi,Asteraceae,Taraxacum,officinale,,,Taraxacum officinale,F.H. Wigg.,
281,teuccana,Lamiaceae,Teucrium,canadense,,,Teucrium canadense,L.,
282,toriarve,Apiaceae,Torilis,arvensis,,,Torilis arvensis,(Huds.) Link,
283,toxiradi,Anacardiaceae,Toxicodendron,radicans,,,Toxicodendron radicans,(L.) Kuntze,
284,tradohie,Commelinaceae,Tradescantia,ohiensis,,,Tradescantia ohiensis,Raf.,
285,tragbeto,Euphorbiaceae,Tragia,betonicifolia,,,Tragia betonicifolia,Nutt.,
286,tridflav,Poaceae,Tridens,flavus,,,Tridens flavus,(L.) Hitchc.,
287,trifcamp,Fabaceae,Trifolium,campestre,,,Trifolium campestre,Schreb.,
288,trifrepe,Fabaceae,Trifolium,repens,,,Trifolium repens,L.,
289,triolept,Campanulaceae,Triodanis,leptocarpa,,,Triodanis leptocarpa,(Nutt.) Nieuwl.,
290,trioperf,Campanulaceae,Triodanis,perfoliata,,,Triodanis perfoliata,(L.) Nieuwl.,
291,tripdact,Poaceae,Tripsacum,dactyloides,,,Tripsacum dactyloides,(L.) L.,
