plot,year,rooted_in,cover,spcode
222,1998,1,2,elymvirg
222,1998,1,2,eragspec
222,1998,1,2,erigstri
222,1998,1,2,fimbpube
222,1998,1,2,juncinte
222,1998,1,2,koelmacr
222,1998,1,2,lespcapi
222,1998,1,2,lespproc
222,1998,1,2,lespvirg
222,1998,1,2,lithinci
222,1998,1,2,melioffi
222,1998,1,2,oxaldill
222,1998,1,1,oxalviol
222,1998,1,4,panivirg
222,1998,1,2,paspseta
222,1998,1,2,periamer
222,1998,1,2,physvirg
222,1998,1,2,poaprate
222,1998,1,2,polyconv
222,1998,1,2,psortenu
222,1998,1,2,raticolu
222,1998,1,2,ruelhumi
222,1998,1,2,rumecris
222,1998,1,2,salvazur
222,1998,1,4,schiscop
222,1998,1,2,setaparv
222,1998,1,2,sisycamp
222,1998,1,2,solacaro
222,1998,1,2,solicana
222,1998,1,4,sorgnuta
222,1998,1,2,spheobtu
222,1998,1,4,sporcomp
222,1998,1,2,symporbi
222,1998,1,2,toriarve
222,1998,1,2,tridflav
222,1998,1,1,unlgr222
222,1998,1,2,valeradi
222,1998,1,2,vernarka
222,1998,1,2,vernbald
222,1998,1,2,xantstru
226,1998,1,2,acalvirg
226,1998,1,2,achimill
226,1998,1,2,agrohyem
226,1998,1,2,ambrpsil
226,1998,1,3,amorcane
226,1998,1,5,andrgera
226,1998,1,2,apoccann
226,1998,1,2,arteludo
226,1998,1,2,asclviri
226,1998,1,2,asteeric
226,1998,1,2,baptalba
226,1998,1,2,baptaust
226,1998,1,2,carebush
226,1998,1,2,careceph
226,1998,1,2,carefest
226,1998,1,2,caregrav
226,1998,1,2,caremicr
226,1998,1,2,cirsalti
226,1998,1,1,cypeechi
226,1998,1,2,cypelupu
226,1998,1,2,dalecand
226,1998,1,2,desmsess
226,1998,1,2,dichacum
226,1998,1,2,dicholig
226,1998,1,2,elymvirg
226,1998,1,2,euthgymn
226,1998,1,5,fragvirg
226,1998,1,2,unkngaur
226,1998,1,2,juncinte
226,1998,1,2,kummstri
226,1998,1,2,lespproc
226,1998,1,2,lespviol
226,1998,1,2,lespvirg
226,1998,1,2,mimoquad
226,1998,1,2,oxaldill
226,1998,1,2,oxalviol
226,1998,1,2,panivirg
226,1998,1,2,physpumi
226,1998,1,2,physvirg
226,1998,1,2,poaprate
226,1998,1,2,psortenu
226,1998,1,4,rubuostr
226,1998,1,2,ruelhumi
226,1998,1,2,rumecris
226,1998,1,2,salvazur
226,1998,1,5,schiscop
226,1998,1,1,scutparv
226,1998,1,2,setaparv
226,1998,1,2,sisycamp
226,1998,1,2,solacaro
226,1998,1,4,solicana
226,1998,1,3,sorgnuta
226,1998,1,2,spheobtu
226,1998,1,3,sporcomp
226,1998,1,2,symporbi
226,1998,1,2,tradohie
226,1998,1,2,tridflav
226,1998,1,2,vernbald
238,1998,1,2,acalvirg
238,1998,1,2,achimill
238,1998,1,2,agrohyem
238,1998,1,2,ambrarte
238,1998,1,3,ambrbide
238,1998,1,2,ambrpsil
238,1998,1,2,amorcane
238,1998,1,2,amphdrac
238,1998,1,4,andrgera
238,1998,1,2,antenegl
238,1998,1,2,arteludo
238,1998,1,3,asclviri
238,1998,1,2,asteeric
238,1998,1,2,asteoole
238,1998,1,2,astepate
238,1998,1,2,baptbrac
238,1998,1,2,bromjapo
238,1998,1,2,callalca
238,1998,1,1,calyserr
238,1998,1,2,carebush
238,1998,1,2,careceph
238,1998,1,2,carefest
238,1998,1,2,caregrav
238,1998,1,2,caremicr
238,1998,1,2,chrypilo
238,1998,1,2,cirsundu
238,1998,1,2,conycana
238,1998,1,2,cypeechi
238,1998,1,2,cypelupu
238,1998,1,2,dalecand
238,1998,1,2,dichacum
238,1998,1,2,dicholig
238,1998,1,2,dichspha
238,1998,1,2,digicogn
238,1998,1,2,eleomont
238,1998,1,2,elymcana
238,1998,1,2,eragspec
238,1998,1,2,erigstri
238,1998,1,2,fimbpube
238,1998,1,2,gamopurp
238,1998,1,1,geracaro
238,1998,1,2,juncinte
238,1998,1,2,kummstip
238,1998,1,5,kummstri
238,1998,1,2,lespvirg
238,1998,1,1,lythalat
238,1998,1,2,medilupu
238,1998,1,2,oxaldill
238,1998,1,1,oxalviol
238,1998,1,3,panivirg
238,1998,1,2,paspseta
238,1998,1,2,phalcaro
238,1998,1,1,physpumi
238,1998,1,2,physvirg
238,1998,1,2,planvirg
238,1998,1,2,poaprate
238,1998,1,2,polyvert
238,1998,1,2,raticolu
238,1998,1,1,rubuostr
238,1998,1,2,rudbhirt
238,1998,1,2,ruelhumi
238,1998,1,2,salvazur
238,1998,1,5,schiscop
238,1998,1,2,scirpend
238,1998,1,2,setaparv
238,1998,1,2,sorgnuta
238,1998,1,2,speriner
238,1998,1,2,spheobtu
238,1998,1,3,sporcomp
238,1998,1,2,stroleio
238,1998,1,1,stylbifl
238,1998,1,2,tridflav
238,1998,1,2,vernarka
238,1998,1,2,vernbald
238,1998,1,1,vulpocto
244,1998,1,2,acalgrac
244,1998,1,2,achimill
244,1998,1,2,agrohyem
244,1998,1,3,ambrbide
244,1998,1,3,ambrpsil
244,1998,1,1,amorcane
244,1998,1,2,amphdrac
244,1998,1,4,andrgera
244,1998,1,2,arteludo
244,1998,1,2,asclviri
244,1998,1,2,asteeric
244,1998,1,2,baptaust
244,1998,1,2,buchdact
244,1998,1,1,callalca
244,1998,1,2,carebush
244,1998,1,2,careceph
244,1998,1,2,carefest
244,1998,1,2,caregrav
244,1998,1,2,caremicr
244,1998,1,2,cirsalti
244,1998,1,2,cirsundu
244,1998,1,2,conycana
244,1998,1,2,cypeechi
244,1998,1,2,cypelupu
244,1998,1,2,dalecand
244,1998,1,2,dalepurp
244,1998,1,2,daucpusi
244,1998,1,2,desmsess
244,1998,1,2,dicholig
244,1998,1,2,digicogn
244,1998,1,2,elymcana
244,1998,1,2,elymvirg
244,1998,1,2,eragspec
244,1998,1,2,erigstri
244,1998,1,2,fimbpube
244,1998,1,2,gamopurp
244,1998,1,2,hierlong
244,1998,1,2,hordpusi
244,1998,1,2,juncinte
244,1998,1,2,koelmacr
244,1998,1,2,kummstip
244,1998,1,2,kummstri
244,1998,1,2,lepivirg
244,1998,1,2,lespvirg
244,1998,1,2,mimoquad
244,1998,1,2,oxaldill
244,1998,1,5,panivirg
244,1998,1,2,paspseta
244,1998,1,2,physvirg
244,1998,1,1,planvirg
244,1998,1,2,poaprate
244,1998,1,2,psortenu
244,1998,1,2,raticolu
244,1998,1,1,rubuostr
244,1998,1,2,rudbhirt
244,1998,1,2,ruelhumi
244,1998,1,2,salvazur
244,1998,1,5,schiscop
244,1998,1,2,setaparv
244,1998,1,2,sisycamp
244,1998,1,2,solicana
244,1998,1,2,sorgnuta
244,1998,1,2,spheobtu
244,1998,1,4,sporcomp
244,1998,1,2,stroleio
244,1998,1,2,tridflav
244,1998,1,1,unhel244
244,1998,1,1,veroarve
254,1998,1,2,acalvirg
254,1998,1,4,ambrarte
254,1998,1,3,ambrbide
254,1998,1,3,ambrpsil
254,1998,1,5,andrgera
254,1998,1,1,arispurp
254,1998,1,2,arteludo
254,1998,1,2,asteeric
254,1998,1,2,bothsacc
254,1998,1,2,bromjapo
254,1998,1,2,careanne
254,1998,1,2,carefest
254,1998,1,2,caregrav
254,1998,1,2,caremicr
254,1998,1,2,cirsalti
254,1998,1,2,cirsundu
254,1998,1,2,cirsvulg
254,1998,1,2,conycana
254,1998,1,2,cynodact
254,1998,1,2,cypeechi
254,1998,1,2,cypeseti
254,1998,1,2,dicholig
254,1998,1,2,eleomont
254,1998,1,2,elymcana
254,1998,1,2,elymvirg
254,1998,1,2,erigphil
254,1998,1,2,erigstri
254,1998,1,2,fimbpube
254,1998,1,2,hordpusi
254,1998,1,2,juncinte
254,1998,1,2,juncmarg
254,1998,1,2,kummstip
254,1998,1,2,kummstri
254,1998,1,2,medilupu
254,1998,1,2,oxaldill
254,1998,1,2,panivirg
254,1998,1,2,paspseta
254,1998,1,2,penstubi
254,1998,1,2,poaprate
254,1998,1,2,pyrrcaro
254,1998,1,2,ruelhumi
254,1998,1,2,rumecris
254,1998,1,3,schiscop
254,1998,1,2,scirpend
254,1998,1,2,setaparv
254,1998,1,2,solacaro
254,1998,1,2,sorgnuta
254,1998,1,4,sporcomp
254,1998,1,1,stroleio
254,1998,1,2,symporbi
254,1998,1,2,tridflav
254,1998,1,2,unjun254
254,1998,1,2,verbsimp
254,1998,1,2,vernarka
254,1998,1,2,vernbald
254,1998,1,1,xantstru
259,1998,1,2,acalgrac
259,1998,1,2,achimill
259,1998,1,2,agrohyem
259,1998,1,2,ambrpsil
259,1998,1,2,amorcane
259,1998,1,2,amphdrac
259,1998,1,4,andrgera
259,1998,1,2,andrvirg
259,1998,1,2,arteludo
259,1998,1,2,asclviri
259,1998,1,2,asteeric
259,1998,1,2,astrcras
259,1998,1,2,baptaust
259,1998,1,2,bothsacc
259,1998,1,2,boutcurt
259,1998,1,2,briceupa
259,1998,1,2,bromjapo
259,1998,1,2,buchdact
259,1998,1,2,careceph
259,1998,1,1,carefest
259,1998,1,2,caregrav
259,1998,1,2,caremicr
259,1998,1,1,chamnuta
259,1998,1,2,cirsundu
259,1998,1,1,conycana
259,1998,1,1,crotmona
259,1998,1,2,cypelupu
259,1998,1,2,dicholig
259,1998,1,2,digicogn
259,1998,1,2,elymvirg
259,1998,1,2,eragspec
259,1998,1,2,erigstri
259,1998,1,1,hordpusi
259,1998,1,2,kummstip
259,1998,1,2,lespproc
259,1998,1,2,lithinci
259,1998,1,2,medilupu
259,1998,1,2,monafist
259,1998,1,2,oxaldill
259,1998,1,2,panivirg
259,1998,1,2,paspseta
259,1998,1,2,physpumi
259,1998,1,1,physvirg
259,1998,1,2,poaprate
259,1998,1,2,polyvert
259,1998,1,2,psortenu
259,1998,1,2,raticolu
259,1998,1,2,ruelhumi
259,1998,1,2,salvazur
259,1998,1,4,schiscop
259,1998,1,2,setaparv
259,1998,1,1,solacaro
259,1998,1,2,sorgnuta
259,1998,1,3,sporcomp
259,1998,1,2,stroleio
259,1998,1,2,tragbeto
259,1998,1,2,tridflav
259,1998,1,2,trioperf
259,1998,1,2,vernarka
259,1998,1,2,vernbald
303,1998,1,2,acalgrac
303,1998,1,1,acalvirg
303,1998,1,2,achimill
303,1998,1,2,agrohyem
303,1998,1,1,ambrbide
303,1998,1,2,ambrpsil
303,1998,1,2,amorcane
303,1998,1,2,amphdrac
303,1998,1,4,andrgera
303,1998,1,2,antenegl
303,1998,1,1,apoccann
303,1998,1,2,arnoplan
303,1998,1,1,arteludo
303,1998,1,2,asclviri
303,1998,1,2,asteeric
303,1998,1,2,asteoole
303,1998,1,2,astepate
303,1998,1,2,astrnutt
303,1998,1,2,baptbrac
303,1998,1,2,briceupa
303,1998,1,2,callalca
303,1998,1,2,carebush
303,1998,1,2,carefest
303,1998,1,2,caregrav
303,1998,1,2,caremicr
303,1998,1,1,chamfasc
303,1998,1,2,cirsalti
303,1998,1,1,conycana
303,1998,1,2,cypeechi
303,1998,1,2,cypelupu
303,1998,1,1,dalecand
303,1998,1,1,desmills
303,1998,1,2,desmsess
303,1998,1,2,dichacum
303,1998,1,2,dicholig
303,1998,1,2,dichspha
303,1998,1,2,elymvirg
303,1998,1,2,eragspec
303,1998,1,2,erigstri
303,1998,1,2,fimbpube
303,1998,1,2,fragvirg
303,1998,1,2,unkngaur
303,1998,1,4,helimoll
303,1998,1,2,hierlong
303,1998,1,2,kummstip
303,1998,1,2,kummstri
303,1998,1,2,lepivirg
303,1998,1,2,lespvirg
303,1998,1,2,linusulc
303,1998,1,2,lithinci
303,1998,1,2,mimoquad
303,1998,1,2,monafist
303,1998,1,2,oxaldill
303,1998,1,2,oxalviol
303,1998,1,2,panivirg
303,1998,1,2,paspseta
303,1998,1,2,physvirg
303,1998,1,2,planaris
303,1998,1,2,planvirg
303,1998,1,2,poaprate
303,1998,1,2,polyvert
303,1998,1,2,psortenu
303,1998,1,2,raticolu
303,1998,1,2,rubuostr
303,1998,1,2,rudbhirt
303,1998,1,2,ruelhumi
303,1998,1,2,salvazur
303,1998,1,3,schiscop
303,1998,1,1,scutparv
303,1998,1,2,setaparv
303,1998,1,2,sisycamp
303,1998,1,2,solicana
303,1998,1,4,sorgnuta
303,1998,1,2,spheobtu
303,1998,1,2,sporcomp
303,1998,1,2,stroleio
303,1998,1,2,stylbifl
303,1998,1,2,symporbi
303,1998,1,2,tridflav
303,1998,1,2,vernbald
307,1998,1,2,acalgrac
307,1998,1,2,achimill
307,1998,1,2,agrohyem
307,1998,1,2,allicana
307,1998,1,2,ambrbide
307,1998,1,2,ambrpsil
307,1998,1,2,amphdrac
307,1998,1,5,andrgera
307,1998,1,2,andrvirg
307,1998,1,2,asclviri
307,1998,1,2,asteeric
307,1998,1,2,asteoole
307,1998,1,2,baptaust
307,1998,1,2,bothsacc
307,1998,1,2,boutcurt
307,1998,1,2,bromjapo
307,1998,1,2,careceph
307,1998,1,2,carefest
307,1998,1,2,caregrav
307,1998,1,2,caremicr
307,1998,1,2,chamfasc
307,1998,1,2,cirsalti
307,1998,1,2,crotglan
307,1998,1,1,cuscpent
307,1998,1,2,cynodact
307,1998,1,2,cypeechi
307,1998,1,2,cypelupu
307,1998,1,2,cypeseti
307,1998,1,2,desmsess
307,1998,1,2,dichacum
307,1998,1,2,dicholig
307,1998,1,2,digicogn
307,1998,1,2,digisang
307,1998,1,2,eleomont
307,1998,1,2,elymcana
307,1998,1,2,eragspec
307,1998,1,2,erigphil
307,1998,1,2,erigstri
307,1998,1,2,fimbpube
307,1998,1,2,gamopurp
307,1998,1,2,hedehisp
307,1998,1,2,hordpusi
307,1998,1,2,juncinte
307,1998,1,2,junctorr
307,1998,1,1,krigcesp
307,1998,1,2,kummstip
307,1998,1,2,kummstri
307,1998,1,2,lepivirg
307,1998,1,2,oxaldill
307,1998,1,2,oxalviol
307,1998,1,5,paniance
307,1998,1,2,panivirg
307,1998,1,2,paspseta
307,1998,1,1,phalcaro
307,1998,1,2,planaris
307,1998,1,2,planvirg
307,1998,1,1,poaprate
307,1998,1,2,polyvert
307,1998,1,1,pyrrcaro
307,1998,1,2,raticolu
307,1998,1,2,rudbhirt
307,1998,1,2,ruelhumi
307,1998,1,2,rumecris
307,1998,1,4,schiscop
307,1998,1,2,setaparv
307,1998,1,3,sorgnuta
307,1998,1,2,spheobtu
307,1998,1,2,sporcomp
307,1998,1,2,stroleio
307,1998,1,2,stylbifl
307,1998,1,2,tridflav
307,1998,1,1,unopd307
307,1998,1,2,vulpocto
308,1998,1,2,acalvirg
308,1998,1,2,ambrarte
308,1998,1,3,ambrpsil
308,1998,1,2,andrgera
308,1998,1,2,arteludo
308,1998,1,2,asclviri
308,1998,1,2,asteeric
308,1998,1,2,baptalba
308,1998,1,2,baptbrac
308,1998,1,2,carefest
308,1998,1,2,caremicr
308,1998,1,1,chaetain
308,1998,1,2,chamnuta
308,1998,1,2,cirsalti
308,1998,1,1,crotmona
308,1998,1,2,desmills
308,1998,1,2,dicholig
308,1998,1,2,elymcana
308,1998,1,2,elymvirg
308,1998,1,1,erigphil
308,1998,1,2,grinlanc
308,1998,1,2,helihirs
308,1998,1,2,juncinte
308,1998,1,2,kummstip
308,1998,1,2,lespproc
308,1998,1,2,medilupu
308,1998,1,2,melioffi
308,1998,1,2,monafist
308,1998,1,2,oenospec
308,1998,1,2,oxaldill
308,1998,1,2,paniance
308,1998,1,2,panivirg
308,1998,1,2,physpumi
308,1998,1,2,physvirg
308,1998,1,2,psortenu
308,1998,1,2,raticolu
308,1998,1,2,ruelhumi
308,1998,1,2,salvazur
308,1998,1,2,schiscop
308,1998,1,2,setaparv
308,1998,1,2,solacaro
308,1998,1,3,solicana
308,1998,1,2,sorgnuta
308,1998,1,2,spheobtu
308,1998,1,2,sporcomp
308,1998,1,2,stylbifl
308,1998,1,2,symporbi
308,1998,1,2,tridflav
308,1998,1,5,vernbald
309,1998,1,2,acalgrac
309,1998,1,1,acalvirg
309,1998,1,2,achimill
309,1998,1,2,agrohyem
309,1998,1,2,ambrbide
309,1998,1,3,ambrpsil
309,1998,1,2,amorcane
309,1998,1,2,amphdrac
309,1998,1,3,andrgera
309,1998,1,2,antenegl
309,1998,1,2,arteludo
309,1998,1,2,asclvert
309,1998,1,2,asclviri
309,1998,1,2,asteeric
309,1998,1,2,baptalba
309,1998,1,1,briceupa
309,1998,1,2,carebush
309,1998,1,2,careceph
309,1998,1,2,carefest
309,1998,1,2,caremicr
309,1998,1,2,chamfasc
309,1998,1,2,chamnuta
309,1998,1,2,coregran
309,1998,1,2,crotmona
309,1998,1,1,cuscpent
309,1998,1,2,cypeechi
309,1998,1,2,cypelupu
309,1998,1,2,dichacum
309,1998,1,2,dicholig
309,1998,1,2,digicogn
309,1998,1,2,elymvirg
309,1998,1,2,eragspec
309,1998,1,2,erigstri
309,1998,1,2,eupaalti
309,1998,1,2,fimbpube
309,1998,1,1,hedehisp
309,1998,1,2,juncinte
309,1998,1,2,juncmarg
309,1998,1,2,junctorr
309,1998,1,2,krigcesp
309,1998,1,2,kummstip
309,1998,1,2,kummstri
309,1998,1,2,lepivirg
309,1998,1,2,lespproc
309,1998,1,1,lespvirg
309,1998,1,2,linusulc
309,1998,1,2,mimoquad
309,1998,1,2,oxaldill
309,1998,1,2,oxalviol
309,1998,1,2,panivirg
309,1998,1,1,paspseta
309,1998,1,2,penstubi
309,1998,1,1,physvirg
309,1998,1,2,planvirg
309,1998,1,1,poaprate
309,1998,1,2,polyinca
309,1998,1,2,polyvert
309,1998,1,3,psortenu
309,1998,1,2,rubuostr
309,1998,1,2,ruelhumi
309,1998,1,2,salvazur
309,1998,1,4,schiscop
309,1998,1,2,setaviri
309,1998,1,2,sisycamp
309,1998,1,2,solacaro
309,1998,1,2,solicana
309,1998,1,2,solirigi
309,1998,1,5,sorgnuta
309,1998,1,2,spheobtu
309,1998,1,1,unknspir
309,1998,1,3,sporcomp
309,1998,1,2,stroleio
309,1998,1,1,stylbifl
309,1998,1,2,symporbi
309,1998,1,1,tridflav
309,1998,1,2,unsol309
309,1998,1,2,vernbald
317,1998,1,2,acalvirg
317,1998,1,1,achimill
317,1998,1,2,agrohyem
317,1998,1,2,ambrarte
317,1998,1,2,ambrbide
317,1998,1,2,ambrpsil
317,1998,1,2,amorcane
317,1998,1,2,amphdrac
317,1998,1,3,andrgera
317,1998,1,1,arnoplan
317,1998,1,2,asclvert
317,1998,1,2,asclviri
317,1998,1,2,asteeric
317,1998,1,2,bothsacc
317,1998,1,2,bromjapo
317,1998,1,2,callalca
317,1998,1,2,carebush
317,1998,1,2,carefest
317,1998,1,2,caremicr
317,1998,1,2,chamfasc
317,1998,1,2,cirsalti
317,1998,1,2,coregran
317,1998,1,2,cypeechi
317,1998,1,2,cypeseti
317,1998,1,2,dichacum
317,1998,1,2,dicholig
317,1998,1,2,dracampl
317,1998,1,2,eleomont
317,1998,1,2,elymcana
317,1998,1,2,elymvirg
317,1998,1,2,eragspec
317,1998,1,2,erigphil
317,1998,1,2,erigstri
317,1998,1,2,fimbpube
317,1998,1,2,gamopurp
317,1998,1,1,houspusi
317,1998,1,2,juncinte
317,1998,1,2,juncmarg
317,1998,1,1,junctorr
317,1998,1,2,koelmacr
317,1998,1,1,krigcesp
317,1998,1,2,kummstip
317,1998,1,2,kummstri
317,1998,1,2,nemagemi
317,1998,1,1,ophienge
317,1998,1,2,oxaldill
317,1998,1,2,paniance
317,1998,1,2,paspseta
317,1998,1,2,penstubi
317,1998,1,2,planvirg
317,1998,1,1,raticolu
317,1998,1,2,ruelhumi
317,1998,1,2,rumecris
317,1998,1,2,schiscop
317,1998,1,2,scirpend
317,1998,1,2,setaparv
317,1998,1,2,sisycamp
317,1998,1,2,solacaro
317,1998,1,4,solicana
317,1998,1,2,sorgnuta
