"record_id","plot","year","corner","scale","spcode"
23292,205,1998,"4",10,"monafist"
23293,205,1998,"1",1,"oxaldill"
23294,205,1998,"2",1,"oxaldill"
23295,205,1998,"3",0.1,"oxaldill"
23296,205,1998,"4",1,"oxaldill"
23297,205,1998,"1",1,"panivirg"
23298,205,1998,"2",0.01,"panivirg"
23299,205,1998,"3",0.1,"panivirg"
23300,205,1998,"4",1,"panivirg"
23301,205,1998,"1",0.1,"penstubi"
23302,205,1998,"3",10,"penstubi"
23303,205,1998,"1",10,"physvirg"
23304,205,1998,"4",1,"planvirg"
23305,205,1998,"1",0.01,"poaprate"
23306,205,1998,"2",0.1,"poaprate"
23307,205,1998,"3",10,"poaprate"
23308,205,1998,"4",0.01,"poaprate"
23309,205,1998,"2",0.1,"polyvert"
23310,205,1998,"3",10,"polyvert"
23311,205,1998,"1",1,"psortenu"
23312,205,1998,"2",10,"psortenu"
23313,205,1998,"3",10,"psortenu"
23314,205,1998,"4",1,"psortenu"
23315,205,1998,"2",10,"ruelhumi"
23316,205,1998,"3",1,"ruelhumi"
23317,205,1998,"4",1,"ruelhumi"
23318,205,1998,"2",10,"salvazur"
23319,205,1998,"4",1,"salvazur"
23320,205,1998,"1",0.01,"schiscop"
23321,205,1998,"2",0.01,"schiscop"
23322,205,1998,"3",0.1,"schiscop"
23323,205,1998,"4",0.1,"schiscop"
23324,205,1998,"NA",100,"setaparv"
23325,205,1998,"1",10,"solicana"
23326,205,1998,"2",1,"solicana"
23327,205,1998,"3",1,"solicana"
23328,205,1998,"4",0.01,"solicana"
23329,205,1998,"1",0.1,"sorgnuta"
23330,205,1998,"2",0.1,"sorgnuta"
23331,205,1998,"3",0.01,"sorgnuta"
23332,205,1998,"4",0.01,"sorgnuta"
23333,205,1998,"1",0.01,"sporcomp"
23334,205,1998,"2",1,"sporcomp"
23335,205,1998,"3",0.1,"sporcomp"
23336,205,1998,"4",0.1,"sporcomp"
23337,205,1998,"1",1,"stroleio"
23338,205,1998,"2",0.1,"stroleio"
23339,205,1998,"3",0.01,"stroleio"
23340,205,1998,"4",0.1,"stroleio"
23341,205,1998,"NA",100,"symporbi"
23342,205,1998,"1",10,"unari205"
23343,205,1998,"4",1,"unari205"
23344,205,1998,"NA",100,"verbsimp"
23345,205,1998,"1",10,"vernbald"
23346,205,1998,"2",10,"vernbald"
23347,205,1998,"3",10,"vernbald"
23348,205,1998,"4",1,"vernbald"
23349,205,1998,"4",10,"xantstru"
23350,206,1998,"1",1,"achimill"
23351,206,1998,"2",10,"achimill"
23352,206,1998,"4",1,"achimill"
23353,206,1998,"2",10,"ambrarte"
23354,206,1998,"1",1,"ambrpsil"
23355,206,1998,"2",1,"ambrpsil"
23356,206,1998,"3",1,"ambrpsil"
23357,206,1998,"1",10,"amorcane"
23358,206,1998,"2",1,"amorcane"
23359,206,1998,"3",1,"amorcane"
23360,206,1998,"4",10,"amorcane"
23361,206,1998,"1",0.1,"andrgera"
23362,206,1998,"2",0.01,"andrgera"
23363,206,1998,"3",0.01,"andrgera"
23364,206,1998,"4",0.01,"andrgera"
23365,206,1998,"1",10,"asclsten"
23366,206,1998,"4",10,"asclsten"
23367,206,1998,"1",10,"asclviri"
23368,206,1998,"2",10,"asclviri"
23369,206,1998,"3",1,"asclviri"
23370,206,1998,"4",1,"asclviri"
23371,206,1998,"1",0.1,"asteeric"
23372,206,1998,"2",10,"asteeric"
23373,206,1998,"3",10,"asteeric"
23374,206,1998,"1",0.1,"asteoole"
23375,206,1998,"2",10,"asteoole"
23376,206,1998,"NA",100,"baptbrac"
23377,206,1998,"3",1,"bothsacc"
23378,206,1998,"1",10,"briceupa"
23379,206,1998,"4",10,"bromjapo"
23380,206,1998,"2",10,"carebush"
23381,206,1998,"3",0.1,"carebush"
23382,206,1998,"1",1,"careceph"
23383,206,1998,"1",10,"carefest"
23384,206,1998,"3",0.1,"carefest"
23385,206,1998,"4",1,"carefest"
23386,206,1998,"1",0.1,"caremicr"
23387,206,1998,"2",1,"caremicr"
23388,206,1998,"3",0.1,"caremicr"
23389,206,1998,"4",0.1,"caremicr"
23390,206,1998,"2",0.1,"chamnuta"
23391,206,1998,"3",10,"chamnuta"
23392,206,1998,"2",10,"cirsalti"
23393,206,1998,"2",10,"cirsundu"
23394,206,1998,"4",10,"cirsundu"
23395,206,1998,"2",1,"conycana"
23396,206,1998,"NA",100,"coregran"
23397,206,1998,"NA",100,"cypeechi"
23398,206,1998,"1",10,"cypelupu"
23399,206,1998,"4",10,"cypelupu"
23400,206,1998,"NA",100,"dalecand"
23401,206,1998,"2",10,"dalepurp"
23402,206,1998,"3",1,"dalepurp"
23403,206,1998,"1",0.1,"desmilli"
23404,206,1998,"2",10,"desmsess"
23405,206,1998,"1",0.1,"dichacum"
23406,206,1998,"1",0.01,"dicholig"
23407,206,1998,"2",0.1,"dicholig"
23408,206,1998,"3",1,"dicholig"
23409,206,1998,"4",0.1,"dicholig"
23410,206,1998,"3",10,"digicogn"
23411,206,1998,"2",10,"elymcana"
23412,206,1998,"1",0.1,"elymvirg"
23413,206,1998,"2",0.1,"elymvirg"
23414,206,1998,"3",0.1,"elymvirg"
23415,206,1998,"4",1,"elymvirg"
23416,206,1998,"1",10,"eragspec"
23417,206,1998,"2",10,"eragspec"
23418,206,1998,"3",0.1,"eragspec"
23419,206,1998,"4",0.01,"eragspec"
23420,206,1998,"1",10,"erigstri"
23421,206,1998,"2",1,"erigstri"
23422,206,1998,"3",0.1,"erigstri"
23423,206,1998,"1",1,"fimbpube"
23424,206,1998,"2",10,"fimbpube"
23425,206,1998,"4",1,"fimbpube"
23426,206,1998,"1",10,"juncinte"
23427,206,1998,"4",10,"juncinte"
23428,206,1998,"NA",100,"koelmacr"
23429,206,1998,"2",10,"kummstri"
23430,206,1998,"2",10,"lespproc"
23431,206,1998,"4",10,"lespvirg"
23432,206,1998,"1",10,"linusulc"
23433,206,1998,"2",10,"lithinci"
23434,206,1998,"1",10,"melioffi"
23435,206,1998,"3",10,"melioffi"
23436,206,1998,"NA",100,"mimoquad"
23437,206,1998,"2",0.1,"oxaldill"
23438,206,1998,"3",1,"oxaldill"
23439,206,1998,"4",1,"oxaldill"
23440,206,1998,"1",0.1,"panivirg"
23441,206,1998,"2",10,"panivirg"
23442,206,1998,"3",1,"panivirg"
23443,206,1998,"4",1,"panivirg"
23444,206,1998,"2",10,"physpumi"
23445,206,1998,"3",10,"physpumi"
23446,206,1998,"1",1,"physvirg"
23447,206,1998,"2",10,"physvirg"
23448,206,1998,"3",10,"physvirg"
23449,206,1998,"4",10,"physvirg"
23450,206,1998,"1",0.1,"poaprate"
23451,206,1998,"2",0.1,"poaprate"
23452,206,1998,"3",10,"poaprate"
23453,206,1998,"4",0.01,"poaprate"
23454,206,1998,"1",10,"psortenu"
23455,206,1998,"2",10,"psortenu"
23456,206,1998,"3",0.1,"psortenu"
23457,206,1998,"4",10,"psortenu"
23458,206,1998,"1",10,"raticolu"
23459,206,1998,"2",10,"raticolu"
23460,206,1998,"3",1,"raticolu"
23461,206,1998,"4",1,"raticolu"
23462,206,1998,"2",1,"rosacaro"
23463,206,1998,"2",1,"rubuostr"
23464,206,1998,"3",10,"rubuostr"
23465,206,1998,"4",1,"rubuostr"
23466,206,1998,"NA",100,"rudbhirt"
23467,206,1998,"1",1,"ruelhumi"
23468,206,1998,"2",0.1,"ruelhumi"
23469,206,1998,"3",10,"ruelhumi"
23470,206,1998,"4",0.1,"ruelhumi"
23471,206,1998,"1",10,"salvazur"
23472,206,1998,"4",1,"salvazur"
23473,206,1998,"1",0.01,"schiscop"
23474,206,1998,"2",0.01,"schiscop"
23475,206,1998,"3",0.1,"schiscop"
23476,206,1998,"4",0.01,"schiscop"
23477,206,1998,"2",1,"setaparv"
23478,206,1998,"1",1,"sisycamp"
23479,206,1998,"1",10,"solicana"
23480,206,1998,"3",10,"solicana"
23481,206,1998,"1",1,"sorgnuta"
23482,206,1998,"2",1,"sorgnuta"
23483,206,1998,"3",0.01,"sorgnuta"
23484,206,1998,"4",0.01,"sorgnuta"
23485,206,1998,"2",10,"unknspir"
23486,206,1998,"1",0.1,"sporcomp"
23487,206,1998,"2",0.1,"sporcomp"
23488,206,1998,"3",0.1,"sporcomp"
23489,206,1998,"1",1,"stroleio"
23490,206,1998,"2",1,"stroleio"
23491,206,1998,"4",10,"stroleio"
23492,206,1998,"NA",100,"tridflav"
23493,206,1998,"2",10,"unheu206"
23494,206,1998,"1",10,"unnla206"
23495,208,1998,"2",10,"acalgrac"
23496,208,1998,"1",10,"acalvirg"
23497,208,1998,"2",10,"achimill"
23498,208,1998,"4",10,"achimill"
23499,208,1998,"3",10,"allicana"
23500,208,1998,"1",1,"ambrbide"
23501,208,1998,"1",1,"ambrpsil"
23502,208,1998,"2",1,"ambrpsil"
23503,208,1998,"3",0.1,"ambrpsil"
23504,208,1998,"4",0.01,"ambrpsil"
23505,208,1998,"1",0.1,"amphdrac"
23506,208,1998,"2",1,"amphdrac"
23507,208,1998,"3",10,"amphdrac"
23508,208,1998,"4",10,"amphdrac"
23509,208,1998,"1",0.1,"andrgera"
23510,208,1998,"2",1,"andrgera"
23511,208,1998,"3",1,"andrgera"
23512,208,1998,"4",0.1,"andrgera"
23513,208,1998,"1",1,"asclviri"
23514,208,1998,"2",1,"asclviri"
23515,208,1998,"3",10,"asclviri"
23516,208,1998,"4",10,"asclviri"
23517,208,1998,"1",1,"asteeric"
23518,208,1998,"2",0.01,"asteeric"
23519,208,1998,"3",0.1,"asteeric"
23520,208,1998,"4",1,"asteeric"
23521,208,1998,"4",10,"astrcras"
23522,208,1998,"2",10,"briceupa"
23523,208,1998,"3",10,"bromjapo"
23524,208,1998,"1",10,"buchdact"
23525,208,1998,"2",1,"buchdact"
23526,208,1998,"4",10,"callalca"
23527,208,1998,"1",10,"careceph"
23528,208,1998,"1",10,"carefest"
23529,208,1998,"2",10,"caregrav"
23530,208,1998,"1",0.01,"caremicr"
23531,208,1998,"2",0.01,"caremicr"
23532,208,1998,"3",0.01,"caremicr"
23533,208,1998,"4",0.1,"caremicr"
23534,208,1998,"NA",100,"chaetain"
23535,208,1998,"1",1,"chamnuta"
23536,208,1998,"1",0.1,"cirsalti"
23537,208,1998,"2",1,"cirsalti"
23538,208,1998,"3",1,"cirsalti"
23539,208,1998,"4",0.1,"cirsalti"
23540,208,1998,"3",1,"conycana"
23541,208,1998,"1",0.1,"crotmona"
23542,208,1998,"2",1,"crotmona"
23543,208,1998,"3",1,"crotmona"
23544,208,1998,"4",0.1,"crotmona"
23545,208,1998,"2",1,"cuscpent"
23546,208,1998,"2",0.1,"dalecand"
23547,208,1998,"3",10,"dalepurp"
23548,208,1998,"1",10,"desmlept"
23549,208,1998,"2",1,"desmlept"
23550,208,1998,"3",1,"desmlept"
23551,208,1998,"4",10,"desmlept"
23552,208,1998,"1",10,"dicholig"
23553,208,1998,"2",0.1,"dicholig"
23554,208,1998,"3",1,"dicholig"
23555,208,1998,"4",1,"dicholig"
23556,208,1998,"2",1,"dracampl"
23557,208,1998,"1",10,"elymcana"
23558,208,1998,"2",0.1,"elymcana"
23559,208,1998,"3",10,"elymcana"
23560,208,1998,"4",1,"elymcana"
23561,208,1998,"1",1,"elymvirg"
23562,208,1998,"3",1,"elymvirg"
23563,208,1998,"4",10,"elymvirg"
23564,208,1998,"1",1,"eragspec"
23565,208,1998,"3",10,"erigstri"
23566,208,1998,"4",10,"erigstri"
23567,208,1998,"2",1,"euphspat"
23568,208,1998,"3",0.1,"fragvirg"
23569,208,1998,"1",10,"juncinte"
23570,208,1998,"2",1,"juncinte"
23571,208,1998,"1",1,"kummstip"
23572,208,1998,"NA",100,"lespcune"
23573,208,1998,"3",1,"lespproc"
23574,208,1998,"1",1,"melioffi"
23575,208,1998,"2",10,"melioffi"
23576,208,1998,"3",10,"melioffi"
23577,208,1998,"4",10,"melioffi"
23578,208,1998,"2",10,"monacitr"
23579,208,1998,"3",10,"monacitr"
23580,208,1998,"4",1,"monacitr"
23581,208,1998,"1",0.1,"oenospec"
23582,208,1998,"3",0.1,"oenospec"
23583,208,1998,"4",10,"oenospec"
23584,208,1998,"1",0.1,"oxaldill"
23585,208,1998,"2",0.01,"oxaldill"
23586,208,1998,"3",1,"oxaldill"
23587,208,1998,"4",0.01,"oxaldill"
23588,208,1998,"1",10,"oxalviol"
23589,208,1998,"1",0.1,"panivirg"
23590,208,1998,"2",0.1,"panivirg"
23591,208,1998,"3",0.1,"panivirg"
23592,208,1998,"4",0.1,"panivirg"
23593,208,1998,"1",1,"phalcaro"
23594,208,1998,"2",10,"phalcaro"
23595,208,1998,"3",10,"phalcaro"
23596,208,1998,"4",10,"phalcaro"
23597,208,1998,"2",10,"physpumi"
23598,208,1998,"3",10,"physpumi"
23599,208,1998,"2",10,"planvirg"
23600,208,1998,"1",10,"poaprate"
23601,208,1998,"2",1,"poaprate"
23602,208,1998,"3",10,"poaprate"
23603,208,1998,"4",1,"poaprate"
23604,208,1998,"3",10,"polynutt"
23605,208,1998,"2",10,"psortenu"
23606,208,1998,"3",1,"psortenu"
23607,208,1998,"4",10,"psortenu"
23608,208,1998,"2",10,"pyrrcaro"
23609,208,1998,"2",10,"raticolu"
23610,208,1998,"2",1,"rudbhirt"
23611,208,1998,"4",10,"rudbhirt"
23612,208,1998,"1",10,"rumecris"
23613,208,1998,"2",10,"rumecris"
23614,208,1998,"4",1,"salvazur"
23615,208,1998,"2",1,"schiscop"
23616,208,1998,"2",10,"setaparv"
23617,208,1998,"3",0.1,"setaparv"
23618,208,1998,"3",0.1,"sileanti"
23619,208,1998,"3",1,"solacaro"
23620,208,1998,"1",10,"solicana"
23621,208,1998,"1",1,"sorgnuta"
23622,208,1998,"2",1,"sorgnuta"
23623,208,1998,"3",0.01,"sorgnuta"
23624,208,1998,"2",10,"spheobtu"
23625,208,1998,"3",1,"spheobtu"
23626,208,1998,"1",0.01,"sporcomp"
23627,208,1998,"2",0.01,"sporcomp"
23628,208,1998,"3",0.1,"sporcomp"
23629,208,1998,"4",0.01,"sporcomp"
23630,208,1998,"4",0.01,"stroleio"
23631,208,1998,"NA",100,"symporbi"
23632,208,1998,"1",10,"trioperf"
23633,208,1998,"2",10,"trioperf"
23634,208,1998,"3",10,"trioperf"
23635,208,1998,"1",0.1,"vernbald"
23636,208,1998,"2",10,"vernbald"
23637,208,1998,"3",10,"vernbald"
23638,208,1998,"1",0.1,"xantstru"
23639,208,1998,"2",10,"xantstru"
23640,208,1998,"3",10,"xantstru"
23641,220,1998,"1",1,"acalvirg"
23642,220,1998,"2",0.1,"acalvirg"
23643,220,1998,"4",10,"acalvirg"
23644,220,1998,"NA",100,"achimill"
23645,220,1998,"4",0.01,"ambrarte"
23646,220,1998,"1",10,"ambrpsil"
23647,220,1998,"2",0.1,"ambrpsil"
23648,220,1998,"4",0.1,"ambrpsil"
23649,220,1998,"3",10,"amorcane"
23650,220,1998,"1",0.01,"andrgera"
23651,220,1998,"2",0.01,"andrgera"
23652,220,1998,"3",0.01,"andrgera"
23653,220,1998,"4",1,"andrgera"
23654,220,1998,"1",10,"asclviri"
23655,220,1998,"3",10,"asclviri"
23656,220,1998,"1",10,"asteeric"
23657,220,1998,"2",10,"asteeric"
23658,220,1998,"4",1,"asteeric"
23659,220,1998,"3",1,"baptalba"
23660,220,1998,"2",10,"baptbrac"
23661,220,1998,"2",1,"bothsacc"
23662,220,1998,"1",10,"bromjapo"
23663,220,1998,"3",10,"bromjapo"
23664,220,1998,"4",1,"bromjapo"
23665,220,1998,"NA",100,"carebush"
23666,220,1998,"1",0.01,"carefest"
23667,220,1998,"2",0.1,"carefest"
23668,220,1998,"3",0.1,"carefest"
23669,220,1998,"3",1,"caregrav"
23670,220,1998,"1",10,"caremicr"
23671,220,1998,"2",10,"caremicr"
23672,220,1998,"3",10,"caremicr"
23673,220,1998,"4",0.01,"caremicr"
23674,220,1998,"2",1,"cirsalti"
23675,220,1998,"3",10,"cirsalti"
23676,220,1998,"NA",100,"cypeechi"
23677,220,1998,"1",10,"cypeseti"
23678,220,1998,"3",1,"dichacum"
23679,220,1998,"1",1,"dicholig"
23680,220,1998,"2",0.1,"dicholig"
23681,220,1998,"3",1,"dicholig"
23682,220,1998,"4",0.1,"dicholig"
23683,220,1998,"1",10,"eleomont"
23684,220,1998,"2",1,"eleomont"
23685,220,1998,"4",1,"eleomont"
23686,220,1998,"1",10,"elymcana"
23687,220,1998,"3",10,"elymcana"
23688,220,1998,"4",10,"elymcana"
23689,220,1998,"1",0.01,"elymvirg"
23690,220,1998,"2",0.1,"elymvirg"
23691,220,1998,"3",1,"elymvirg"
23692,220,1998,"4",0.1,"elymvirg"
23693,220,1998,"4",1,"erigstri"
23694,220,1998,"2",10,"eupaalti"
23695,220,1998,"4",0.1,"fragvirg"
23696,220,1998,"4",10,"unkngaur"
23697,220,1998,"1",10,"juncinte"
23698,220,1998,"3",1,"juncinte"
23699,220,1998,"4",10,"juncinte"
23700,220,1998,"NA",100,"lespcune"
23701,220,1998,"2",10,"melioffi"
23702,220,1998,"3",10,"melioffi"
23703,220,1998,"4",0.1,"melioffi"
23704,220,1998,"NA",100,"monafist"
23705,220,1998,"4",10,"oenospec"
23706,220,1998,"2",10,"oxaldill"
23707,220,1998,"3",10,"oxaldill"
23708,220,1998,"3",10,"oxalviol"
23709,220,1998,"1",10,"panivirg"
23710,220,1998,"2",0.1,"panivirg"
23711,220,1998,"4",0.1,"panivirg"
23712,220,1998,"1",10,"physpumi"
23713,220,1998,"2",1,"physpumi"
23714,220,1998,"1",10,"poaprate"
23715,220,1998,"2",10,"poaprate"
23716,220,1998,"3",0.1,"poaprate"
23717,220,1998,"4",0.01,"poaprate"
23718,220,1998,"2",0.1,"psortenu"
23719,220,1998,"3",10,"psortenu"
23720,220,1998,"1",1,"ruelhumi"
23721,220,1998,"2",1,"ruelhumi"
23722,220,1998,"3",0.1,"ruelhumi"
23723,220,1998,"4",0.01,"ruelhumi"
23724,220,1998,"2",10,"rumecris"
23725,220,1998,"3",10,"rumecris"
23726,220,1998,"1",0.1,"schiscop"
23727,220,1998,"2",0.01,"schiscop"
23728,220,1998,"4",1,"schiscop"
23729,220,1998,"1",10,"setaparv"
23730,220,1998,"2",0.1,"setaparv"
23731,220,1998,"4",10,"setaparv"
23732,220,1998,"4",10,"sisycamp"
23733,220,1998,"1",1,"solacaro"
23734,220,1998,"4",1,"solacaro"
23735,220,1998,"2",0.01,"sorgnuta"
23736,220,1998,"3",10,"sorgnuta"
23737,220,1998,"4",10,"sorgnuta"
23738,220,1998,"1",10,"spheobtu"
23739,220,1998,"3",10,"spheobtu"
23740,220,1998,"1",1,"sporcomp"
23741,220,1998,"2",1,"sporcomp"
23742,220,1998,"3",1,"sporcomp"
23743,220,1998,"4",0.1,"sporcomp"
23744,220,1998,"1",10,"tradohie"
23745,220,1998,"2",10,"tradohie"
23746,220,1998,"3",10,"tradohie"
23747,220,1998,"4",10,"tridflav"
23748,220,1998,"3",10,"vernarka"
23749,220,1998,"1",1,"vernbald"
23750,220,1998,"2",1,"vernbald"
23751,220,1998,"3",0.1,"vernbald"
23752,220,1998,"4",1,"vernbald"
23753,222,1998,"1",0.01,"acalvirg"
23754,222,1998,"2",10,"acalvirg"
23755,222,1998,"3",0.1,"acalvirg"
23756,222,1998,"4",0.1,"acalvirg"
23757,222,1998,"1",1,"achimill"
23758,222,1998,"2",10,"achimill"
23759,222,1998,"4",10,"achimill"
23760,222,1998,"2",10,"agrohyem"
23761,222,1998,"3",10,"agrohyem"
23762,222,1998,"4",10,"agrohyem"
23763,222,1998,"1",10,"ambrbide"
23764,222,1998,"2",1,"ambrbide"
23765,222,1998,"4",1,"ambrbide"
23766,222,1998,"1",0.01,"ambrpsil"
23767,222,1998,"2",10,"ambrpsil"
23768,222,1998,"3",10,"ambrpsil"
23769,222,1998,"4",1,"ambrpsil"
23770,222,1998,"2",10,"amorcane"
23771,222,1998,"3",10,"amorcane"
23772,222,1998,"1",0.1,"andrgera"
23773,222,1998,"2",0.1,"andrgera"
23774,222,1998,"3",1,"andrgera"
23775,222,1998,"4",0.01,"andrgera"
23776,222,1998,"1",1,"arteludo"
23777,222,1998,"2",1,"arteludo"
23778,222,1998,"4",10,"arteludo"
23779,222,1998,"1",0.1,"asclviri"
23780,222,1998,"2",1,"asclviri"
23781,222,1998,"3",10,"asclviri"
23782,222,1998,"4",10,"asclviri"
23783,222,1998,"1",1,"asteeric"
23784,222,1998,"3",10,"asteeric"
23785,222,1998,"1",0.01,"bothsacc"
23786,222,1998,"2",0.01,"bothsacc"
23787,222,1998,"4",10,"briceupa"
23788,222,1998,"4",10,"callalca"
23789,222,1998,"2",10,"carebush"
23790,222,1998,"3",10,"carebush"
23791,222,1998,"4",10,"carebush"
23792,222,1998,"4",10,"careceph"
23793,222,1998,"1",0.01,"carefest"
23794,222,1998,"2",0.1,"carefest"
23795,222,1998,"3",10,"carefest"
23796,222,1998,"4",0.1,"carefest"
23797,222,1998,"1",10,"caregrav"
23798,222,1998,"2",1,"caregrav"
23799,222,1998,"4",10,"caregrav"
23800,222,1998,"1",0.1,"caremicr"
23801,222,1998,"2",1,"caremicr"
23802,222,1998,"3",10,"caremicr"
23803,222,1998,"4",0.1,"caremicr"
23804,222,1998,"1",10,"cirsalti"
23805,222,1998,"3",10,"cirsalti"
23806,222,1998,"4",10,"cirsalti"
23807,222,1998,"3",10,"cirsundu"
23808,222,1998,"4",10,"cirsundu"
23809,222,1998,"2",10,"cypeechi"
23810,222,1998,"2",10,"cypelupu"
23811,222,1998,"3",10,"cypelupu"
23812,222,1998,"NA",100,"cypepseu"
23813,222,1998,"2",10,"dalepurp"
23814,222,1998,"1",0.1,"desmilli"
23815,222,1998,"2",0.01,"desmilli"
23816,222,1998,"3",10,"desmilli"
23817,222,1998,"1",10,"desmsess"
23818,222,1998,"2",10,"desmsess"
23819,222,1998,"3",10,"desmsess"
23820,222,1998,"4",0.1,"desmsess"
23821,222,1998,"1",0.01,"dicholig"
23822,222,1998,"2",0.01,"dicholig"
23823,222,1998,"3",0.01,"dicholig"
23824,222,1998,"4",1,"dicholig"
23825,222,1998,"NA",100,"eleomont"
23826,222,1998,"1",10,"elymcana"
23827,222,1998,"1",10,"elymvirg"
23828,222,1998,"2",0.01,"elymvirg"
23829,222,1998,"3",1,"elymvirg"
23830,222,1998,"4",0.01,"elymvirg"
23831,222,1998,"2",1,"eragspec"
23832,222,1998,"3",0.1,"eragspec"
23833,222,1998,"4",0.1,"eragspec"
23834,222,1998,"NA",100,"erigstri"
23835,222,1998,"2",10,"fimbpube"
23836,222,1998,"3",10,"fimbpube"
23837,222,1998,"1",10,"juncinte"
23838,222,1998,"2",10,"juncinte"
23839,222,1998,"3",10,"juncinte"
23840,222,1998,"4",10,"juncinte"
23841,222,1998,"3",10,"koelmacr"
23842,222,1998,"NA",100,"lespcapi"
23843,222,1998,"NA",100,"lespproc"
23844,222,1998,"1",1,"lespvirg"
23845,222,1998,"2",10,"lespvirg"
23846,222,1998,"3",10,"lespvirg"
23847,222,1998,"4",1,"lespvirg"
23848,222,1998,"1",0.1,"lithinci"
23849,222,1998,"2",10,"lithinci"
23850,222,1998,"3",10,"lithinci"
23851,222,1998,"3",10,"melioffi"
23852,222,1998,"1",1,"oxaldill"
23853,222,1998,"2",0.01,"oxaldill"
23854,222,1998,"4",10,"oxaldill"
23855,222,1998,"4",0.1,"oxalviol"
23856,222,1998,"1",10,"panivirg"
23857,222,1998,"2",1,"panivirg"
23858,222,1998,"3",10,"panivirg"
23859,222,1998,"4",0.01,"panivirg"
23860,222,1998,"3",0.1,"paspseta"
23861,222,1998,"4",10,"periamer"
23862,222,1998,"1",10,"physvirg"
23863,222,1998,"2",10,"physvirg"
23864,222,1998,"3",0.01,"physvirg"
23865,222,1998,"3",0.1,"poaprate"
23866,222,1998,"NA",100,"polyconv"
23867,222,1998,"1",1,"psortenu"
23868,222,1998,"2",1,"psortenu"
23869,222,1998,"3",1,"psortenu"
23870,222,1998,"4",0.1,"psortenu"
23871,222,1998,"4",10,"raticolu"
