"id","new","species","period","time","date","quadr","sex","known","weight","ot","sc","in.","pr","op","lg","year"
"RR1",NA,"BB",1,"AM",19790915,"A2","F",NA,10.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"28",NA,"PM",1,"AM",19790915,"A3","F",NA,23,NA,FALSE,FALSE,FALSE,FALSE,TRUE,1979
"",NA,"SC",1,"PM",19790915,"A4","",TRUE,3,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"24",NA,"PM",1,"AM",19790915,"A6","F",NA,9,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"54",NA,"PM",1,"AM",19790915,"A9","F",NA,19.5,NA,FALSE,FALSE,TRUE,FALSE,TRUE,1979
"54",NA,"PM",1,"PM",19790915,"A9","F",NA,19.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"67",NA,"PM",1,"AM",19790915,"B1","F",NA,20,NA,FALSE,FALSE,FALSE,FALSE,TRUE,1979
"68",NA,"NI",1,"AM",19790915,"B2","F",NA,25,NA,FALSE,FALSE,FALSE,TRUE,FALSE,1979
"29",NA,"",1,"AM",19790915,"B3","F",NA,21,NA,FALSE,FALSE,FALSE,TRUE,FALSE,1979
"74",NA,"NI",1,"PM",19790915,"B3","F",NA,21.5,NA,FALSE,FALSE,FALSE,FALSE,TRUE,1979
"70",NA,"NI",1,"AM",19790915,"B5","M",NA,12,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"24",NA,"PM",1,"PM",19790915,"B5","F",NA,8.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"25",NA,"PM",1,"AM",19790915,"C1","F",NA,18,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"27",NA,"PM",1,"PM",19790915,"C1","F",NA,18,NA,FALSE,FALSE,FALSE,TRUE,FALSE,1979
"73",NA,"NI",1,"PM",19790915,"C3","F",NA,30.5,NA,FALSE,FALSE,TRUE,TRUE,TRUE,1979
"66",NA,"PM",1,"AM",19790915,"D1","M",NA,23,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"LR4",NA,"BB",1,"PM",19790915,"D5","",NA,16.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"32",NA,"CG",1,"AM",19790915,"D9","M",NA,32.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"",NA,"BB",1,"AM",19790915,"E2","F",NA,15.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"17",NA,"PM",1,"PM",19790915,"E2","F",NA,20,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"17",NA,"PM",1,"AM",19790915,"E3","F",NA,21,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"18",NA,"PL",1,"AM",19790915,"E4","F",NA,8,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"18",NA,"PM",1,"PM",19790915,"E4","F",NA,7.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"64",NA,"NI",1,"AM",19790915,"E7","M",NA,24,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"65",NA,"CG",1,"AM",19790915,"E9","M",NA,27,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"",NA,"PM",1,"AM",19790915,"F1","",NA,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"LR4",NA,"BB",1,"AM",19790915,"F9","F",NA,13,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"62",NA,"",1,"AM",19790915,"G10","M",NA,18.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"63",NA,"",1,"AM",19790915,"G3","F",NA,9,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"1",NA,"DV",1,"AM",19790915,"G6","M",NA,1.8,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"16",NA,"PL",1,"PM",19790915,"H1","M",NA,17,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"FL4-41",NA,"PM",1,"AM",19790915,"H10","M",NA,18,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"RR2-14",NA,"CG",1,"AM",19790915,"H9","F",NA,29,NA,FALSE,FALSE,TRUE,TRUE,TRUE,1979
"14",NA,"CG",1,"PM",19790915,"H9","F",NA,28.5,NA,FALSE,FALSE,TRUE,TRUE,FALSE,1979
"39",NA,"PM",1,"AM",19790915,"I10","F",NA,20,NA,FALSE,FALSE,FALSE,TRUE,TRUE,1979
"",NA,"TS",1,"PM",19790915,"I2","M",NA,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"LR3",NA,"BB",1,"AM",19790915,"I5","F",NA,15,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"36",NA,"PL",1,"AM",19790915,"J1","F",NA,23.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"6661",NA,"PM",1,"AM",19790915,"J10","F",NA,14,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"71",NA,"TS",1,"PM",19790915,"J4","F",NA,93.5,NA,FALSE,FALSE,FALSE,FALSE,TRUE,1979
"37",NA,"PM",1,"AM",19790915,"J5","F",NA,21,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"37",NA,"PM",1,"AM",19790915,"J5","F",NA,21,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"72",NA,"CG",1,"PM",19790915,"J9","M",NA,24.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"338",NA,"PM",1,"AM",19790915,"J9","F",NA,16,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"LR2",NA,"BB",2,"AM",19790924,"A1","F",NA,12.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"",NA,"BB",2,"AM",19790924,"A10","F",NA,14,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"80",NA,"PM",2,"AM",19790924,"A10","M",NA,17.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"54",NA,"PM",2,"PM",19790924,"A10","F",NA,27,NA,FALSE,FALSE,TRUE,TRUE,TRUE,1979
"53",NA,"PM",2,"AM",19790924,"A3","M",NA,18,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"53",NA,"PM",2,"PM",19790924,"A3","M",NA,17.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"FR1FL4",NA,"BB",2,"AM",19790924,"A4","F",NA,18,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"54",NA,"PM",2,"AM",19790924,"A9","F",NA,26,NA,FALSE,FALSE,TRUE,TRUE,TRUE,1979
"86",NA,"PM",2,"PM",19790924,"A9","F",NA,8,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"RR2",NA,"BB",2,"AM",19790924,"B4","F",NA,13,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"29",NA,"PM",2,"AM",19790924,"B5","F",NA,22,NA,FALSE,FALSE,FALSE,TRUE,FALSE,1979
"85",NA,"PM",2,"PM",19790924,"B7","F",NA,9.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"35",NA,"NI",2,"PM",19790924,"B9","M",NA,31.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"25",NA,"PM",2,"AM",19790924,"C1","F",NA,18,NA,FALSE,FALSE,FALSE,FALSE,TRUE,1979
"67",NA,"PM",2,"PM",19790924,"C1","F",NA,18,NA,FALSE,FALSE,FALSE,FALSE,TRUE,1979
"25",NA,"PM",2,"PM",19790924,"C1","F",NA,19,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"27",NA,"PM",2,"AM",19790924,"C2","F",NA,17,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"66",NA,"PM",2,"PM",19790924,"C3","M",NA,22,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"61",NA,"PM",2,"AM",19790924,"D1","F",NA,18,NA,FALSE,FALSE,FALSE,FALSE,TRUE,1979
"27",NA,"PM",2,"PM",19790924,"D1","F",NA,16.5,NA,FALSE,FALSE,FALSE,FALSE,TRUE,1979
"79",NA,"TS",2,"AM",19790924,"D10","F",NA,84,NA,FALSE,FALSE,FALSE,FALSE,TRUE,1979
"84",NA,"TS",2,"PM",19790924,"D10","F",NA,61,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"56",NA,"TS",2,"PM",19790924,"D6","F",NA,90,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"RR2",NA,"BB",2,"PM",19790924,"D7","F",NA,15,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"51",NA,"PM",2,"AM",19790924,"D7","F",NA,11,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"15-RR4",NA,"PM",2,"AM",19790924,"D8","M",NA,17.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"16",NA,"PL",2,"AM",19790924,"E2","M",NA,18.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"17-FR2",NA,"PM",2,"AM",19790924,"E2","F",NA,19,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"17",NA,"PM",2,"PM",19790924,"E2","F",NA,19,NA,FALSE,FALSE,FALSE,FALSE,TRUE,1979
"18",NA,"PM",2,"AM",19790924,"E4","F",NA,10.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"",NA,"TS",2,"AM",19790924,"E5","M",NA,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"77",NA,"PM",2,"AM",19790924,"E6","M",NA,13,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"30",NA,"CG",2,"PM",19790924,"F10","M",NA,22,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"83",NA,"TS",2,"PM",19790924,"F9","F",NA,83,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"59",NA,"TS",2,"PM",19790924,"G2","F",NA,83,NA,FALSE,FALSE,FALSE,FALSE,TRUE,1979
"56",NA,"TS",2,"AM",19790924,"G7","F",NA,90,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"76",NA,"PM",2,"AM",19790924,"H10","M",NA,18,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"71",NA,"TS",2,"PM",19790924,"I1","F",NA,93,NA,FALSE,FALSE,FALSE,FALSE,TRUE,1979
"75",NA,"ZH",2,"AM",19790924,"I10","M",NA,14.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"2",NA,"DV",2,"AM",19790924,"I3","F",NA,1.4,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"81",NA,"TS",2,"PM",19790924,"I5","F",NA,62.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"FR1FL2",NA,"BB",2,"AM",19790924,"I9","M",NA,16.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"14-RR2",NA,"CG",2,"AM",19790924,"I9","F",NA,25,NA,FALSE,FALSE,FALSE,FALSE,TRUE,1979
"61",NA,"PM",2,"AM",19790924,"J10","F",NA,15,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"38",NA,"PM",2,"AM",19790924,"J10","F",NA,16,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"36",NA,"PL",2,"AM",19790924,"J2","F",NA,23,NA,FALSE,FALSE,TRUE,TRUE,TRUE,1979
"33",NA,"PL",2,"AM",19790924,"J4","M",NA,18.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"37-LR4",NA,"PM",2,"AM",19790924,"J5","F",NA,29,NA,FALSE,FALSE,TRUE,TRUE,FALSE,1979
"82",NA,"TS",2,"PM",19790924,"J5","M",NA,53.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"FR1FL3",NA,"BB",2,"AM",19790924,"J7","F",NA,16,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"",NA,"BB",2,"AM",19790925,"A10","",NA,15,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"54",NA,"PM",2,"AM",19790925,"A10","F",NA,30.5,NA,FALSE,FALSE,TRUE,FALSE,TRUE,1979
"28",NA,"PM",2,"AM",19790925,"A2","F",NA,22,NA,FALSE,FALSE,FALSE,FALSE,TRUE,1979
"99",NA,"PL",2,"AM",19790925,"A3","F",NA,9,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"27",NA,"PM",2,"AM",19790925,"A3","F",NA,15.5,NA,FALSE,FALSE,FALSE,FALSE,TRUE,1979
"FR1FL4",NA,"BB",2,"AM",19790925,"A4","F",NA,15,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"52",NA,"PM",2,"AM",19790925,"A5","F",NA,29.5,NA,FALSE,FALSE,TRUE,FALSE,TRUE,1979
"105",NA,"PM",2,"AM",19790925,"A6","M",NA,17.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"106",NA,"NI",2,"AM",19790925,"A7","M",NA,24,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"108",NA,"PM",2,"AM",19790925,"A9","M",NA,7.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"80",NA,"PL",2,"AM",19790925,"B10","M",NA,16,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"102",NA,"NI",2,"AM",19790925,"B3","M",NA,29,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"29",NA,"PM",2,"AM",19790925,"B5","F",NA,21,NA,FALSE,FALSE,FALSE,FALSE,TRUE,1979
"22",NA,"PL",2,"AM",19790925,"B8","F",NA,10,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"107",NA,"ZH",2,"AM",19790925,"B9","M",NA,15.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"67",NA,"PM",2,"AM",19790925,"C2","F",NA,17.5,NA,FALSE,FALSE,FALSE,FALSE,TRUE,1979
"79",NA,"TS",2,"PM",19790925,"C9","F",NA,86,NA,FALSE,FALSE,FALSE,FALSE,TRUE,1979
"25",NA,"PM",2,"AM",19790925,"D1","F",NA,16.5,NA,FALSE,FALSE,FALSE,FALSE,TRUE,1979
"66",NA,"PM",2,"AM",19790925,"D2","M",NA,22.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"98",NA,"PM",2,"AM",19790925,"D2","F",NA,11.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"17",NA,"PM",2,"PM",19790925,"D2","F",NA,20,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"RR2",NA,"BB",2,"AM",19790925,"D4","F",NA,12,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"24",NA,"PM",2,"AM",19790925,"D5","F",NA,12,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"51",NA,"PL",2,"AM",19790925,"D7","F",NA,10.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"96",NA,"NI",2,"AM",19790925,"D9","M",NA,12,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"56",NA,"TS",2,"AM",19790925,"D9","F",NA,90,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"17-FR2",NA,"PM",2,"AM",19790925,"E2","F",NA,20.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"17",NA,"PM",2,"PM",19790925,"E2","F",NA,20,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"FR1",NA,"SC",2,"PM",19790925,"E7","",TRUE,6.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"91",NA,"NI",2,"AM",19790925,"E8","M",NA,18.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"93",NA,"TS",2,"AM",19790925,"E8","M",NA,96,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"62",NA,"",2,"PM",19790925,"F10","M",NA,18.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"95-FL3",NA,"CG",2,"AM",19790925,"F10","M",NA,18.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"16",NA,"PM",2,"AM",19790925,"F3","M",NA,17.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"15-RR4",NA,"PM",2,"AM",19790925,"F9","M",NA,17,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"62",NA,"",2,"AM",19790925,"G10","M",NA,19,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"89",NA,"NI",2,"AM",19790925,"G3","F",NA,21.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"56",NA,"TS",2,"PM",19790925,"G7","F",NA,89.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"39",NA,"PM",2,"AM",19790925,"G9","F",NA,21.5,NA,FALSE,FALSE,FALSE,TRUE,TRUE,1979
"37-LR4",NA,"PM",2,"AM",19790925,"H7","F",NA,29,NA,FALSE,FALSE,TRUE,FALSE,TRUE,1979
"1",NA,"",2,"AM",19790925,"I6","",NA,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"1",NA,"DV",2,"AM",19790925,"I6","M",NA,2.2,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"82",NA,"TS",2,"PM",19790925,"I6","F",NA,64.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"36",NA,"PL",2,"AM",19790925,"J1","F",NA,21,NA,FALSE,FALSE,FALSE,FALSE,TRUE,1979
"109",NA,"TS",2,"PM",19790925,"J1","F",NA,96.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"38",NA,"PM",2,"AM",19790925,"J10","F",NA,16,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"41-FL3",NA,"PM",2,"AM",19790925,"J10","M",NA,17,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"33",NA,"PL",2,"AM",19790925,"J2","M",NA,17,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"87-FR4",NA,"PM",2,"AM",19790925,"J6","M",NA,19.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"14-RR2",NA,"CG",2,"AM",19790925,"J8","F",NA,24,NA,FALSE,FALSE,FALSE,TRUE,TRUE,1979
"FR1FL1",NA,"BB",2,"AM",19790926,"A1","M",NA,19.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"",NA,"TS",2,"PM",19790926,"A10","",NA,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"1",NA,"DV",2,"AM",19790926,"A3","M",NA,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"27",NA,"PM",2,"AM",19790926,"A3","F",NA,15,NA,FALSE,FALSE,FALSE,FALSE,TRUE,1979
"99",NA,"PM",2,"PM",19790926,"A4","F",NA,9.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"115",NA,"ZH",2,"AM",19790926,"A7","M",NA,12.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
"108",NA,"PL",2,"AM",19790926,"A9","M",NA,7.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1979
