"fit","upr","lwr"
0.628275886464418,0.791845122086295,0.458746696223335
0.648894545127155,0.808428659868005,0.478688815180119
0.760782061061547,0.908630990475731,0.600572173676623
0.769935007024662,0.915426858615671,0.620658541531399
0.757010795082216,0.905716237748435,0.619980878166681
0.764550128662079,0.903530141239506,0.618160873141517
0.755187241087977,0.889319906680643,0.616150088773687
0.734062202237639,0.887560029937735,0.594005517192665
0.740185531802912,0.886395366052449,0.585820003739386
0.756214067740914,0.90227864704594,0.612783673577167
0.756149938937671,0.902068645239195,0.618968802885112
0.733924383615281,0.879446824535698,0.601799282912652
0.758503130270027,0.90226103687529,0.617417623652821
0.759287394002879,0.906295522312186,0.610389891432502
0.768948573281337,0.903944474820459,0.62077377328414
0.757491114068728,0.892104885894151,0.615396461618632
