"datasetID","site","numTrans33","numTrans25","numTrans10","numCore","n","perTrans33","perTrans25","perTrans10","meanOcc"
210,"1_A_18",22,18,13,1,23,0.956521739130435,0.782608695652174,0.565217391304348,0.16304347826087
210,"1_A_19",24,24,15,2,27,0.888888888888889,0.888888888888889,0.555555555555556,0.166666666666667
210,"1_A_2",31,28,18,2,37,0.837837837837838,0.756756756756757,0.486486486486487,0.20045045045045
210,"1_A_20",26,21,14,2,32,0.8125,0.65625,0.4375,0.229166666666667
210,"1_A_21",19,17,12,2,22,0.863636363636364,0.772727272727273,0.545454545454545,0.202651515151515
210,"1_A_22",29,26,10,3,36,0.805555555555556,0.722222222222222,0.277777777777778,0.243055555555556
210,"1_A_23",24,23,11,2,29,0.827586206896552,0.793103448275862,0.379310344827586,0.208333333333333
210,"1_A_24",28,27,16,2,31,0.903225806451613,0.870967741935484,0.516129032258065,0.182795698924731
210,"1_A_25",21,20,12,2,23,0.91304347826087,0.869565217391304,0.521739130434783,0.173913043478261
210,"1_A_26",22,19,13,2,26,0.846153846153846,0.730769230769231,0.5,0.201923076923077
210,"1_A_27",20,17,9,2,28,0.714285714285714,0.607142857142857,0.321428571428571,0.261904761904762
210,"1_A_28",27,25,16,2,29,0.931034482758621,0.862068965517241,0.551724137931034,0.166666666666667
210,"1_A_29",31,29,17,2,33,0.939393939393939,0.878787878787879,0.515151515151515,0.179292929292929
210,"1_A_3",27,25,14,1,33,0.818181818181818,0.757575757575758,0.424242424242424,0.198232323232323
210,"1_A_30",33,31,19,2,36,0.916666666666667,0.861111111111111,0.527777777777778,0.178240740740741
210,"1_A_31",23,22,14,2,27,0.851851851851852,0.814814814814815,0.518518518518518,0.189814814814815
210,"1_A_32",24,23,14,2,26,0.923076923076923,0.884615384615385,0.538461538461538,0.163461538461539
210,"1_A_33",29,28,14,4,38,0.763157894736842,0.736842105263158,0.368421052631579,0.244517543859649
210,"1_A_34",23,21,14,1,26,0.884615384615385,0.807692307692308,0.538461538461538,0.189102564102564
210,"1_A_35",27,22,14,2,31,0.870967741935484,0.709677419354839,0.451612903225806,0.204301075268817
210,"1_A_36",25,23,19,1,27,0.925925925925926,0.851851851851852,0.703703703703704,0.149691358024691
