SPECIES,CODE,GROWTH,SPPTYPE,YEAR,SEASON,PLOT,QUAD,COVER,COMMENTS
Astragalus missouriensis,ASMIM,P,H,2004,1,1BF,54,2,NA
Hoffmannseggia glauca,HOGL2,P,H,2004,1,1BF,54,15,NA
Chamaesyce albomarginata,CHAL11,P,H,2004,1,1BF,56,5,NA
Hoffmannseggia glauca,HOGL2,P,H,2004,1,1BF,58,1,NA
Chamaesyce albomarginata,CHAL11,P,H,2004,1,1BF,58,5,NA
Astragalus missouriensis,ASMIM,P,H,2004,1,1BF,60,1,NA
Cryptantha crassisepala,CRCR3,A,H,2004,1,1BF,60,1,NA
Lesquerella fendleri,LEFE,P,H,2004,1,1BF,60,1,NA
Sphaeralcea leptophylla,SPLE,P,H,2004,1,1BF,60,1,NA
Lesquerella fendleri,LEFE,P,H,2004,1,1BF,66,1,NA
Sphaeralcea wrightii,SPWR,P,H,2004,1,1BF,66,3,NA
Cryptantha crassisepala,CRCR3,A,H,2004,1,1BF,66,5,NA
Gutierrezia sarothrae,GUSA2,P,S,2004,1,1BF,66,5,NA
Linum puberulum,LIPU4,A,H,2004,1,1BF,68,1,NA
Lesquerella fendleri,LEFE,P,H,2004,1,1BF,68,2,NA
Plantago patagonica,PLPA2,A,H,2004,1,1BF,68,2,NA
Gutierrezia sarothrae,GUSA2,P,S,2004,1,1BF,68,5,NA
Astragalus missouriensis,ASMIM,P,H,2004,1,1BF,70,1,NA
Sphaeralcea leptophylla,SPLE,P,H,2004,1,1BF,70,3,NA
Lappula occidentalis var. occidentalis,LAOCO,A,H,2004,1,1BF,70,5,NA
Lesquerella fendleri,LEFE,P,H,2004,1,1BF,70,10,NA
Selinocarpus diffusus,SEDI3,P,H,2004,1,1BF,72,1,O. SETI
Sphaeralcea leptophylla,SPLE,P,H,2004,1,1BF,72,5,NA
Chamaesyce albomarginata,CHAL11,P,H,2004,1,1BF,72,10,NA
Lesquerella fendleri,LEFE,P,H,2004,1,1BF,72,10,NA
Lesquerella fendleri,LEFE,P,H,2004,1,1BF,78,1,NA
Hoffmannseggia glauca,HOGL2,P,H,2004,1,1BF,78,3,NA
Sphaeralcea leptophylla,SPLE,P,H,2004,1,1BF,78,10,NA
Hoffmannseggia glauca,HOGL2,P,H,2004,1,1BF,80,5,NA
Astragalus missouriensis,ASMIM,P,H,2004,1,1BF,82,2,NA
Lesquerella fendleri,LEFE,P,H,2004,1,1BF,82,2,NA
Chamaesyce lata,CHLA10,A,H,2004,1,1BF,84,3,DATASHEET HAS CHAL2
Cryptantha crassisepala,CRCR3,A,H,2004,1,1BF,84,3,NA
Phacelia integrifolia,PHIN,A,H,2004,1,1BF,84,5,NA
Lesquerella fendleri,LEFE,P,H,2004,1,1BF,90,5,NA
Sphaeralcea hastulata,SPHA,P,H,2004,1,1BF,92,5,NA
Lesquerella fendleri,LEFE,P,H,2004,1,1BF,94,2,NA
Sphaeralcea hastulata,SPHA,P,H,2004,1,1BF,96,1,NA
Sphaeralcea leptophylla,SPLE,P,H,2004,1,1BF,96,3,NA
Cryptantha crassisepala,CRCR3,A,H,2004,1,1BF,102,1,NA
Oenothera caespitosa,OECAC2,P,H,2004,1,1BF,104,1,NA
Selinocarpus diffusus,SEDI3,P,H,2004,1,1BF,104,2,NA
Hoffmannseggia glauca,HOGL2,P,H,2004,1,1BF,104,4,NA
Astragalus missouriensis,ASMIM,P,H,2004,1,1BF,106,2,NA
Lesquerella fendleri,LEFE,P,H,2004,1,1BF,106,2,NA
Sphaeralcea leptophylla,SPLE,P,H,2004,1,1BF,108,2,NA
Hoffmannseggia glauca,HOGL2,P,H,2004,1,1BF,108,4,NA
Astragalus missouriensis,ASMIM,P,H,2004,1,1BF,114,1,NA
Machaeranthera pinnatifida,MAPIP,P,H,2004,1,1BF,114,1,NA
Lesquerella fendleri,LEFE,P,H,2004,1,1BF,114,2,NA
Ipomopsis pumila,IPPU4,A,H,2004,1,1BF,114,3,NA
Solanum elaeagnifolium,SOEL,P,H,2004,1,1BF,116,1,NA
Lesquerella fendleri,LEFE,P,H,2004,1,1BF,116,3,NA
Phacelia integrifolia,PHIN,A,H,2004,1,1BF,116,4,NA
Hoffmannseggia glauca,HOGL2,P,H,2004,1,1BF,116,8,NA
Astragalus missouriensis,ASMIM,P,H,2004,1,1BF,118,1,NA
Cryptantha crassisepala,CRCR3,A,H,2004,1,1BF,118,4,NA
Phacelia integrifolia,PHIN,A,H,2004,1,1BF,118,10,NA
Plantago patagonica,PLPA2,A,H,2004,1,1BF,118,10,NA
Astragalus missouriensis,ASMIM,P,H,2004,1,1BF,120,2,NA
Phacelia integrifolia,PHIN,A,H,2004,1,1BF,120,4,NA
Hoffmannseggia glauca,HOGL2,P,H,2004,1,1BF,120,10,NA
Ipomopsis pumila,IPPU4,A,H,2004,1,1BF,126,1,NA
Sphaeralcea leptophylla,SPLE,P,H,2004,1,1BF,126,1,NA
Astragalus missouriensis,ASMIM,P,H,2004,1,1BF,126,2,NA
Lesquerella fendleri,LEFE,P,H,2004,1,1BF,128,2,NA
Hoffmannseggia glauca,HOGL2,P,H,2004,1,1BF,128,25,NA
Astragalus missouriensis,ASMIM,P,H,2004,1,1BF,130,1,NA
Lesquerella fendleri,LEFE,P,H,2004,1,1BF,130,4,NA
Hoffmannseggia glauca,HOGL2,P,H,2004,1,1BF,132,1,NA
Lesquerella fendleri,LEFE,P,H,2004,1,1BF,132,10,NA
Plantago patagonica,PLPA2,A,H,2004,1,1BF,132,15,NA
Astragalus missouriensis,ASMIM,P,H,2004,1,1BF,138,2,NA
Lesquerella fendleri,LEFE,P,H,2004,1,1BF,138,2,NA
Linum puberulum,LIPU4,A,H,2004,1,1BF,140,2,NA
Astragalus missouriensis,ASMIM,P,H,2004,1,1BF,142,1,NA
Astragalus missouriensis,ASMIM,P,H,2004,1,1BF,144,4,NA
Lesquerella fendleri,LEFE,P,H,2004,1,1BF,144,4,NA
Hoffmannseggia glauca,HOGL2,P,H,2004,1,1BF,144,10,NA
Sphaeralcea leptophylla,SPLE,P,H,2004,1,1BF,144,10,O. APL
Sphaeralcea leptophylla,SPLE,P,H,2004,1,1BO,6,1,NA
Chamaesyce lata,CHLA10,A,H,2004,1,1BO,6,10,NA
Lesquerella fendleri,LEFE,P,H,2004,1,1BO,8,1,O. Cover 0.5
Oenothera caespitosa,OECAC2,P,H,2004,1,1BO,8,1,O. Cover 0.5
Bahia absentifolia var. absentifolia,BAABA,P,H,2004,1,1BO,10,1,NA
Phacelia integrifolia,PHIN,A,H,2004,1,1BO,10,2,NA
Chamaesyce lata,CHLA10,A,H,2004,1,1BO,10,6,NA
Lesquerella fendleri,LEFE,P,H,2004,1,1BO,12,4,NA
Plantago patagonica,PLPA2,A,H,2004,1,1BO,12,5,NA
Astragalus missouriensis,ASMIM,P,H,2004,1,1BO,18,1,NA
Oenothera caespitosa,OECAC2,P,H,2004,1,1BO,18,1,NA
Houstonia rubra,HORU,P,H,2004,1,1BO,18,3,NA
Lesquerella fendleri,LEFE,P,H,2004,1,1BO,18,8,NA
Lesquerella fendleri,LEFE,P,H,2004,1,1BO,20,4,NA
Cryptantha crassisepala,CRCR3,A,H,2004,1,1BO,22,1,O. Cover 0.5
Lappula occidentalis var. occidentalis,LAOCO,A,H,2004,1,1BO,22,4,O. LARE?
Phacelia integrifolia,PHIN,A,H,2004,1,1BO,22,6,NA
Sphaeralcea wrightii,SPWR,P,H,2004,1,1BO,22,12,NA
Lesquerella fendleri,LEFE,P,H,2004,1,1BO,24,1,NA
Hoffmannseggia glauca,HOGL2,P,H,2004,1,1BO,24,2,NA
Cryptantha crassisepala,CRCR3,A,H,2004,1,1BO,30,3,NA
Astragalus missouriensis,ASMIM,P,H,2004,1,1BO,32,1,NA
Lesquerella fendleri,LEFE,P,H,2004,1,1BO,32,1,NA
Phacelia integrifolia,PHIN,A,H,2004,1,1BO,32,1,NA
Descurainia pinnata,DEPI,A,H,2004,1,1BO,32,2,NA
Salsola tragus,SATR12,A,H,2004,1,1BO,32,2,NA
Sphaeralcea wrightii,SPWR,P,H,2004,1,1BO,32,4,NA
Cryptantha crassisepala,CRCR3,A,H,2004,1,1BO,32,9,NA
Chamaesyce lata,CHLA10,A,H,2004,1,1BO,34,2,NA
Astragalus missouriensis,ASMIM,P,H,2004,1,1BO,34,7,NA
Phacelia integrifolia,PHIN,A,H,2004,1,1BO,34,7,NA
Plantago patagonica,PLPA2,A,H,2004,1,1BO,36,1,NA
Chamaesyce lata,CHLA10,A,H,2004,1,1BO,36,4,NA
Chamaesyce lata,CHLA10,A,H,2004,1,1BO,42,1,NA
Lesquerella fendleri,LEFE,P,H,2004,1,1BO,42,2,NA
Lesquerella fendleri,LEFE,P,H,2004,1,1BO,44,4,NA
No vegetation,NONE,NA,NA,2004,1,1BO,46,0,NA
Lesquerella fendleri,LEFE,P,H,2004,1,1BO,48,1,NA
Plantago patagonica,PLPA2,A,H,2004,1,1BO,48,15,NA
Chamaesyce lata,CHLA10,A,H,2004,1,1BO,54,1,NA
Cryptantha crassisepala,CRCR3,A,H,2004,1,1BO,54,1,NA
Hoffmannseggia glauca,HOGL2,P,H,2004,1,1BO,54,3,NA
Lesquerella fendleri,LEFE,P,H,2004,1,1BO,54,5,NA
Linum puberulum,LIPU4,A,H,2004,1,1BO,56,2,NA
Plantago patagonica,PLPA2,A,H,2004,1,1BO,56,2,NA
Lesquerella fendleri,LEFE,P,H,2004,1,1BO,56,3,NA
Salsola tragus,SATR12,A,H,2004,1,1BO,56,4,NA
Gutierrezia sarothrae,GUSA2,P,S,2004,1,1BO,56,5,NA
Chamaesyce lata,CHLA10,A,H,2004,1,1BO,58,1,NA
Astragalus missouriensis,ASMIM,P,H,2004,1,1BO,58,4,NA
Astragalus missouriensis,ASMIM,P,H,2004,1,1BO,60,1,NA
Lesquerella fendleri,LEFE,P,H,2004,1,1BO,60,2,NA
Phacelia integrifolia,PHIN,A,H,2004,1,1BO,60,2,NA
Chamaesyce lata,CHLA10,A,H,2004,1,1BO,60,9,NA
Astragalus missouriensis,ASMIM,P,H,2004,1,1BO,66,1,NA
Lesquerella fendleri,LEFE,P,H,2004,1,1BO,66,9,NA
Lesquerella fendleri,LEFE,P,H,2004,1,1BO,68,3,NA
Phacelia integrifolia,PHIN,A,H,2004,1,1BO,68,5,NA
Sphaeralcea hastulata,SPHA,P,H,2004,1,1BO,68,6,NA
Hoffmannseggia glauca,HOGL2,P,H,2004,1,1BO,70,4,NA
Chamaesyce lata,CHLA10,A,H,2004,1,1BO,70,12,NA
Lesquerella fendleri,LEFE,P,H,2004,1,1BO,72,1,NA
Plantago patagonica,PLPA2,A,H,2004,1,1BO,72,1,NA
Chamaesyce lata,CHLA10,A,H,2004,1,1BO,78,1,NA
Lesquerella fendleri,LEFE,P,H,2004,1,1BO,78,14,NA
Lesquerella fendleri,LEFE,P,H,2004,1,1BO,80,1,NA
Chamaesyce lata,CHLA10,A,H,2004,1,1BO,80,12,NA
Astragalus missouriensis,ASMIM,P,H,2004,1,1BO,82,5,NA
Lesquerella fendleri,LEFE,P,H,2004,1,1BO,84,1,O. Cover 0.5
Astragalus missouriensis,ASMIM,P,H,2004,1,1BO,90,1,NA
Chamaesyce lata,CHLA10,A,H,2004,1,1BO,90,5,NA
Lesquerella fendleri,LEFE,P,H,2004,1,1BO,90,9,NA
Plantago patagonica,PLPA2,A,H,2004,1,1BO,92,1,O. Cover 0.5
Plantago patagonica,PLPA2,A,H,2004,1,1BO,94,1,O. Cover 0.5
Selinocarpus diffusus,SEDI3,P,H,2004,1,1BO,94,1,NA
Plantago patagonica,PLPA2,A,H,2004,1,1BO,96,2,NA
Lesquerella fendleri,LEFE,P,H,2004,1,1BO,96,10,NA
Lesquerella fendleri,LEFE,P,H,2004,1,1BO,102,2,NA
Hoffmannseggia glauca,HOGL2,P,H,2004,1,1BO,104,1,NA
Lesquerella fendleri,LEFE,P,H,2004,1,1BO,104,1,NA
Allionia incarnata,ALIN,P,H,2004,1,1BO,104,2,NA
Plantago patagonica,PLPA2,A,H,2004,1,1BO,106,1,NA
Hoffmannseggia glauca,HOGL2,P,H,2004,1,1BO,106,4,NA
Astragalus missouriensis,ASMIM,P,H,2004,1,1BO,106,5,NA
Sphaeralcea leptophylla,SPLE,P,H,2004,1,1BO,106,20,NA
Zinnia grandiflora,ZIGR,P,H,2004,1,1BO,108,1,NA
Plantago patagonica,PLPA2,A,H,2004,1,1BO,108,2,NA
Lesquerella fendleri,LEFE,P,H,2004,1,1BO,108,4,NA
Astragalus missouriensis,ASMIM,P,H,2004,1,1BO,114,1,O. Cover 0.5
Lesquerella fendleri,LEFE,P,H,2004,1,1BO,114,2,NA
Hoffmannseggia glauca,HOGL2,P,H,2004,1,1BO,114,6,NA
Chamaesyce lata,CHLA10,A,H,2004,1,1BO,114,9,NA
Oenothera caespitosa,OECAC2,P,H,2004,1,1BO,116,1,O. Cover 0.5
Plantago patagonica,PLPA2,A,H,2004,1,1BO,116,1,NA
Hoffmannseggia glauca,HOGL2,P,H,2004,1,1BO,116,2,NA
Linum puberulum,LIPU4,A,H,2004,1,1BO,116,2,NA
Sphaeralcea wrightii,SPWR,P,H,2004,1,1BO,116,5,NA
Plantago patagonica,PLPA2,A,H,2004,1,1BO,118,1,NA
Chamaesyce lata,CHLA10,A,H,2004,1,1BO,118,8,NA
Hoffmannseggia glauca,HOGL2,P,H,2004,1,1BO,120,1,NA
Lesquerella fendleri,LEFE,P,H,2004,1,1BO,120,1,NA
Plantago patagonica,PLPA2,A,H,2004,1,1BO,120,3,NA
Chamaesyce lata,CHLA10,A,H,2004,1,1BO,120,5,NA
Cryptantha crassisepala,CRCR3,A,H,2004,1,1BO,126,1,NA
Lesquerella fendleri,LEFE,P,H,2004,1,1BO,126,4,NA
Chamaesyce lata,CHLA10,A,H,2004,1,1BO,128,2,NA
Lesquerella fendleri,LEFE,P,H,2004,1,1BO,130,2,NA
Astragalus missouriensis,ASMIM,P,H,2004,1,1BO,132,1,O. Cover 0.5
Lesquerella fendleri,LEFE,P,H,2004,1,1BO,138,6,NA
Sphaeralcea hastulata,SPHA,P,H,2004,1,1BO,138,25,NA
Hoffmannseggia glauca,HOGL2,P,H,2004,1,1BO,140,1,NA
Lesquerella fendleri,LEFE,P,H,2004,1,1BO,140,2,NA
Chamaesyce lata,CHLA10,A,H,2004,1,1BO,140,4,NA
Astragalus missouriensis,ASMIM,P,H,2004,1,1BO,142,1,O. Cover 0.5
Chamaesyce lata,CHLA10,A,H,2004,1,1BO,142,1,NA
Cryptantha crassisepala,CRCR3,A,H,2004,1,1BO,142,2,NA
Lesquerella fendleri,LEFE,P,H,2004,1,1BO,142,6,NA
Hoffmannseggia glauca,HOGL2,P,H,2004,1,1BO,144,1,NA
Chamaesyce lata,CHLA10,A,H,2004,1,1BO,144,2,NA
Hoffmannseggia glauca,HOGL2,P,H,2004,1,1CF,6,1,NA
Lesquerella fendleri,LEFE,P,H,2004,1,1CF,6,15,NA
Plantago patagonica,PLPA2,A,H,2004,1,1CF,8,4,NA
Sphaeralcea leptophylla,SPLE,P,H,2004,1,1CF,8,5,NA
Lesquerella fendleri,LEFE,P,H,2004,1,1CF,8,15,NA
Lesquerella fendleri,LEFE,P,H,2004,1,1CF,10,1,NA
Cryptantha crassisepala,CRCR3,A,H,2004,1,1CF,10,2,NA
Hoffmannseggia glauca,HOGL2,P,H,2004,1,1CF,10,4,NA
Plantago patagonica,PLPA2,A,H,2004,1,1CF,10,4,NA
Astragalus missouriensis,ASMIM,P,H,2004,1,1CF,12,1,NA
Lesquerella fendleri,LEFE,P,H,2004,1,1CF,12,1,NA
Plantago patagonica,PLPA2,A,H,2004,1,1CF,12,2,NA
Selinocarpus diffusus,SEDI3,P,H,2004,1,1CF,18,2,NA
Lesquerella fendleri,LEFE,P,H,2004,1,1CF,20,1,NA
Hoffmannseggia glauca,HOGL2,P,H,2004,1,1CF,20,4,NA
Plantago patagonica,PLPA2,A,H,2004,1,1CF,20,4,NA
Astragalus missouriensis,ASMIM,P,H,2004,1,1CF,22,1,NA
Plantago patagonica,PLPA2,A,H,2004,1,1CF,22,1,NA
Selinocarpus diffusus,SEDI3,P,H,2004,1,1CF,22,4,NA
Hoffmannseggia glauca,HOGL2,P,H,2004,1,1CF,22,6,NA
Plantago patagonica,PLPA2,A,H,2004,1,1CF,24,1,NA
Hoffmannseggia glauca,HOGL2,P,H,2004,1,1CF,24,7,NA
Plantago patagonica,PLPA2,A,H,2004,1,1CF,30,2,NA
Hoffmannseggia glauca,HOGL2,P,H,2004,1,1CF,30,8,NA
Astragalus missouriensis,ASMIM,P,H,2004,1,1CF,32,1,NA
Lesquerella fendleri,LEFE,P,H,2004,1,1CF,32,8,NA
Plantago patagonica,PLPA2,A,H,2004,1,1CF,32,10,NA
Astragalus missouriensis,ASMIM,P,H,2004,1,1CF,34,1,NA
Plantago patagonica,PLPA2,A,H,2004,1,1CF,34,1,NA
Hoffmannseggia glauca,HOGL2,P,H,2004,1,1CF,34,2,NA
Lesquerella fendleri,LEFE,P,H,2004,1,1CF,34,2,NA
Hoffmannseggia glauca,HOGL2,P,H,2004,1,1CF,36,3,NA
Plantago patagonica,PLPA2,A,H,2004,1,1CF,36,3,NA
Astragalus missouriensis,ASMIM,P,H,2004,1,1CF,42,1,NA
Plantago patagonica,PLPA2,A,H,2004,1,1CF,42,1,NA
Hoffmannseggia glauca,HOGL2,P,H,2004,1,1CF,42,13,NA
Plantago patagonica,PLPA2,A,H,2004,1,1CF,44,1,NA
Hoffmannseggia glauca,HOGL2,P,H,2004,1,1CF,44,7,NA
Astragalus missouriensis,ASMIM,P,H,2004,1,1CF,46,1,NA
Lesquerella fendleri,LEFE,P,H,2004,1,1CF,46,1,NA
Plantago patagonica,PLPA2,A,H,2004,1,1CF,46,1,NA
Machaeranthera pinnatifida,MAPIP,P,H,2004,1,1CF,46,3,NA
Hoffmannseggia glauca,HOGL2,P,H,2004,1,1CF,46,4,NA
Sphaeralcea hastulata,SPHA,P,H,2004,1,1CF,48,50,NA
Hoffmannseggia glauca,HOGL2,P,H,2004,1,1CF,54,1,NA
Lesquerella fendleri,LEFE,P,H,2004,1,1CF,54,1,NA
Cryptantha crassisepala,CRCR3,A,H,2004,1,1CF,54,4,NA
Plantago patagonica,PLPA2,A,H,2004,1,1CF,54,5,NA
Astragalus missouriensis,ASMIM,P,H,2004,1,1CF,56,1,NA
Hoffmannseggia glauca,HOGL2,P,H,2004,1,1CF,56,3,NA
Hoffmannseggia glauca,HOGL2,P,H,2004,1,1CF,58,2,NA
Lesquerella fendleri,LEFE,P,H,2004,1,1CF,58,2,NA
Astragalus missouriensis,ASMIM,P,H,2004,1,1CF,58,3,NA
Cryptantha crassisepala,CRCR3,A,H,2004,1,1CF,58,6,NA
Phacelia integrifolia,PHIN,A,H,2004,1,1CF,58,10,NA
Astragalus missouriensis,ASMIM,P,H,2004,1,1CF,60,1,NA
Hoffmannseggia glauca,HOGL2,P,H,2004,1,1CF,60,10,NA
Sphaeralcea leptophylla,SPLE,P,H,2004,1,1CF,60,20,NA
Astragalus missouriensis,ASMIM,P,H,2004,1,1CF,66,1,NA
Hoffmannseggia glauca,HOGL2,P,H,2004,1,1CF,66,3,NA
Plantago patagonica,PLPA2,A,H,2004,1,1CF,66,5,NA
Hoffmannseggia glauca,HOGL2,P,H,2004,1,1CF,68,4,NA
Lesquerella fendleri,LEFE,P,H,2004,1,1CF,68,5,NA
Sphaeralcea leptophylla,SPLE,P,H,2004,1,1CF,68,6,NA
Astragalus missouriensis,ASMIM,P,H,2004,1,1CF,70,1,O. Cover 0.5
Lesquerella fendleri,LEFE,P,H,2004,1,1CF,70,2,O. Cover 1.5
Cryptantha crassisepala,CRCR3,A,H,2004,1,1CF,72,1,NA
Phacelia integrifolia,PHIN,A,H,2004,1,1CF,72,1,O. Cover 0.5
Plantago patagonica,PLPA2,A,H,2004,1,1CF,72,2,NA
Lesquerella fendleri,LEFE,P,H,2004,1,1CF,72,6,NA
Astragalus missouriensis,ASMIM,P,H,2004,1,1CF,78,1,NA
Phacelia integrifolia,PHIN,A,H,2004,1,1CF,78,1,NA
Plantago patagonica,PLPA2,A,H,2004,1,1CF,78,1,NA
Lesquerella fendleri,LEFE,P,H,2004,1,1CF,78,5,NA
Gutierrezia sarothrae,GUSA2,P,S,2004,1,1CF,78,10,NA
Chaetopappa ericoides,CHER2,P,H,2004,1,1CF,80,2,NA
Lesquerella fendleri,LEFE,P,H,2004,1,1CF,80,2,NA
Plantago patagonica,PLPA2,A,H,2004,1,1CF,80,5,NA
Plantago patagonica,PLPA2,A,H,2004,1,1CF,82,3,NA
No vegetation,NONE,NA,NA,2004,1,1CF,84,0,NA
Cryptantha crassisepala,CRCR3,A,H,2004,1,1CF,90,1,NA
Phacelia integrifolia,PHIN,A,H,2004,1,1CF,90,1,NA
Plantago patagonica,PLPA2,A,H,2004,1,1CF,90,2,NA
Astragalus missouriensis,ASMIM,P,H,2004,1,1CF,92,1,NA
Linum puberulum,LIPU4,A,H,2004,1,1CF,92,1,NA
Plantago patagonica,PLPA2,A,H,2004,1,1CF,92,1,NA
Hoffmannseggia glauca,HOGL2,P,H,2004,1,1CF,94,2,NA
Hoffmannseggia glauca,HOGL2,P,H,2004,1,1CF,96,5,NA
Plantago patagonica,PLPA2,A,H,2004,1,1CF,96,8,NA
Astragalus missouriensis,ASMIM,P,H,2004,1,1CF,102,1,NA
Plantago patagonica,PLPA2,A,H,2004,1,1CF,102,1,NA
Selinocarpus diffusus,SEDI3,P,H,2004,1,1CF,102,1,NA
Cryptantha crassisepala,CRCR3,A,H,2004,1,1CF,102,2,NA
Hoffmannseggia glauca,HOGL2,P,H,2004,1,1CF,102,9,NA
Oenothera caespitosa,OECAC2,P,H,2004,1,1CF,104,1,O. Cover 0.5
Hoffmannseggia glauca,HOGL2,P,H,2004,1,1CF,104,3,NA
Lesquerella fendleri,LEFE,P,H,2004,1,1CF,104,3,NA
Hoffmannseggia glauca,HOGL2,P,H,2004,1,1CF,106,1,O. Cover 0.5
Astragalus missouriensis,ASMIM,P,H,2004,1,1CF,108,0.1,NA
Selinocarpus diffusus,SEDI3,P,H,2004,1,1CF,108,3,NA
Lesquerella fendleri,LEFE,P,H,2004,1,1CF,108,6,NA
Selinocarpus diffusus,SEDI3,P,H,2004,1,1CF,114,1,NA
Hoffmannseggia glauca,HOGL2,P,H,2004,1,1CF,114,5,NA
Lesquerella fendleri,LEFE,P,H,2004,1,1CF,114,5,NA
Plantago patagonica,PLPA2,A,H,2004,1,1CF,114,9,NA
Hoffmannseggia glauca,HOGL2,P,H,2004,1,1CF,116,1,O. Cover 0.5
Lesquerella fendleri,LEFE,P,H,2004,1,1CF,116,1,NA
Oenothera caespitosa,OECAC2,P,H,2004,1,1CF,116,1,O. Cover 0.5
Plantago patagonica,PLPA2,A,H,2004,1,1CF,116,2,NA
Plantago patagonica,PLPA2,A,H,2004,1,1CF,118,3,NA
Cryptantha crassisepala,CRCR3,A,H,2004,1,1CF,120,1,NA
Plantago patagonica,PLPA2,A,H,2004,1,1CF,120,2,NA
Hoffmannseggia glauca,HOGL2,P,H,2004,1,1CF,126,2,NA
Phacelia integrifolia,PHIN,A,H,2004,1,1CF,126,2,NA
Plantago patagonica,PLPA2,A,H,2004,1,1CF,126,2,NA
Lesquerella fendleri,LEFE,P,H,2004,1,1CF,126,7,NA
Sphaeralcea leptophylla,SPLE,P,H,2004,1,1CF,126,10,NA
Lesquerella fendleri,LEFE,P,H,2004,1,1CF,128,1,NA
Cryptantha crassisepala,CRCR3,A,H,2004,1,1CF,128,2,NA
Plantago patagonica,PLPA2,A,H,2004,1,1CF,128,5,NA
Gutierrezia sarothrae,GUSA2,P,S,2004,1,1CF,128,10,NA
Cryptantha crassisepala,CRCR3,A,H,2004,1,1CF,130,1,NA
Descurainia pinnata,DEPI,A,H,2004,1,1CF,130,5,NA
Sphaeralcea wrightii,SPWR,P,H,2004,1,1CF,130,5,NA
Machaeranthera pinnatifida,MAPIP,P,H,2004,1,1CF,130,20,NA
Astragalus missouriensis,ASMIM,P,H,2004,1,1CF,132,3,NA
Plantago patagonica,PLPA2,A,H,2004,1,1CF,132,10,NA
