studyName,EventNumber,DatetimeGMT,CruiseName,CountMinute,Species,Number,Linkages,Behavior,Direction,Notes
PD93-01,251,1/18/1993 13:52,9301,13,ADPE,1,0,5,,
PD93-01,251,1/18/1993 13:52,9301,16,SPSK,1,0,1,,HEADED INTO ANVERS
PD93-01,251,1/18/1993 13:52,9301,17,SPSK,1,0,2,,HEADED INTO ANVERS
PD93-01,251,1/18/1993 13:52,9301,19,SPSK,1,0,1,,HEADED INTO ANVERS
PD93-01,251,1/18/1993 13:52,9301,21,SPSK,1,0,1,,HEADED INTO ANVERS
PD93-01,251,1/18/1993 13:52,9301,25,GIPE,1,0,0,,
PD93-01,251,1/18/1993 13:52,9301,27,SPSK,1,0,0,,IN
PD93-01,251,1/18/1993 13:52,9301,28,WISP,1,0,1,,
PD93-01,251,1/18/1993 13:52,9301,29,WISP,2,0,1,,
PD93-01,251,1/18/1993 13:52,9301,29,WISP,2,0,1,,
PD93-01,255,1/18/1993 14:42,9301,1,SPSK,1,0,2,,
PD93-01,255,1/18/1993 14:42,9301,2,WISP,1,0,1,,
PD93-01,255,1/18/1993 14:42,9301,2,SPSK,1,0,1,,
PD93-01,255,1/18/1993 14:42,9301,2,SPSK,1,0,1,,
PD93-01,255,1/18/1993 14:42,9301,3,BBAL,2,0,2,,
PD93-01,255,1/18/1993 14:42,9301,10,BBAL,1,0,1,,
PD93-01,255,1/18/1993 14:42,9301,11,BBAL,2,0,1,,
PD93-01,255,1/18/1993 14:42,9301,12,WISP,1,0,1,,
PD93-01,255,1/18/1993 14:42,9301,13,BBAL,2,0,1,,
PD93-01,255,1/18/1993 14:42,9301,14,BBAL,3,0,1,,
PD93-01,255,1/18/1993 14:42,9301,16,LMSA,1,0,1,,
PD93-01,255,1/18/1993 14:42,9301,20,BBAL,2,0,2,,
PD93-01,255,1/18/1993 14:42,9301,20,BBAL,1,0,2,,
PD93-01,255,1/18/1993 14:42,9301,22,BBAL,2,0,1,,
PD93-01,255,1/18/1993 14:42,9301,23,GIPE,1,0,1,,WHITE PHASE
PD93-01,255,1/18/1993 14:42,9301,23,BBAL,1,0,1,,
PD93-01,255,1/18/1993 14:42,9301,24,WISP,1,0,1,,
PD93-01,255,1/18/1993 14:42,9301,25,HUWH,2,0,5,,HUMPBACK
PD93-01,255,1/18/1993 14:42,9301,25,BBAL,1,0,1,,
PD93-01,255,1/18/1993 14:42,9301,26,SPSK,1,0,1,,
PD93-01,255,1/18/1993 14:42,9301,29,BBAL,1,0,1,,
PD93-01,255,1/18/1993 14:42,9301,29,SPSK,1,0,1,,
PD93-01,255,1/18/1993 14:42,9301,29,BBAL,2,0,1,,
PD93-01,255,1/18/1993 14:42,9301,30,BBAL,1,0,0,,STERN - SNOWING
PD93-01,258,1/18/1993 15:37,9301,1,SPSK,1,0,1,,
PD93-01,258,1/18/1993 15:37,9301,3,GHAL,1,0,1,,
PD93-01,258,1/18/1993 15:37,9301,11,BBAL,1,0,1,,
PD93-01,258,1/18/1993 15:37,9301,13,BBAL,1,0,1,,
PD93-01,258,1/18/1993 15:37,9301,13,WISP,1,0,1,,
PD93-01,258,1/18/1993 15:37,9301,17,CAPE,1,0,1,,
PD93-01,258,1/18/1993 15:37,9301,18,SOFU,1,0,1,,
PD93-01,258,1/18/1993 15:37,9301,20,GEPE,2,0,5,,
PD93-01,258,1/18/1993 15:37,9301,20,CAPE,1,0,1,,
PD93-01,258,1/18/1993 15:37,9301,23,BBAL,1,0,1,,
PD93-01,258,1/18/1993 15:37,9301,23,LMSA,1,0,1,,
PD93-01,258,1/18/1993 15:37,9301,24,GIPE,1,0,1,,
PD93-01,258,1/18/1993 15:37,9301,29,BBAL,1,0,1,,
PD93-01,262,1/18/1993 16:32,9301,1,WISP,1,0,1,,
PD93-01,262,1/18/1993 16:32,9301,1,BBAL,1,0,1,,
PD93-01,262,1/18/1993 16:32,9301,2,BBAL,1,0,1,,
PD93-01,262,1/18/1993 16:32,9301,2,GEPE,6,0,5,,
PD93-01,262,1/18/1993 16:32,9301,3,BBAL,1,0,1,,
PD93-01,262,1/18/1993 16:32,9301,3,WISP,2,0,1,,
PD93-01,262,1/18/1993 16:32,9301,4,BBAL,1,0,1,,
PD93-01,262,1/18/1993 16:32,9301,5,ANTE,2,0,1,,
PD93-01,262,1/18/1993 16:32,9301,6,WISP,2,0,1,,
PD93-01,262,1/18/1993 16:32,9301,7,BBAL,1,0,1,,
PD93-01,262,1/18/1993 16:32,9301,8,WISP,1,0,1,,
PD93-01,262,1/18/1993 16:32,9301,9,WISP,2,0,1,,
PD93-01,262,1/18/1993 16:32,9301,10,BBAL,1,0,1,,
PD93-01,262,1/18/1993 16:32,9301,10,SOFU,1,0,1,,
PD93-01,262,1/18/1993 16:32,9301,11,WISP,1,0,1,,
PD93-01,262,1/18/1993 16:32,9301,11,BBAL,1,0,1,,
PD93-01,262,1/18/1993 16:32,9301,15,BBAL,1,0,1,,
PD93-01,262,1/18/1993 16:32,9301,15,CAPE,1,0,1,,
PD93-01,262,1/18/1993 16:32,9301,16,BBAL,1,0,1,,
PD93-01,262,1/18/1993 16:32,9301,18,BBAL,2,0,1,,
PD93-01,262,1/18/1993 16:32,9301,21,BBAL,1,0,1,,
PD93-01,262,1/18/1993 16:32,9301,22,GHAL,1,0,2,,
PD93-01,262,1/18/1993 16:32,9301,22,BBAL,2,0,1,,
PD93-01,262,1/18/1993 16:32,9301,23,BBAL,2,0,1,,
PD93-01,262,1/18/1993 16:32,9301,25,BBAL,2,0,1,,
PD93-01,262,1/18/1993 16:32,9301,28,BBAL,2,0,1,,
PD93-01,266,1/18/1993 17:18,9301,3,BBAL,1,0,1,,
PD93-01,266,1/18/1993 17:18,9301,4,GIPE,1,0,1,,
PD93-01,266,1/18/1993 17:18,9301,5,BBAL,1,0,1,,
PD93-01,266,1/18/1993 17:18,9301,6,SPSK,1,0,1,,
PD93-01,266,1/18/1993 17:18,9301,7,WISP,1,0,1,,
PD93-01,266,1/18/1993 17:18,9301,10,WISP,1,0,1,,
PD93-01,266,1/18/1993 17:18,9301,12,WISP,1,0,1,,
PD93-01,266,1/18/1993 17:18,9301,13,SPSK,1,0,1,,
PD93-01,266,1/18/1993 17:18,9301,18,SPSK,1,0,6,,ON WATER
PD93-01,266,1/18/1993 17:18,9301,19,WISP,1,0,2,,PATTERING ON SURFACE
PD93-01,266,1/18/1993 17:18,9301,21,WISP,1,0,2,,
PD93-01,266,1/18/1993 17:18,9301,22,BBAL,1,0,2,,
PD93-01,266,1/18/1993 17:18,9301,23,WISP,1,0,6,,
PD93-01,266,1/18/1993 17:18,9301,23,WISP,1,0,1,,
PD93-01,266,1/18/1993 17:18,9301,24,GIPE,1,0,1,,
PD93-01,266,1/18/1993 17:18,9301,26,WISP,1,0,2,,
PD93-01,266,1/18/1993 17:18,9301,26,BBAL,1,0,1,,
PD93-01,266,1/18/1993 17:18,9301,28,WISP,1,0,1,,
PD93-01,266,1/18/1993 17:18,9301,29,BBAL,1,0,1,,
PD93-01,266,1/18/1993 17:18,9301,29,WISP,2,0,1,,
PD93-01,270,1/18/1993 18:05,9301,1,WISP,1,0,1,,
PD93-01,270,1/18/1993 18:05,9301,1,ANPR,1,0,1,,
PD93-01,270,1/18/1993 18:05,9301,4,WISP,2,0,6,,
PD93-01,270,1/18/1993 18:05,9301,6,BLPE,2,0,2,,
PD93-01,270,1/18/1993 18:05,9301,6,WISP,2,0,2,,
PD93-01,270,1/18/1993 18:05,9301,9,ANPR,1,0,2,,
PD93-01,270,1/18/1993 18:05,9301,10,WISP,2,0,2,,
PD93-01,270,1/18/1993 18:05,9301,12,BLPE,2,0,2,,
PD93-01,270,1/18/1993 18:05,9301,14,BLPE,1,0,2,,
PD93-01,270,1/18/1993 18:05,9301,14,GHAL,1,0,1,,
PD93-01,270,1/18/1993 18:05,9301,16,BBAL,1,0,1,,
PD93-01,270,1/18/1993 18:05,9301,18,BLPE,2,0,1,,
PD93-01,270,1/18/1993 18:05,9301,20,CAPE,1,0,1,,
PD93-01,270,1/18/1993 18:05,9301,22,WISP,2,0,2,,
PD93-01,270,1/18/1993 18:05,9301,23,WISP,1,0,1,,
PD93-01,270,1/18/1993 18:05,9301,24,BBAL,1,0,1,,
PD93-01,270,1/18/1993 18:05,9301,27,GIPE,1,0,1,,
PD93-01,270,1/18/1993 18:05,9301,30,CAPE,1,0,0,,STERN
PD93-01,274,1/18/1993 19:18,9301,1,GIPE,1,0,1,,
PD93-01,274,1/18/1993 19:18,9301,3,SOFU,1,0,2,,
PD93-01,274,1/18/1993 19:18,9301,3,CAPE,1,0,1,,
PD93-01,274,1/18/1993 19:18,9301,5,WISP,1,0,2,,
PD93-01,274,1/18/1993 19:18,9301,7,WISP,1,0,2,,
PD93-01,274,1/18/1993 19:18,9301,8,SOFU,1,0,2,,
PD93-01,274,1/18/1993 19:18,9301,10,WISP,1,0,2,,
PD93-01,274,1/18/1993 19:18,9301,14,WISP,1,0,1,,
PD93-01,274,1/18/1993 19:18,9301,18,ANPR,1,0,1,,
PD93-01,274,1/18/1993 19:18,9301,19,BBSP,1,0,2,,
PD93-01,274,1/18/1993 19:18,9301,22,SOFU,1,0,1,,
PD93-01,274,1/18/1993 19:18,9301,26,WISP,2,0,1,,
PD93-01,274,1/18/1993 19:18,9301,30,BBAL,1,0,0,,STERN
PD93-01,278,1/18/1993 20:11,9301,0,CAPE,3,0,0,,STERN
PD93-01,278,1/18/1993 20:11,9301,1,BBSP,1,0,6,,
PD93-01,278,1/18/1993 20:11,9301,1,BBAL,1,0,1,,
PD93-01,278,1/18/1993 20:11,9301,3,BLPE,2,0,2,,
PD93-01,278,1/18/1993 20:11,9301,5,CAPE,2,0,1,,
PD93-01,278,1/18/1993 20:11,9301,7,BLPE,2,0,2,,
PD93-01,278,1/18/1993 20:11,9301,8,CAPE,20,0,3,,
PD93-01,278,1/18/1993 20:11,9301,15,GIPE,1,0,1,,
PD93-01,278,1/18/1993 20:11,9301,20,BBAL,1,0,2,,
PD93-01,278,1/18/1993 20:11,9301,21,WISP,1,0,2,,
PD93-01,278,1/18/1993 20:11,9301,22,BLPE,1,0,2,,
PD93-01,278,1/18/1993 20:11,9301,26,WISP,1,0,2,,
PD93-01,278,1/18/1993 20:11,9301,27,BBAL,1,0,1,,
PD93-01,278,1/18/1993 20:11,9301,28,WISP,1,0,2,,
PD93-01,278,1/18/1993 20:11,9301,30,GIPE,1,0,0,,
PD93-01,278,1/18/1993 20:11,9301,30,WISP,1,0,0,,
PD93-01,278,1/18/1993 20:11,9301,30,CAPE,2,0,0,,
PD93-01,282,1/18/1993 20:56,9301,0,CAPE,2,0,0,,STERN
PD93-01,282,1/18/1993 20:56,9301,1,GIPE,1,0,2,,
PD93-01,282,1/18/1993 20:56,9301,1,BBAL,3,0,2,,
PD93-01,282,1/18/1993 20:56,9301,1,CAPE,18,0,3,,
PD93-01,282,1/18/1993 20:56,9301,2,BBAL,1,0,1,,
PD93-01,282,1/18/1993 20:56,9301,3,WISP,1,0,2,,
PD93-01,282,1/18/1993 20:56,9301,4,GIPE,1,0,1,,
PD93-01,282,1/18/1993 20:56,9301,6,WISP,1,0,6,,
PD93-01,282,1/18/1993 20:56,9301,9,BBAL,1,0,1,,
PD93-01,282,1/18/1993 20:56,9301,10,BLPE,1,0,1,,
PD93-01,282,1/18/1993 20:56,9301,11,BBAL,1,0,2,,
PD93-01,282,1/18/1993 20:56,9301,14,BBAL,1,0,1,,
PD93-01,282,1/18/1993 20:56,9301,16,BBAL,1,0,1,,
PD93-01,282,1/18/1993 20:56,9301,17,BBAL,1,0,1,,
PD93-01,282,1/18/1993 20:56,9301,21,BBAL,1,0,1,,
PD93-01,282,1/18/1993 20:56,9301,22,WISP,1,0,2,,
PD93-01,282,1/18/1993 20:56,9301,27,BBAL,1,0,1,,
PD93-01,282,1/18/1993 20:56,9301,28,BBAL,1,0,2,,
PD93-01,282,1/18/1993 20:56,9301,28,BBAL,3,0,2,,
PD93-01,282,1/18/1993 20:56,9301,29,BBAL,2,0,2,,
PD93-01,282,1/18/1993 20:56,9301,30,CAPE,14,0,0,,STERN
PD93-01,287,1/18/1993 21:48,9301,0,CAPE,1,0,0,,STERN
PD93-01,287,1/18/1993 21:48,9301,16,FUSE,1,0,3,,
PD93-01,291,1/18/1993 22:40,9301,12,WISP,1,0,1,,
PD93-01,291,1/18/1993 22:40,9301,15,WISP,1,0,1,,
PD93-01,291,1/18/1993 22:40,9301,16,WISP,1,0,1,,
PD93-01,291,1/18/1993 22:40,9301,19,BBAL,1,0,1,,
PD93-01,291,1/18/1993 22:40,9301,24,WISP,1,0,0,,
PD93-01,291,1/18/1993 22:40,9301,25,WISP,1,0,1,,
PD93-01,295,1/18/1993 23:32,9301,1,WISP,3,0,2,,
PD93-01,295,1/18/1993 23:32,9301,3,WISP,1,0,2,,
PD93-01,295,1/18/1993 23:32,9301,4,WISP,1,0,6,,
PD93-01,295,1/18/1993 23:32,9301,7,WISP,1,0,6,,
PD93-01,295,1/18/1993 23:32,9301,15,WISP,1,0,2,,
PD93-01,295,1/18/1993 23:32,9301,17,SPSK,1,0,1,,
PD93-01,295,1/18/1993 23:32,9301,27,SPSK,1,0,1,,
PD93-01,295,1/18/1993 23:32,9301,29,WISP,1,0,1,,
PD93-01,300,1/19/1993 0:56,9301,4,WISP,1,0,2,,
PD93-01,300,1/19/1993 0:56,9301,11,BBAL,1,0,1,,
PD93-01,300,1/19/1993 0:56,9301,16,GIPE,1,0,0,,
PD93-01,300,1/19/1993 0:56,9301,19,WISP,1,0,1,,
PD93-01,300,1/19/1993 0:56,9301,24,SPSK,1,0,1,,
PD93-01,300,1/19/1993 0:56,9301,25,WISP,1,0,1,,
PD93-01,300,1/19/1993 0:56,9301,29,WISP,1,0,6,,
PD93-01,304,1/19/1993 1:51,9301,1,BBAL,2,0,2,,
PD93-01,304,1/19/1993 1:51,9301,2,BBAL,1,0,1,,
PD93-01,304,1/19/1993 1:51,9301,2,WISP,2,0,1,,
PD93-01,304,1/19/1993 1:51,9301,18,WISP,2,0,1,,
PD93-01,304,1/19/1993 1:51,9301,19,WISP,1,0,1,,
PD93-01,308,1/19/1993 6:45,9301,15,BBAL,1,0,2,,
PD93-01,308,1/19/1993 6:45,9301,15,WISP,1,0,2,,
PD93-01,308,1/19/1993 6:45,9301,16,BBAL,1,0,2,,
PD93-01,308,1/19/1993 6:45,9301,20,BBAL,1,0,2,,
PD93-01,308,1/19/1993 6:45,9301,25,BBAL,1,0,2,,
PD93-01,312,1/19/1993 7:37,9301,2,BBAL,1,0,1,,
PD93-01,312,1/19/1993 7:37,9301,4,BBAL,1,0,2,,
PD93-01,312,1/19/1993 7:37,9301,6,BBAL,1,0,2,,
PD93-01,312,1/19/1993 7:37,9301,9,CAPE,1,0,0,,
PD93-01,312,1/19/1993 7:37,9301,11,BBAL,1,0,1,,
PD93-01,312,1/19/1993 7:37,9301,12,BBAL,12,0,3,,
PD93-01,312,1/19/1993 7:37,9301,18,LMSA,1,0,2,,
PD93-01,312,1/19/1993 7:37,9301,18,BBAL,1,0,2,,
PD93-01,312,1/19/1993 7:37,9301,21,CAPE,1,0,0,,
PD93-01,312,1/19/1993 7:37,9301,25,WISP,1,0,1,,
PD93-01,316,1/19/1993 8:26,9301,2,BBAL,1,0,1,,
PD93-01,316,1/19/1993 8:26,9301,6,WISP,1,0,2,,
PD93-01,316,1/19/1993 8:26,9301,15,GIPE,1,0,1,,
PD93-01,316,1/19/1993 8:26,9301,16,BBAL,1,0,2,,
PD93-01,316,1/19/1993 8:26,9301,17,GIPE,1,0,1,,
PD93-01,316,1/19/1993 8:26,9301,23,BBAL,1,0,1,,
PD93-01,316,1/19/1993 8:26,9301,28,CAPE,1,0,0,,
PD93-01,320,1/19/1993 9:46,9301,0,CAPE,2,0,0,,STERN
PD93-01,320,1/19/1993 9:46,9301,1,WISP,1,0,1,,
PD93-01,320,1/19/1993 9:46,9301,4,ANTE,1,0,1,,
PD93-01,320,1/19/1993 9:46,9301,6,SPSK,1,0,1,,
PD93-01,320,1/19/1993 9:46,9301,7,CAPE,2,0,0,,
PD93-01,320,1/19/1993 9:46,9301,8,BBAL,1,0,2,,
PD93-01,320,1/19/1993 9:46,9301,9,WISP,1,0,1,,
PD93-01,320,1/19/1993 9:46,9301,13,WISP,2,0,2,,
PD93-01,320,1/19/1993 9:46,9301,19,WISP,1,0,1,,
PD93-01,320,1/19/1993 9:46,9301,19,BBAL,2,0,2,,
PD93-01,320,1/19/1993 9:46,9301,21,BBAL,1,0,2,,
PD93-01,320,1/19/1993 9:46,9301,22,BBAL,1,0,2,,
PD93-01,320,1/19/1993 9:46,9301,24,BBAL,2,0,2,,
PD93-01,320,1/19/1993 9:46,9301,24,SPSK,1,0,1,,
PD93-01,320,1/19/1993 9:46,9301,25,BBAL,1,0,1,,
PD93-01,320,1/19/1993 9:46,9301,29,WISP,1,0,1,,
PD93-01,320,1/19/1993 9:46,9301,29,BBAL,1,0,1,,
PD93-01,323,1/19/1993 10:32,9301,1,CAPE,5,0,1,,
PD93-01,323,1/19/1993 10:32,9301,3,WISP,1,0,1,,
PD93-01,323,1/19/1993 10:32,9301,3,WISP,1,0,2,,
PD93-01,323,1/19/1993 10:32,9301,10,WISP,1,0,1,,
PD93-01,323,1/19/1993 10:32,9301,12,GHAL,1,0,2,,
PD93-01,323,1/19/1993 10:32,9301,12,BBAL,1,0,2,,
PD93-01,323,1/19/1993 10:32,9301,16,BBAL,1,0,2,,
PD93-01,323,1/19/1993 10:32,9301,18,WISP,1,0,1,,
PD93-01,323,1/19/1993 10:32,9301,27,BBAL,1,0,1,,
PD93-01,328,1/19/1993 11:26,9301,1,BBAL,1,0,1,,
PD93-01,328,1/19/1993 11:26,9301,5,BBAL,1,0,2,,
PD93-01,328,1/19/1993 11:26,9301,8,BBAL,1,0,1,,
PD93-01,328,1/19/1993 11:26,9301,11,BBAL,1,0,1,,
PD93-01,328,1/19/1993 11:26,9301,12,BBAL,2,0,1,,
PD93-01,328,1/19/1993 11:26,9301,16,BBAL,2,0,2,,
PD93-01,328,1/19/1993 11:26,9301,16,SPSK,1,0,1,,
PD93-01,328,1/19/1993 11:26,9301,17,BBAL,1,0,1,,
PD93-01,328,1/19/1993 11:26,9301,18,BBAL,1,0,1,,
PD93-01,328,1/19/1993 11:26,9301,19,CHPE,1,0,6,,
PD93-01,328,1/19/1993 11:26,9301,20,WISP,1,0,2,,
PD93-01,328,1/19/1993 11:26,9301,20,BBAL,1,0,1,,
PD93-01,328,1/19/1993 11:26,9301,21,BBAL,1,0,1,,
PD93-01,328,1/19/1993 11:26,9301,22,WISP,1,0,2,,
PD93-01,328,1/19/1993 11:26,9301,24,WISP,1,0,2,,
PD93-01,328,1/19/1993 11:26,9301,24,BBAL,1,0,2,,
PD93-01,328,1/19/1993 11:26,9301,24,WISP,1,0,2,,
PD93-01,328,1/19/1993 11:26,9301,25,WISP,1,0,2,,
PD93-01,328,1/19/1993 11:26,9301,27,BBAL,3,0,1,,
PD93-01,328,1/19/1993 11:26,9301,29,BBAL,1,0,1,,
PD93-01,331,1/19/1993 12:17,9301,1,FUSE,1,0,3,,
PD93-01,331,1/19/1993 12:17,9301,6,BBAL,1,0,2,,
PD93-01,331,1/19/1993 12:17,9301,7,SPSK,1,0,6,,ON WATER
PD93-01,331,1/19/1993 12:17,9301,7,WISP,1,0,2,,
PD93-01,331,1/19/1993 12:17,9301,8,SPSK,1,0,1,,
PD93-01,331,1/19/1993 12:17,9301,9,BBAL,1,0,1,,
PD93-01,331,1/19/1993 12:17,9301,13,BBAL,1,0,1,,
PD93-01,331,1/19/1993 12:17,9301,18,SPSK,1,0,1,,
PD93-01,331,1/19/1993 12:17,9301,21,SPSK,1,0,1,,
PD93-01,331,1/19/1993 12:17,9301,21,SPSK,1,0,1,,
PD93-01,331,1/19/1993 12:17,9301,22,BBAL,1,0,2,,
PD93-01,331,1/19/1993 12:17,9301,25,SPSK,1,0,1,,
PD93-01,331,1/19/1993 12:17,9301,26,GIPE,1,0,1,,
PD93-01,331,1/19/1993 12:17,9301,28,SPSK,1,0,2,,
PD93-01,335,1/19/1993 13:07,9301,1,SPSK,1,0,2,,
PD93-01,335,1/19/1993 13:07,9301,1,SPSK,3,0,2,,
PD93-01,335,1/19/1993 13:07,9301,3,SPSK,1,0,2,,
PD93-01,335,1/19/1993 13:07,9301,4,SPSK,1,0,6,,LANDS ON WATER
PD93-01,335,1/19/1993 13:07,9301,5,SPSK,1,0,1,,
PD93-01,335,1/19/1993 13:07,9301,6,SPSK,1,0,1,,
PD93-01,335,1/19/1993 13:07,9301,10,WISP,1,0,2,,
PD93-01,335,1/19/1993 13:07,9301,10,SPSK,1,0,2,,
PD93-01,335,1/19/1993 13:07,9301,12,SPSK,1,0,2,,
PD93-01,335,1/19/1993 13:07,9301,13,SPSK,2,0,2,,
PD93-01,335,1/19/1993 13:07,9301,13,SPSK,1,0,2,,
PD93-01,335,1/19/1993 13:07,9301,14,SPSK,2,0,1,,
PD93-01,335,1/19/1993 13:07,9301,14,SPSK,4,0,2,,
PD93-01,335,1/19/1993 13:07,9301,14,SPSK,1,0,2,,
PD93-01,335,1/19/1993 13:07,9301,15,SPSK,1,0,1,,
PD93-01,335,1/19/1993 13:07,9301,15,SPSK,1,0,2,,
PD93-01,335,1/19/1993 13:07,9301,16,SPSK,2,0,2,,
PD93-01,335,1/19/1993 13:07,9301,16,SPSK,2,0,2,,
PD93-01,335,1/19/1993 13:07,9301,17,SPSK,3,0,2,,
PD93-01,335,1/19/1993 13:07,9301,17,SPSK,3,0,1,,
PD93-01,335,1/19/1993 13:07,9301,18,SPSK,1,0,2,,
PD93-01,335,1/19/1993 13:07,9301,20,SPSK,1,0,2,,
PD93-01,335,1/19/1993 13:07,9301,20,SPSK,2,0,1,,
PD93-01,335,1/19/1993 13:07,9301,21,SPSK,1,0,6,,LANDS ON WATER
PD93-01,335,1/19/1993 13:07,9301,22,SPSK,1,0,2,,
PD93-01,335,1/19/1993 13:07,9301,22,BBAL,1,0,2,,
PD93-01,335,1/19/1993 13:07,9301,24,SPSK,2,0,2,,
PD93-01,335,1/19/1993 13:07,9301,25,SPSK,1,0,2,,
PD93-01,335,1/19/1993 13:07,9301,25,BBAL,1,0,1,,
PD93-01,335,1/19/1993 13:07,9301,25,SPSK,2,0,2,,
PD93-01,335,1/19/1993 13:07,9301,25,SPSK,1,0,2,,
PD93-01,335,1/19/1993 13:07,9301,26,SPSK,1,0,2,,
PD93-01,335,1/19/1993 13:07,9301,26,SPSK,1,0,1,,
PD93-01,335,1/19/1993 13:07,9301,27,SPSK,1,0,2,,
PD93-01,335,1/19/1993 13:07,9301,27,SPSK,1,0,1,,
PD93-01,335,1/19/1993 13:07,9301,28,SPSK,1,0,2,,
PD93-01,335,1/19/1993 13:07,9301,29,SPSK,1,0,2,,
PD93-01,335,1/19/1993 13:07,9301,29,SPSK,2,0,2,,
PD93-01,335,1/19/1993 13:07,9301,29,SPSK,1,0,2,,
PD93-01,340,1/19/1993 14:56,9301,1,SPSK,1,0,2,,
PD93-01,340,1/19/1993 14:56,9301,1,SPSK,4,0,2,,
PD93-01,340,1/19/1993 14:56,9301,1,WISP,2,0,2,,
PD93-01,340,1/19/1993 14:56,9301,3,SPSK,1,0,1,,
PD93-01,340,1/19/1993 14:56,9301,3,SPSK,1,0,6,,ON WATER
PD93-01,340,1/19/1993 14:56,9301,4,SPSK,1,0,2,,
PD93-01,340,1/19/1993 14:56,9301,4,ANTE,1,0,1,,
PD93-01,340,1/19/1993 14:56,9301,5,SPSK,1,0,2,,
PD93-01,340,1/19/1993 14:56,9301,5,SPSK,1,0,1,,
PD93-01,340,1/19/1993 14:56,9301,6,SPSK,2,0,1,,
PD93-01,340,1/19/1993 14:56,9301,6,SPSK,2,0,1,,
PD93-01,340,1/19/1993 14:56,9301,7,SPSK,2,0,1,,
PD93-01,340,1/19/1993 14:56,9301,9,SPSK,1,0,1,,
PD93-01,340,1/19/1993 14:56,9301,9,WISP,2,0,2,,
