t,stateroute,R,Rcore,Rocca,R.aocca,R.ncore
5,34025,63.27272727,38,13.09090909,13.09090909,13.09090909
5,34029,50.63636364,28,10.90909091,10.90909091,10.90909091
5,34030,56.63636364,25,16.63636364,16.63636364,16.63636364
5,34038,67.45454545,46,12.81818182,12.81818182,12.81818182
5,34041,53.63636364,35.90909091,10.72727273,10.72727273,10.72727273
5,34042,48,26,12.18181818,12.18181818,11.81818182
5,34044,56.72727273,29.45454545,13.09090909,13.09090909,13.09090909
5,34046,65.81818182,41.90909091,9.909090909,9.909090909,9.909090909
5,34049,72.54545455,49.90909091,9.090909091,9.090909091,9.090909091
5,34051,66.54545455,37,16.09090909,16.09090909,16.09090909
5,34052,72.45454545,49,9.454545455,9.454545455,9.454545455
5,34054,67.72727273,48.81818182,10.90909091,10.90909091,10.90909091
5,34055,65.90909091,46.90909091,9.363636364,9.363636364,9.363636364
5,34056,67.63636364,48,9.818181818,9.818181818,9.818181818
5,34059,71.09090909,58,9.636363636,9.636363636,9.636363636
5,34060,70.36363636,56.90909091,5.545454545,5.545454545,5.545454545
5,34061,71.27272727,53.81818182,9.818181818,9.818181818,9.818181818
5,34063,73.36363636,58,5.636363636,5.636363636,5.636363636
5,35005,67.72727273,53,9.818181818,9.818181818,9.818181818
5,35009,71.63636364,50.45454545,11.90909091,11.90909091,11.45454545
5,35010,63.18181818,43,9.181818182,9.181818182,9.181818182
5,35011,66.27272727,43,13.81818182,13.81818182,13.81818182
5,35013,74.18181818,56.90909091,9.272727273,9.272727273,9.272727273
5,35014,68.36363636,49,9,9,9
5,35034,68.45454545,48,7.909090909,7.909090909,7.454545455
5,35038,80.63636364,64,4.636363636,4.636363636,4.636363636
5,36001,74.72727273,46,17.90909091,17.90909091,17.18181818
5,36003,62,38,11.18181818,11.18181818,10.45454545
5,36006,58.09090909,38.90909091,9.090909091,9.090909091,9.090909091
5,36011,65.54545455,44.81818182,14.90909091,14.90909091,14.90909091
5,36013,56.45454545,34,10.36363636,10.36363636,10.36363636
5,36028,57.18181818,38,10.45454545,10.45454545,10.45454545
5,38010,52.09090909,30.90909091,12.27272727,11.63636364,11.63636364
5,38014,66.63636364,44,8.545454545,8.545454545,8.090909091
5,38015,67.54545455,41,14.72727273,14.72727273,14.72727273
5,38017,56,36.90909091,6.090909091,6.090909091,6.090909091
5,38026,66.27272727,44,7.454545455,7.454545455,7.454545455
5,38028,58.72727273,41.63636364,6.272727273,6.272727273,6.272727273
5,38029,66.45454545,48,9.454545455,9.454545455,9.454545455
5,38030,62.72727273,42,11.27272727,11.27272727,10.45454545
5,39001,77.27272727,59,8,8,8
5,39006,64.27272727,44.90909091,10.36363636,10.36363636,10.36363636
5,39009,70.36363636,58,4.545454545,4.545454545,4.545454545
5,39010,72.63636364,59,7.727272727,7.727272727,7.727272727
5,39040,61.81818182,45.81818182,9.090909091,9.090909091,9.090909091
5,39044,68.63636364,48.90909091,8,8,8
5,42011,46.90909091,27,9.727272727,9.727272727,9.727272727
5,42015,51.27272727,24,11.81818182,11.81818182,11.81818182
5,42018,51.45454545,36,5.545454545,5.545454545,5.545454545
5,42034,35.18181818,21,4.363636364,4.363636364,4.363636364
5,42119,61.72727273,41.45454545,11.09090909,11.09090909,11.09090909
5,44006,74.18181818,49,10.72727273,10.54545455,9.090909091
5,44007,82.36363636,57.63636364,8.454545455,8.454545455,8.454545455
5,44012,77.45454545,45.90909091,14.63636364,14.63636364,14.27272727
5,44013,80.72727273,59,8.363636364,8.363636364,8.363636364
5,44019,84.36363636,47,20,20,20
5,44031,76.81818182,47,16.36363636,16.36363636,16.09090909
5,44032,77.36363636,53,14.63636364,14.63636364,14
5,44033,76.18181818,54.90909091,11.90909091,11.90909091,11.90909091
5,44035,69.36363636,42,15.09090909,15.09090909,14.36363636
5,44041,68.54545455,44,7.727272727,7.727272727,7.454545455
5,46003,84.09090909,54,11.27272727,11.27272727,11.27272727
5,46005,68.18181818,52,5.818181818,5.818181818,5.818181818
5,46006,72,47,14,14,14
5,46011,74.45454545,54.63636364,10.18181818,10.18181818,10.18181818
5,46012,47.18181818,35.72727273,3.818181818,3.818181818,3.818181818
5,46013,70,49.36363636,9.090909091,9.090909091,9.090909091
5,46014,67.45454545,43.45454545,9.363636364,9.363636364,9.363636364
5,46015,72,47.72727273,12.36363636,12.36363636,12.36363636
5,46016,65.27272727,45.63636364,11,11,11
5,46017,68.27272727,48.09090909,8.090909091,8.090909091,8.090909091
5,46022,60.36363636,45.90909091,7.090909091,7.090909091,7.090909091
5,46029,67.54545455,50,8.272727273,8.272727273,8.272727273
5,46030,68.45454545,48,8.090909091,8.090909091,8.090909091
5,46032,70.54545455,52,6.454545455,6.454545455,6.454545455
5,46033,67.63636364,50,7.363636364,7.363636364,7.363636364
5,46036,63.36363636,49,4.727272727,4.727272727,4.727272727
5,46037,70,51.90909091,7.909090909,7.909090909,7.909090909
5,46038,63.45454545,49.90909091,5.454545455,5.454545455,5.454545455
5,46040,66,45.81818182,9.363636364,9.363636364,9.363636364
5,46042,73.63636364,58,6.636363636,6.636363636,6.636363636
5,46043,70.54545455,55.36363636,5.363636364,5.363636364,5.363636364
5,46044,67.81818182,53,5.909090909,5.909090909,5.909090909
5,46046,63,45,8.090909091,8.090909091,8.090909091
5,46047,70.18181818,53,11.45454545,11.27272727,11.27272727
5,46048,67.63636364,50.81818182,7.090909091,7.090909091,7.090909091
5,46121,61.54545455,48,5.272727273,5.272727273,5.272727273
5,46123,73.36363636,57.81818182,5,5,5
5,47001,49,36.90909091,6.181818182,6.181818182,6.181818182
5,47014,73.54545455,52.18181818,14.81818182,14.81818182,14.81818182
5,47018,79.63636364,55,11.72727273,11.72727273,11.72727273
5,47019,85.81818182,57.27272727,14.90909091,14.90909091,14.90909091
5,47022,83.09090909,58,12.90909091,12.90909091,12.90909091
5,49012,84.72727273,58,15.36363636,15.36363636,15.36363636
5,49018,72.72727273,46,11.36363636,11.36363636,11.36363636
5,49021,77.09090909,54.81818182,8.090909091,8.090909091,8.090909091
5,49033,71,37,15.27272727,15.27272727,14.81818182
5,49038,77,51,11.45454545,11.45454545,11
5,49055,70.54545455,53,11.63636364,11.63636364,11.63636364
5,49073,55.18181818,37.18181818,5.454545455,5.454545455,5.454545455
5,50003,58.18181818,30,19,19,19
5,50008,60.18181818,40.54545455,6.818181818,6.818181818,6.818181818
5,50015,76.81818182,46.81818182,15.27272727,15.27272727,15.27272727
5,50017,62.18181818,36.63636364,8.181818182,8.181818182,8.181818182
5,50032,55.81818182,37,8.272727273,8.272727273,7.545454545
5,50033,64.18181818,39,11.45454545,11.45454545,11.18181818
5,50034,74.45454545,44.72727273,16.90909091,16.90909091,16.81818182
5,50035,78.18181818,47,14.63636364,14.63636364,14.63636364
5,50037,67.72727273,41,6.090909091,6.090909091,6.090909091
5,50042,74.09090909,35,15.90909091,15.90909091,15.90909091
5,50044,66.09090909,39,13.18181818,13.18181818,12.90909091
5,50048,51.18181818,26,6,6,6
5,51023,55.54545455,40,10.27272727,10.27272727,10.27272727
5,51030,50.81818182,40,3.636363636,3.636363636,3.636363636
5,51113,59.27272727,47,4.272727273,4.272727273,4.272727273
5,52002,73.27272727,52.81818182,11.45454545,11.45454545,11.36363636
5,52007,69.72727273,41,13.72727273,13.72727273,13.72727273
5,52010,67.27272727,52.90909091,8,8,8
5,52011,64.72727273,47,4.636363636,4.636363636,4.636363636
5,52014,68,37,9.545454545,9.545454545,8.909090909
5,52016,65,35,8.090909091,8.090909091,8.090909091
5,52021,73.27272727,43,13.63636364,13.63636364,12.72727273
5,52027,76.45454545,45,13,13,13
5,52131,68.81818182,44,11,11,10.72727273
5,53002,79.27272727,45.81818182,17,17,17
5,53009,37.27272727,21,11.36363636,11.36363636,11.36363636
5,53014,62.72727273,19,18.90909091,18.90909091,18.54545455
5,53026,63.45454545,29,17.81818182,17.45454545,17.45454545
5,53027,63.36363636,33.54545455,12.90909091,12.36363636,12.36363636
5,53028,48.09090909,30,9.090909091,9.090909091,9.090909091
5,53036,66,43,11.81818182,11.45454545,11.45454545
5,53038,57.81818182,33,11.54545455,11.54545455,11.54545455
5,53040,69.63636364,51,9.818181818,9.727272727,9.545454545
5,54022,68.18181818,40,11.45454545,11.45454545,11.45454545
5,55011,35.54545455,15,12.18181818,11.72727273,11.72727273
5,58001,70,50,9.454545455,9.454545455,9.454545455
5,58003,74.45454545,49.45454545,6.090909091,6.090909091,6.090909091
5,58004,77.72727273,51,15.63636364,15.63636364,15.63636364
5,58007,79.81818182,52,10.63636364,10.63636364,10.63636364
5,58008,75.72727273,52.81818182,11.63636364,11.63636364,11.63636364
5,58012,76,50,7.909090909,7.909090909,7.818181818
5,58013,75.63636364,52.45454545,7.909090909,7.909090909,7.909090909
5,58014,80.18181818,54.45454545,13.90909091,13.90909091,13.90909091
5,58018,77.54545455,58.81818182,4.272727273,4.272727273,4.272727273
5,58019,86,56.90909091,16.36363636,16.36363636,16.36363636
5,59020,62.45454545,42,11.27272727,11.27272727,11.27272727
5,59021,82.09090909,54,10.72727273,10.72727273,10.72727273
5,60010,70.72727273,44,16.81818182,16.81818182,16.63636364
5,60013,50.81818182,31,13.18181818,13.18181818,13.18181818
5,60017,46.72727273,22,15.72727273,15.72727273,15.72727273
5,60019,51.09090909,17,18.54545455,18.18181818,16.45454545
5,60020,54.18181818,22,14.09090909,14.09090909,13.45454545
5,60022,67.72727273,40.90909091,12,12,12
5,60023,38.63636364,21,6.636363636,6.636363636,6.636363636
5,60024,28,13,7.181818182,7.181818182,7.181818182
5,60027,42.54545455,26,8.727272727,8.727272727,8.727272727
5,60029,26.45454545,15,5.545454545,5.545454545,5.545454545
5,60031,38.63636364,20,10.09090909,10.09090909,9.636363636
5,60111,54.63636364,31,11.81818182,11.81818182,11.18181818
5,60112,40.18181818,19,13,13,13
5,60201,52.90909091,33,11.09090909,11.09090909,11.09090909
5,61009,69.27272727,46.72727273,12.27272727,12.27272727,12.27272727
5,61029,79,54,6,6,6
5,61030,77.18181818,45,16.54545455,16.54545455,16.54545455
5,61034,80.36363636,53.90909091,14.09090909,14.09090909,14.09090909
5,61038,72.18181818,47,16.18181818,16.18181818,15.72727273
5,61045,83.27272727,45,14.90909091,14.90909091,13.90909091
5,61047,69.72727273,51,8.454545455,8.454545455,8.272727273
5,61048,61.27272727,43,9.363636364,9.363636364,9.363636364
5,61049,82.36363636,52.81818182,13.81818182,13.81818182,13.63636364
5,61056,78.90909091,47,12,12,12
5,61057,69,41,14.36363636,14.36363636,14.36363636
5,61059,80.81818182,51.90909091,12.27272727,12.27272727,12.27272727
5,61064,63.09090909,35,13.72727273,13.72727273,13.72727273
5,61065,68.90909091,41,15.09090909,15.09090909,15.09090909
5,61089,73.72727273,49,12.81818182,12.81818182,12.81818182
5,61100,69.90909091,49,7.454545455,7.454545455,7.454545455
5,61111,62.72727273,47,9.454545455,9.454545455,9.454545455
5,61121,72.36363636,51,12.63636364,12.63636364,12.63636364
5,61199,78.18181818,52,12.90909091,12.90909091,12.72727273
5,63002,66.09090909,52.90909091,6.272727273,6.272727273,6.272727273
5,63003,51.45454545,36.90909091,4.636363636,4.636363636,4.636363636
5,63004,58.27272727,45,6.272727273,6.272727273,6.272727273
5,63010,71.36363636,52,4.363636364,4.363636364,4.363636364
5,63011,63.90909091,47,6.909090909,6.909090909,6.909090909
5,63024,73.09090909,61.72727273,5.909090909,5.909090909,5.909090909
5,63030,63.27272727,40.90909091,6.636363636,6.636363636,6.636363636
5,63119,60.45454545,45,7.090909091,7.090909091,7.090909091
5,64005,53.81818182,32.45454545,11.18181818,11.18181818,11.18181818
5,64009,67.90909091,38,13.54545455,13.54545455,13.54545455
5,64012,56.27272727,36,10.54545455,10.54545455,10.54545455
5,64038,52.81818182,36,7.272727273,7.272727273,7.272727273
5,64039,56.45454545,39,4.727272727,4.727272727,4.727272727
5,64042,56.27272727,43.72727273,7,7,7
5,64044,75.81818182,58,7.363636364,7.363636364,7.363636364
5,66002,55.63636364,32.90909091,7,7,7
5,66021,67.45454545,48,6.909090909,6.909090909,6.909090909
5,66042,60.45454545,42.90909091,7.181818182,7.181818182,7.181818182
5,66073,67.81818182,47,9,9,9
5,66075,73.18181818,48.90909091,9.909090909,9.909090909,9.818181818
5,66076,70.90909091,49,9.909090909,9.909090909,9.909090909
5,66082,66.63636364,47,9.545454545,9.545454545,9.545454545
5,66107,60.54545455,37.63636364,13.18181818,13.18181818,13.18181818
5,67015,62.81818182,40,11.90909091,11.90909091,11.90909091
5,67022,62,42.90909091,7.090909091,7.090909091,7.090909091
5,67023,59.09090909,35,11.09090909,11.09090909,10.72727273
5,67034,29.45454545,17,4.727272727,4.727272727,4.727272727
5,69019,73.63636364,49,9.272727273,9.272727273,9.272727273
5,69026,74.45454545,44,13.18181818,13.18181818,13.18181818
5,69028,65.09090909,29,20.81818182,20.81818182,20.36363636
5,69029,56.45454545,34,10.81818182,10.81818182,9.818181818
5,69033,59.90909091,34,8.454545455,8.454545455,8.454545455
5,69034,74.09090909,45,12.54545455,12.54545455,12.54545455
5,69057,72.45454545,48,12.63636364,12.63636364,12.63636364
5,72002,77.81818182,51.81818182,12.45454545,12.45454545,12.27272727
5,72004,72.63636364,47,10.09090909,10.09090909,10.09090909
5,72006,77.36363636,49,14.81818182,14.81818182,14.81818182
5,72010,78.63636364,46,21.72727273,21.72727273,21.72727273
5,72016,74.45454545,44,13.18181818,13.18181818,13.18181818
5,72022,83.63636364,43,18.72727273,18.72727273,18.72727273
5,72025,78.36363636,41,15.63636364,15.63636364,15.63636364
5,72029,90.09090909,54,18.54545455,18.54545455,18.54545455
5,72031,84.54545455,54,13.27272727,13.27272727,13.27272727
5,72033,85.36363636,56,13.18181818,13.18181818,13.18181818
5,72035,91.81818182,48,17,17,17
5,72047,68.54545455,46,7.909090909,7.909090909,7.909090909
5,72049,82.81818182,46,17.09090909,17.09090909,16.09090909
5,72050,81.63636364,55,9.636363636,9.636363636,9.272727273
5,72053,75.90909091,40,13.18181818,13.18181818,13.18181818
5,72054,81.90909091,51.81818182,8.272727273,8.272727273,8.272727273
5,72056,83.45454545,48,13.45454545,13.45454545,13.45454545
5,72057,71.36363636,43,12.63636364,12.63636364,12.63636364
5,72060,81.81818182,53,14.18181818,14.18181818,13.63636364
5,72061,74.54545455,51,10.72727273,10.72727273,10.72727273
5,72062,81.18181818,57,10.45454545,10.45454545,10.45454545
5,72064,74.81818182,45,13,13,13
5,72072,71.72727273,46,11.45454545,11.45454545,11.45454545
5,72083,81.36363636,49,15.72727273,15.72727273,15.72727273
5,72084,56.09090909,38.81818182,10,10,10
5,72086,56.54545455,40,10,10,10
5,72088,76.27272727,59.90909091,4.272727273,4.272727273,4.272727273
5,72090,80.27272727,51,13.36363636,13.36363636,13.36363636
5,72091,74,49,7.818181818,7.818181818,7.818181818
5,72132,87.45454545,66,9.545454545,9.545454545,9.545454545
5,72151,67.90909091,44,10.27272727,10.27272727,10.27272727
5,72155,80.27272727,54,7.454545455,7.454545455,7.454545455
5,72165,81.72727273,56,11.27272727,11.27272727,11.27272727
5,72194,61.09090909,39,9.272727273,9.272727273,9.272727273
5,80003,58.90909091,42,7.454545455,7.454545455,7.454545455
5,80005,59.27272727,47,7.090909091,7.090909091,7.090909091
5,81001,53.36363636,34.81818182,8.545454545,8.545454545,8.545454545
5,81003,46.45454545,34.90909091,5.454545455,5.454545455,5.454545455
5,81029,54.54545455,31,13.09090909,13.09090909,12.36363636
5,82006,65.45454545,45,11.36363636,11.36363636,11.36363636
5,82010,67.36363636,46,11.63636364,11.63636364,11.63636364
5,82016,74.45454545,58,9.454545455,9.454545455,9.454545455
5,82018,71.54545455,57.90909091,5.909090909,5.909090909,5.909090909
5,82020,62.36363636,40,10,10,10
5,82034,74.63636364,59.90909091,8.818181818,8.818181818,8.818181818
5,82042,72.09090909,45.72727273,15.45454545,15.45454545,15.45454545
5,82128,68.72727273,51.81818182,7.181818182,7.181818182,7.181818182
5,83009,60.18181818,37,14.36363636,13.09090909,11.45454545
5,83013,40.72727273,17,14.81818182,14.81818182,14.27272727
5,83026,45.72727273,30,11.81818182,11.81818182,11.81818182
5,83033,51.72727273,40.54545455,5.272727273,5.272727273,5.272727273
5,83042,60.54545455,31,14.90909091,14.45454545,14.45454545
5,83044,53.90909091,40.54545455,4.181818182,4.181818182,4.181818182
5,83045,57.36363636,44.36363636,5.090909091,5.090909091,5.090909091
5,83064,50.18181818,24,10.45454545,10.45454545,10.45454545
5,83082,42.09090909,21,13.45454545,13,13
5,83098,50.81818182,22,18,16.18181818,14.54545455
5,83100,47.81818182,26.81818182,11.36363636,11.36363636,11.36363636
5,83140,62.54545455,35,10.81818182,10.81818182,10.36363636
5,85004,24.18181818,8,11.54545455,10.72727273,10.72727273
5,85011,43.63636364,22,10.81818182,10.27272727,10.27272727
5,85021,62.27272727,23,19.90909091,19.90909091,19.18181818
5,85024,55.27272727,26,14.45454545,14,14
5,85025,27.81818182,16,7.181818182,7.181818182,7.181818182
5,85109,13.90909091,4,4.090909091,4.090909091,4.090909091
5,87005,70.45454545,51.36363636,7.727272727,7.727272727,7.727272727
5,87015,78.27272727,53,8.909090909,8.909090909,8.272727273
5,88004,69.45454545,47,10.54545455,10.54545455,10.54545455
5,88005,66.36363636,47,9.636363636,9.636363636,9.636363636
5,88007,64.90909091,47.27272727,9.090909091,9.090909091,9.090909091
5,88013,73.36363636,56,10,10,10
5,88014,61.18181818,39,8.454545455,8.454545455,8.454545455
5,88023,72.27272727,51,6.090909091,6.090909091,6.090909091
5,88028,67.18181818,54,7.909090909,7.909090909,7.909090909
5,88043,67.36363636,47,8.545454545,8.545454545,8.545454545
5,88044,67.54545455,50,7.363636364,7.363636364,7.363636364
5,89001,56.27272727,31,6.636363636,6.636363636,6.636363636
5,89002,63.27272727,46,7.090909091,7.090909091,7.090909091
5,89004,67.27272727,41,10.54545455,10.54545455,10.54545455
5,89009,54.18181818,32,6.454545455,6.454545455,6.454545455
5,89016,70,38,17.27272727,17.27272727,16.72727273
5,89030,81.81818182,48,20.90909091,20.18181818,20
5,89043,67.18181818,43,7.181818182,7.181818182,6.727272727
5,89111,67.72727273,46,6.818181818,6.818181818,6.818181818
5,90006,71.63636364,48,9.818181818,9.818181818,9.818181818
5,90016,71.54545455,61,3.818181818,3.818181818,3.818181818
5,90019,69.45454545,47,9.636363636,9.636363636,9.636363636
5,90026,71.09090909,64,3.181818182,3.181818182,3.181818182
5,90036,71.63636364,61,5.090909091,5.090909091,5.090909091
5,90048,68.54545455,52.45454545,5.272727273,5.272727273,5.272727273
5,91008,83.36363636,52,17.27272727,17.27272727,16.63636364
5,91012,91.36363636,59.90909091,13.45454545,13.45454545,12.54545455
5,91014,83.81818182,48,16.36363636,16.36363636,15.36363636
5,91020,79.90909091,57.18181818,8.818181818,8.818181818,8.818181818
5,91022,85.09090909,59.81818182,12.45454545,12.45454545,12.45454545
5,91024,80.54545455,54,11.45454545,11.45454545,11.45454545
5,91026,86.18181818,60.63636364,13,13,13
5,91027,85.63636364,55,12.81818182,12.81818182,12.81818182
5,91028,75.36363636,58,10.90909091,10.90909091,10.90909091
5,91029,86.63636364,62,9.818181818,9.818181818,9.818181818
5,91036,76.54545455,46,16.09090909,16.09090909,16.09090909
5,91039,62.18181818,35.72727273,14.63636364,14.63636364,14.63636364
5,91044,91.54545455,65.27272727,13.54545455,13.54545455,12.81818182
5,91045,86.81818182,61.90909091,9.272727273,9.272727273,9.272727273
5,91048,70.72727273,46,10.63636364,10.63636364,10.63636364
5,91049,86.09090909,44,19.81818182,19.81818182,19.09090909
5,91054,71.45454545,50.63636364,3.727272727,3.727272727,3.727272727
5,91055,74.45454545,53.27272727,11.09090909,11.09090909,11.09090909
5,91056,78.18181818,49.81818182,12,12,11.54545455
5,91062,59.81818182,41.27272727,5.818181818,5.818181818,5.818181818
5,91063,68.36363636,44.90909091,15.54545455,15.54545455,15
5,91068,68.63636364,44,9.545454545,9.545454545,9.545454545
5,91069,71.81818182,47,11.72727273,11.72727273,11.36363636
5,91070,58.90909091,41,8.363636364,8.363636364,8.363636364
5,92005,41.27272727,29,4.363636364,4.363636364,3.363636364
5,92019,66.18181818,31,16.90909091,16.90909091,16.45454545
5,92028,43.18181818,21,10.63636364,10.63636364,10.63636364
5,92030,59.63636364,39.81818182,10.90909091,10.90909091,10.18181818
5,92053,56.36363636,36,8.181818182,8.181818182,7.272727273
5,92063,48.90909091,27,15.27272727,15.27272727,14.36363636
5,92083,26.27272727,15,4.272727273,4.272727273,3.636363636
5,92087,67.81818182,39,11.54545455,11.54545455,11.36363636
5,92104,40.81818182,17,13.63636364,13.63636364,13.18181818
5,92120,42.63636364,15,12.36363636,12.36363636,11.90909091
10,2001,73,45,13,13,13
10,2006,59.5,38,14.83333333,14.83333333,14.83333333
10,2017,69.33333333,51.83333333,11,11,11
10,2019,69.16666667,50,12,12,12
10,2021,61,35,12.5,12.5,12.5
10,2027,69.66666667,42,11.66666667,11.66666667,11.66666667
10,2029,70,50,9.166666667,9.166666667,9.166666667
10,2034,65.83333333,48,8,8,8
10,2043,58,47,6,6,6
10,2045,70.83333333,49,5.833333333,5.833333333,5.833333333
10,2047,68.16666667,55,6.833333333,6.833333333,6.833333333
10,2050,66.5,41,13.16666667,13.16666667,13.16666667
10,2105,63.5,43,8.5,8.5,8.5
10,6014,84.16666667,62,12.66666667,11,11
10,6018,31,13,12.66666667,11.66666667,11.66666667
10,6024,50.33333333,20,18.33333333,18.33333333,17.33333333
10,6025,46.33333333,23,13.33333333,13.33333333,13.33333333
10,6032,98.16666667,55,22.5,19.5,18.5
10,7004,76.83333333,47,19.16666667,19.16666667,19.16666667
10,7005,68.33333333,45,15.33333333,15.33333333,15.33333333
10,7015,55.16666667,29,18,18,18
