"CompAOU","focalAOU","Competitor","Focal","CompSciName","FocalSciName","Family","FocalMass","CompMass","focalcat","compcat"
5420,5660,"Savannah Sparrow","Dark-eyed Junco","Passerculus sandwichensis","Junco hyemalis","Emberizidae",19.75,21.33,"Junco_hyemalis","Passerculus_sandwichensis"
5450,5460,"Baird's Sparrow","Grasshopper Sparrow","Ammodramus bairdii","Ammodramus savannarum","Emberizidae",17,18,"Ammodramus_savannarum","Ammodramus_bairdii"
5450,5520,"Baird's Sparrow","Lark Sparrow","Ammodramus bairdii","Chondestes grammacus","Emberizidae",29,18,"Chondestes_grammacus","Ammodramus_bairdii"
5460,5450,"Grasshopper Sparrow","Baird's Sparrow","Ammodramus savannarum","Ammodramus bairdii","Emberizidae",18,17,"Ammodramus_bairdii","Ammodramus_savannarum"
5480,5491,"Le Conte's Sparrow","Nelson's Sharp-tailed Sparrow","Ammodramus leconteii","Ammodramus nelsoni","Emberizidae",19,13,"Ammodramus_nelsoni","Ammodramus_leconteii"
5520,6050,"Lark Sparrow","Lark Bunting","Chondestes grammacus","Calamospiza melanocorys","Emberizidae",38,29,"Calamospiza_melanocorys","Chondestes_grammacus"
5520,5450,"Lark Sparrow","Baird's Sparrow","Chondestes grammacus","Ammodramus bairdii","Emberizidae",18,29,"Ammodramus_bairdii","Chondestes_grammacus"
5540,5830,"White-crowned Sparrow","Lincoln's Sparrow","Zonotrichia leucophrys","Melospiza lincolnii","Emberizidae",17,28.12,"Melospiza_lincolnii","Zonotrichia_leucophrys"
5540,5850,"White-crowned Sparrow","Fox Sparrow","Zonotrichia leucophrys","Passerella iliaca","Emberizidae",32,28.12,"Passerella_iliaca","Zonotrichia_leucophrys"
5570,5540,"Golden-crowned Sparrow","White-crowned Sparrow","Zonotrichia atricapilla","Zonotrichia leucophrys","Emberizidae",28.12,29.8,"Zonotrichia_leucophrys","Zonotrichia_atricapilla"
5580,5840,"White-throated Sparrow","Swamp Sparrow","Zonotrichia albicollis","Melospiza georgiana","Emberizidae",17,25.9,"Melospiza_georgiana","Zonotrichia_albicollis"
5600,5460,"Chipping Sparrow","Grasshopper Sparrow","Spizella passerina","Ammodramus savannarum","Emberizidae",17,12,"Ammodramus_savannarum","Spizella_passerina"
5600,5491,"Chipping Sparrow","Nelson's Sharp-tailed Sparrow","Spizella passerina","Ammodramus nelsoni","Emberizidae",19,12,"Ammodramus_nelsoni","Spizella_passerina"
5600,5480,"Chipping Sparrow","Le Conte's Sparrow","Spizella passerina","Ammodramus leconteii","Emberizidae",13,12,"Ammodramus_leconteii","Spizella_passerina"
5650,5730,"Black-chinned Sparrow","Black-throated Sparrow","Spizella atrogularis","Amphispiza bilineata","Emberizidae",14,12,"Amphispiza_bilineata","Spizella_atrogularis"
5650,5800,"Black-chinned Sparrow","Rufous-crowned Sparrow","Spizella atrogularis","Aimophila ruficeps","Emberizidae",18.25,12,"Aimophila_ruficeps","Spizella_atrogularis"
5730,5650,"Black-throated Sparrow","Black-chinned Sparrow","Amphispiza bilineata","Spizella atrogularis","Emberizidae",12,14,"Spizella_atrogularis","Amphispiza_bilineata"
5800,5650,"Rufous-crowned Sparrow","Black-chinned Sparrow","Aimophila ruficeps","Spizella atrogularis","Emberizidae",12,18.25,"Spizella_atrogularis","Aimophila_ruficeps"
5800,5730,"Rufous-crowned Sparrow","Black-throated Sparrow","Aimophila ruficeps","Amphispiza bilineata","Emberizidae",14,18.25,"Amphispiza_bilineata","Aimophila_ruficeps"
5810,5400,"Song Sparrow","Vesper Sparrow","Melospiza melodia","Pooecetes gramineus","Emberizidae",27,21.33,"Pooecetes_gramineus","Melospiza_melodia"
5810,5660,"Song Sparrow","Dark-eyed Junco","Melospiza melodia","Junco hyemalis","Emberizidae",19.75,21.33,"Junco_hyemalis","Melospiza_melodia"
5810,5740,"Song Sparrow","Sage Sparrow","Melospiza melodia","Amphispiza belli","Emberizidae",19,21.33,"Amphispiza_belli","Melospiza_melodia"
5830,5850,"Lincoln's Sparrow","Fox Sparrow","Melospiza lincolnii","Passerella iliaca","Emberizidae",32,17,"Passerella_iliaca","Melospiza_lincolnii"
5830,5540,"Lincoln's Sparrow","White-crowned Sparrow","Melospiza lincolnii","Zonotrichia leucophrys","Emberizidae",28.12,17,"Zonotrichia_leucophrys","Melospiza_lincolnii"
5830,5840,"Lincoln's Sparrow","Swamp Sparrow","Melospiza lincolnii","Melospiza georgiana","Emberizidae",17,17,"Melospiza_georgiana","Melospiza_lincolnii"
5840,5830,"Swamp Sparrow","Lincoln's Sparrow","Melospiza georgiana","Melospiza lincolnii","Emberizidae",17,17,"Melospiza_lincolnii","Melospiza_georgiana"
5850,5540,"Fox Sparrow","White-crowned Sparrow","Passerella iliaca","Zonotrichia leucophrys","Emberizidae",28.12,32,"Zonotrichia_leucophrys","Passerella_iliaca"
5850,5830,"Fox Sparrow","Lincoln's Sparrow","Passerella iliaca","Melospiza lincolnii","Emberizidae",17,32,"Melospiza_lincolnii","Passerella_iliaca"
5880,5900,"Spotted Towhee","Green-tailed Towhee","Pipilo maculatus","Pipilo chlorurus","Emberizidae",29,42,"Pipilo_chlorurus","Pipilo_maculatus"
5880,5911,"Spotted Towhee","California Towhee","Pipilo maculatus","Melozone crissalis","Emberizidae",53.75,42,"Melozone_crissalis","Pipilo_maculatus"
5900,5880,"Green-tailed Towhee","Spotted Towhee","Pipilo chlorurus","Pipilo maculatus","Emberizidae",42,29,"Pipilo_maculatus","Pipilo_chlorurus"
