"FocalAOU","ENV","COMP","SHARED","NONE","ALPHA.CODE","Trophic.Group","Foraging","migclass","Family","CommonName","Long","Lat"
"5660",0.0397648450716455,0.254231368980256,0.0611524715255327,0.644851314422566,"DEJU","insct/om","ground glean","short","Emberizidae","Dark-eyed Junco",-104.286069558167,54.287751478011
"5730",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-108.289072768978,32.2238817184112
"5740",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-114.018251105004,39.3688637439004
"5800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.699789457128,29.1229031498668
"5830",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-101.331313193347,55.5825563645879
"5840",0.0516878302779233,0.0600078710523703,0.00912444229400251,0.879179856375704,"SWSP","insct/om","ground glean","short","Emberizidae","Swamp Sparrow",-90.0321935319268,51.7427221197668
"5850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-115.034890969685,58.219126069507
"5880",0.108353024299964,0.304017268561247,-0.0150447609454853,0.602674468084274,"SPTO","insct/om","ground glean","short","Emberizidae","Spotted Towhee",-111.13967506898,41.0970582594443
"5900",0.459475675897298,0.261407402205141,-0.06426146834919,0.343378390246751,"GTTO","insct/om","ground glean","neotrop","Emberizidae","Green-tailed Towhee",-112.32514518258,39.7720819643771
"5911",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-117.414625720861,33.7320910381582
"5940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.178238049328,28.240266639811
"6050",0.173184034880484,0.408993838792429,0.0913025562700609,0.326519570057026,"LARB","insct/om","ground glean","neotrop","Emberizidae","Lark Bunting",-103.345484991237,43.2058066995198
"6150",0.279669112935558,0.197882963519623,0.106737248800079,0.415710674744739,"VGSW","insectivore","aerial foraging","neotrop","Hirundinidae","Violet-green Swallow",-115.182327727488,44.1313067069917
"6160",0.188089426578371,0.0640420980411035,-0.0314986735186985,0.779367148899224,"BANS","insectivore","aerial foraging","neotrop","Hirundinidae","Bank Swallow",46.7631272796501,85.6163496814245
"6260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-97.2873311743246,52.8695518712891
"6291",0.18142568707838,0.0208213088313765,0.144089281495103,0.653663722595141,"PLVI","insectivore","foliage glean","neotrop","Vireonidae","Plumbeous Vireo",-108.034624728265,33.841143476248
"6292",0.114672974328968,0.0108524072594166,-0.00205497135944643,0.876529589771062,"CAVI","insectivore","foliage glean","neotrop","Vireonidae","Cassin's Vireo",-119.602894045442,44.9285912137093
"6320",0.184589646317415,8.92647542549696e-08,0.000162748698146358,0.815247515719685,"HUVI","insectivore","foliage glean","resid","Vireonidae","Hutton's Vireo",-107.779156847251,30.0505169515705
"6330",0.108223954143345,0.0448023114455272,-0.0325210469684282,0.879494781379556,"BEVI","insectivore","foliage glean","neotrop","Vireonidae","Bell's Vireo",-100.242247158479,34.6954750887478
"6360",0.0398857943629149,0.0227453728276924,0.00220824145863454,0.935160591350758,"BAWW","insectivore","bark glean","neotrop","Parulidae","Black-and-white Warbler",-89.4689215515738,47.6486536925127
"6370",0.137295919432944,0.0171395601599305,0.00333340577102765,0.842231114636098,"PROW","insectivore","bark glean","neotrop","Parulidae","Prothonotary Warbler",-88.3071276128113,36.2947957359634
"6380",0.237047315389578,0.00225201577949946,0.0196507028187635,0.741049966012159,"SWWA","insectivore","ground glean","neotrop","Parulidae","Swainson's Warbler",-87.8056699519686,33.4738986695814
"6390",0.111127481199101,0.0399764386421493,0.0375104571755962,0.811385622983153,"WEWA","insectivore","foliage glean","neotrop","Parulidae","Worm-eating Warbler",-85.9683386764062,36.4325755567739
"6410",0.0863992001771816,0.0716764666018314,-0.0209797649031791,0.862904098124166,"BWWA","insectivore","foliage glean","neotrop","Parulidae","Blue-winged Warbler",-85.9295824649094,39.988637351586
"6430",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-111.924654610174,33.6192525733939
"6440",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-109.906592433715,37.7788394395437
"6450",0.0581282168227446,0.44723340658016,0.174317895068477,0.320320481528618,"NAWA","insectivore","foliage glean","neotrop","Parulidae","Nashville Warbler",-88.3389986912435,48.7772386369721
"6460",0.0343757627107961,0.616430899694629,0.00772237636541695,0.341470961229157,"OCWA","insectivore","foliage glean","neotrop","Parulidae","Orange-crowned Warbler",-112.631962380823,55.3534940253326
"6470",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-97.0933542328373,55.3931652508326
"6500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-94.6872711597365,53.5533964874593
"6540",0.0347299105879673,0.113393962599039,0.0390422155387262,0.812833911274267,"BTBW","insectivore","hover/glean","neotrop","Parulidae","Black-throated Blue Warbler",-76.8882659953147,44.8658754517601
"6570",0.0160260230008048,0.261401974814591,0.0309513458415184,0.691620656343085,"MAWA","insectivore","hover/glean","neotrop","Parulidae","Magnolia Warbler",-91.6832391753168,52.6345732887083
"6600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-88.946629969401,52.9313094553048
"6610",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-103.619298322273,60.75798826331
"6620",0.0291412165108632,0.478333305661472,0.0471418060323108,0.445383671795354,"BLBW","insct/om","foliage glean","neotrop","Parulidae","Blackburnian Warbler",-81.483711166615,47.1374496725891
"6630",0.34346850049705,0.013738597621731,0.0124418048711521,0.630351097010067,"YTWA","insectivore","bark glean","neotrop","Parulidae","Yellow-throated Warbler",-87.1317452944702,35.3237227817706
"6650",0.321795498002686,0.0680496875519247,-0.0456419150156746,0.655796729461064,"BTYW","insectivore","foliage glean","neotrop","Parulidae","Black-throated Gray Warbler",-114.717797884542,39.8745033792046
"6690",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.733421655466,41.957331332576
"6720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-90.4330405160227,54.1739030100283
"6750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-98.7645906491835,57.0506021736025
"6760",0.00441885180331029,0.000816147242048852,0.000755426191807742,0.994009574762833,"LOWA","insectivore","ground glean","neotrop","Parulidae","Louisiana Waterthrush",-86.1709681589757,37.7891104262939
"6770",0.0114929691867634,7.93272775678772e-05,7.1148633177884e-05,0.988356554902491,"KEWA","insectivore","ground glean","neotrop","Parulidae","Kentucky Warbler",-86.651054924738,36.2656617032299
"6780",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-95.7628266681944,51.3131093981831
"6790",0.0494223573357473,0.532594563197522,0.0968089209185911,0.32117415854814,"MOWA","insectivore","foliage glean","neotrop","Parulidae","Mourning Warbler",-87.1468538292461,50.4748464153895
"6800",0.0832103728008032,0.160636798249841,0.0183957087071547,0.737757120242201,"MGWA","insectivore","foliage glean","neotrop","Parulidae","MacGillivray's Warbler",-117.19127250753,47.0019334457976
"6840",0.0263794768290713,0.329404643887411,0.0897869043759078,0.55442897490761,"HOWA","insectivore","foliage glean","neotrop","Parulidae","Hooded Warbler",-85.4546980966594,36.0038932234219
"6860",0.0543451280483064,0.0284400740961377,0.00568511895292816,0.911529678902628,"CAWA","insectivore","hover/glean","neotrop","Parulidae","Canada Warbler",-85.5344429656757,50.1065396211682
"6870",0.0504175581380712,0.011055562715437,-0.0029984878798535,0.941525367026345,"AMRE","insectivore","hover/glean","neotrop","Parulidae","American Redstart",-93.8439745906705,48.1449788823513
"6900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-107.987781843918,29.5498172977398
"7020",0.299375837848664,0.106947828790357,0.00691369040653961,0.58676264295444,"SATH","insectivore","ground glean","short","Mimidae","Sage Thrasher",-111.940856668929,42.609495591921
"7030",0.114822787889344,0.0608997049369488,-0.00882086189369182,0.833098369067399,"NOMO","insectivore","ground glean","resid","Mimidae","Northern Mockingbird",-98.7136435626659,37.9491178672939
"7080",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-110.886905801377,33.9200781898948
"7100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-119.648506585624,35.8717413023792
"7150",0.108164295310581,0.0224385399393992,0.0323003607310346,0.837096804018985,"ROWR","insectivore","ground glean","short","Troglodytidae","Rock Wren",-107.978340084746,36.4841109631784
"7190",0.102024067743946,0.0471858146605567,0.1105424125521,0.740247705043398,"BEWR","insectivore","ground glean","short","Troglodytidae","Bewick's Wren",-105.572393996998,33.312019308151
"7222",0.0312169043777771,0.53589458092837,0.118449783298802,0.314438731395051,"WIWR","insectivore","ground glean","short","Troglodytidae","unid. Pacific Wren / Winter Wren",59.9168981321992,83.67113954577
"7240",0.149151574605331,0.240393219904338,-0.0104150535093313,0.620870258999663,"SEWR","insectivore","ground glean","short","Troglodytidae","Sedge Wren",-73.4862040824722,-3.61962987214954
"7260",0.141615980121236,0.00561430774208091,-0.00300690042790519,0.855776612564589,"BRCR","insectivore","bark glean","short","Certhiidae","Brown Creeper",-100.400281773215,46.2318446986061
"7280",0.102433858027093,0.0476211052299802,-0.0060563512338126,0.856001387976739,"RBNU","insectivore","bark glean","short","Sittidae","Red-breasted Nuthatch",-102.412091549342,50.6687493399214
"7331",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-111.728768789773,37.835081282973
"7380",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-114.375140824933,43.9914458962322
"7400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-101.785597387525,59.0056416486287
"7410",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-123.405366565735,49.2574220616347
"7430",0.163979274349362,0.00124849740946939,0.00949360108614862,0.82527862715502,"BUSH","insectivore","foliage glean","resid","Aegithalidae","Bushtit",-108.705981791416,33.4359114557049
"7480",0.225781591132889,0.0148582131887034,0.0112368063508366,0.748123389327571,"GCKI","insectivore","foliage glean","short","Regulidae","Golden-crowned Kinglet",-102.763667535372,50.3237232311332
"7490",0.212617126816559,0.107978531279101,-0.01500159720516,0.694405939109499,"RCKI","insectivore","foliage glean","short","Regulidae","Ruby-crowned Kinglet",-104.032217867528,55.3235974712677
"7520",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106.24135037582,28.7728899208062
"7540",0.119282443158103,0.126140265902392,-0.0115090350809078,0.766086326020412,"TOSO","insectivore","hawks","short","Turdidae","Townsend's Solitaire",-117.795879352608,48.5544801800104
"7580",0.400073190098775,0.0154077360210501,0.0196106694585276,0.564908404421647,"SWTH","insectivore","foliage glean","neotrop","Turdidae","Swainson's Thrush",-103.242601443699,55.4531785594187
"7590",0.118108975726906,0.0203691800393541,-0.0109034014647716,0.872425245698512,"HETH","insectivore","ground glean","short","Turdidae","Hermit Thrush",-103.477323812816,52.1864627006818
"7670",0.354666510881639,0.0649590082282732,-0.0438824263965823,0.62425690728667,"WEBL","insectivore","hawks","short","Turdidae","Western Bluebird",-109.7437335474,34.740080112329
"7680",0.0760515753183963,0.0176058923663124,0.00941204230760191,0.896930490007689,"MOBL","insectivore","swoops","short","Turdidae","Mountain Bluebird",-114.874211934424,48.9313132476343
