"Species","Mean.Temp","Mean.Precip","Mean.Elev","Mean.EVI","SD.Temp","SD.Precip","SD.Elev","SD.EVI","stateroute","Longi","Lati","sum.EVI","elev.mean","mat","ap.mean","FocalCommonName","Family","FocalOcc","MainCompSum","FocalAbundance","AllCompSum","nroutes","comp_scaled","all_comp_scaled","zTemp","zPrecip","zElev","zEVI"
5210,5.21853002070393,825.573295487187,1242.54492058931,0.352527334127329,3.17376850787591,458.275494722332,823.411692667467,0.110832932673822,11222,-121.8,50.86,0.27949,1286.4665471881,4,448.891593140473,"Red Crossbill","Fringillidae",0.4,0,1.5,0,45,0,0,-0.383937901482126,-0.821954712143063,0.0533410285400603,-0.65898584802656
5210,5.21853002070393,825.573295487187,1242.54492058931,0.352527334127329,3.17376850787591,458.275494722332,823.411692667467,0.110832932673822,81029,-103.64,43.82,0.3285125,1537.09203468146,6.2,500.625164610333,"Red Crossbill","Fringillidae",1,0,40.8,0,45,0,0,0.309244350008668,-0.70906721965079,0.357715486329761,-0.216675978411617
5210,5.21853002070393,825.573295487187,1242.54492058931,0.352527334127329,3.17376850787591,458.275494722332,823.411692667467,0.110832932673822,14071,-122.86,38.04,0.4595625,113.980639395726,12.9,942.940535040585,"Red Crossbill","Fringillidae",0.4,0,1.33333333333333,0,45,0,0,2.42029938863972,0.256106296114546,-1.37059540354298,0.965734311007291
5210,5.21853002070393,825.573295487187,1242.54492058931,0.352527334127329,3.17376850787591,458.275494722332,823.411692667467,0.110832932673822,89043,-121.55,46.4,0.44955,1221.19873137322,5.1,1933.27430598322,"Red Crossbill","Fringillidae",0.666666666666667,0,9.3,0,45,0,0,-0.0373467757367289,2.4171072275361,-0.0259240783270076,0.875395638570764
5210,5.21853002070393,825.573295487187,1242.54492058931,0.352527334127329,3.17376850787591,458.275494722332,823.411692667467,0.110832932673822,69019,-122.55,43.9,0.44079,755.435681324897,7.8,1558.29237128378,"Red Crossbill","Fringillidae",0.266666666666667,0,3,0,45,0,0,0.813376896547427,1.59886156740837,-0.591574352905292,0.796357758865998
5210,5.21853002070393,825.573295487187,1242.54492058931,0.352527334127329,3.17376850787591,458.275494722332,823.411692667467,0.110832932673822,89111,-121.98,47.74,0.3975325,310.863567149793,10.3,1538.48441429262,"Red Crossbill","Fringillidae",0.0666666666666667,0,2,0,45,0,0,1.60108400051424,1.55563875226927,-1.13148909802495,0.406063114878677
5210,5.21853002070393,825.573295487187,1242.54492058931,0.352527334127329,3.17376850787591,458.275494722332,823.411692667467,0.110832932673822,50033,-91.53,47.7,0.35951,497.991354103879,3.1,733.872593994871,"Red Crossbill","Fringillidae",0.266666666666667,4,2.25,4,45,0.64,0.64,-0.667512458910178,-0.200099509025412,-0.904230014117752,0.0630017243450609
5210,5.21853002070393,825.573295487187,1242.54492058931,0.352527334127329,3.17376850787591,458.275494722332,823.411692667467,0.110832932673822,89004,-121.21,48.7,0.370835,1276.13475095545,4.9,1360.79280957317,"Red Crossbill","Fringillidae",0.0666666666666667,0,1,0,45,0,0,-0.100363344054074,1.16789904817029,0.040793482367647,0.165182544853792
5210,5.21853002070393,825.573295487187,1242.54492058931,0.352527334127329,3.17376850787591,458.275494722332,823.411692667467,0.110832932673822,91008,-89.6,46.17,0.50006,495.284938894596,3.7,835.473842974755,"Red Crossbill","Fringillidae",0.266666666666667,1.5,8.5,1.5,45,0.15,0.15,-0.478462753958143,0.0216039207891017,-0.907516845278135,1.33112660933421
5210,5.21853002070393,825.573295487187,1242.54492058931,0.352527334127329,3.17376850787591,458.275494722332,823.411692667467,0.110832932673822,33212,-115.49,44.96,0.2635025,2081.62806845374,2,650.938606518817,"Red Crossbill","Fringillidae",0.933333333333333,0,4.78571428571429,0,45,0,0,-1.01410358465558,-0.38106922796337,1.019032344739,-0.803234489782263
