"Longi","Lati","stateroute"
-88.23,38.24,34054
-88.97,38.44,34055
-88.16,38.7,34056
-89.23,37.23,34059
-89.74,37.97,34060
-88.94,37.31,34061
-88.51,37.07,34063
-86.28,41.02,35005
-84.93,41.6,35009
-87.36,40.67,35010
-87.03,40.4,35011
-86.18,40.58,35013
-86.69,40.14,35014
-87.39,38.09,35034
-85.94,38.66,35038
-91.67,40.76,36001
-93.17,40.88,36003
-90.29,41.97,36006
-93.1,41.4,36011
-94.14,41.65,36013
-96.37,42.49,36028
-99.27,37.16,38010
-95.9,38.97,38014
-95.85,38.53,38015
-96.56,38.36,38017
-95.56,39.08,38026
-96.87,39.9,38028
-96.02,39.76,38029
-97.01,39.93,38030
-83.7,36.6,39001
-86.63,36.99,39006
-85.26,36.7,39009
-84.99,36.61,39010
-84.16,38.43,39040
-83.92,38.2,39044
-91.82,30.06,42011
-93.34,30,42015
-91.44,31.97,42018
-92.45,30.08,42034
-92.96,31.56,42119
-70.95,44.92,44006
-70.96,44.62,44007
-70.56,44.14,44012
-70.29,44.33,44013
-69.43,44.98,44019
-70.19,45.23,44031
-70.21,45.07,44032
-69.03,45.05,44033
-69.92,45.86,44035
-68.53,45.61,44041
-96.71,49.71,45002
-98.01,49.38,45005
-96.6,50.06,45013
-99.98,50.2,45018
-96.85,49.36,45102
-99.83,49.05,45107
-79.16,39.43,46003
-78.81,39.61,46005
-77.86,39.61,46006
-77.09,39.15,46011
-77,39.11,46012
-77.03,39.51,46013
-77.02,39.64,46014
-76.96,39.63,46015
-76.81,39.55,46016
-76.76,39.7,46017
-76.84,39.01,46022
-76.84,38.52,46029
-77.07,38.6,46030
-76,39.62,46032
-75.94,39.51,46033
-76.14,39.26,46036
-76.18,39.09,46037
-75.88,38.78,46038
-76.07,38.78,46040
-76.24,38.36,46042
-76.21,38.52,46043
-75.79,38.52,46044
-75.78,38.44,46046
-75.57,38.16,46047
-75.26,38.22,46048
-76.51,39.03,46121
-76.66,38.98,46123
-70.16,41.75,47001
-72.35,42.26,47014
-72.9,42.46,47018
-72.84,42.37,47019
-73.46,42.12,47022
-87.44,45.64,49012
-86.21,43.9,49018
-86.12,42.51,49021
-85.88,43.06,49033
-85.12,43.59,49038
-84.8,42.1,49055
-82.89,42.65,49073
-93.49,43.81,50003
-93.33,44.65,50008
-93.88,45.6,50015
-94.19,45.16,50017
-90.7,47.73,50032
-91.53,47.7,50033
-91.8,47.06,50034
-92.98,47.06,50035
-93.61,47.34,50037
-95.11,47.79,50042
-96.3,47.9,50044
-94.55,48.26,50048
-88.62,33.15,51023
-88.76,30.81,51030
-89.39,33.55,51113
-90.74,36.59,52002
-89.52,37.3,52007
-91.55,37.37,52010
-91.42,37.9,52011
-93.51,37.45,52014
-94.11,37.14,52016
-92.43,38.58,52021
-92.18,39.45,52027
-94.06,39.71,52131
-114.46,48.1,53002
-107.86,48.22,53009
-114.2,47.71,53014
-113.66,46.72,53026
-112.49,46.62,53027
-111.91,46.12,53028
-113.95,45.85,53036
-111.76,45.91,53038
-109.54,45.72,53040
-96.73,42.19,54022
-115.63,40.09,55011
-67.41,45.33,56033
-65.71,45.63,56041
-71.86,42.9,58001
-72.16,42.8,58003
-70.91,43.23,58004
-71.61,43.24,58007
-71.19,43.24,58008
-71.29,43.99,58012
-72.38,43.02,58013
-72.21,43.07,58014
-71.7,44.17,58018
-71.31,44.6,58019
-75.09,40.65,59020
-74.67,41.3,59021
-105.67,35.57,60010
-108.44,34.63,60013
-104.22,34.1,60017
-108.18,33.92,60019
-107.32,33.74,60020
-105.84,33.68,60022
-104.82,33.08,60023
-103.62,33.31,60024
-106.72,32.38,60027
-104.39,32.65,60029
-108.99,31.92,60031
-104.37,35.65,60111
-103.5,35.4,60112
-108.01,36.83,60201
-73.98,41.75,61009
-75.15,42.56,61029
-75.93,42.34,61030
-75.09,42.43,61034
-76,42.35,61038
-77.94,42.27,61045
-77.11,42.89,61047
-77.25,42.77,61048
-77.22,42.66,61049
-78.89,42.27,61056
-78.36,42.59,61057
-78.94,42.05,61059
-78.85,43.06,61064
-79,43.25,61065
-73.3,43.21,61089
-74.18,44.43,61100
-78.59,42.08,61111
-74.98,42.07,61121
-74.49,44.52,61199
-76.67,34.95,63002
-77.87,34.13,63003
-78.07,34.53,63004
-77.44,35.96,63010
-77.71,35.28,63011
-77.97,36.25,63024
-83.21,35.31,63030
-81.64,35.82,63119
-99.46,46.8,64005
-98.24,47.48,64009
-99.05,47.08,64012
-103.05,48.58,64038
-102.69,48.66,64039
-100.05,47.64,64042
-100.24,48.84,64044
-61.56,45.15,65011
-62.6,44.93,65027
-65.46,44.75,65033
-84.12,41.38,66002
-80.74,41.68,66021
-82.76,40.46,66042
-82.16,39.31,66073
-82.53,39.96,66075
-82.28,39.23,66076
-81.88,39.27,66082
-83.45,41.54,66107
-96.12,35.72,67015
-94.69,36.92,67022
-95.12,36.91,67023
-102.78,36.58,67034
-79.91,43.95,68005
-79.75,43.55,68006
-76.78,44.25,68012
-77.35,44.06,68014
-77.06,44.35,68015
-79.63,44.71,68018
-81.21,44.3,68022
-76.86,45.56,68025
-77.78,45.51,68026
-81.8,45.71,68037
-94.25,49.71,68054
-94.16,48.68,68066
-76.35,44.83,68113
-122.55,43.9,69019
-123.21,42.97,69026
-121.8,42.37,69028
-120.79,42.66,69029
-123.26,44.72,69033
-122.77,44.71,69034
-124.24,42.25,69057
-80.49,41.63,72002
-80.32,41.71,72004
-79.34,41.53,72006
-79.04,41.63,72010
-78.85,41.56,72016
-77.12,41.65,72022
-77.29,41.07,72025
-76.66,41.31,72029
-76.02,41.74,72031
-76.06,41.95,72033
-76.45,41.22,72035
-80.34,40.16,72047
-79.23,40.62,72049
-79.55,40.84,72050
-79.7,40.96,72053
-79.23,40.66,72054
-79.36,40.8,72056
-78.99,40.47,72057
-78.06,40.91,72060
-78.2,40.42,72061
-78.33,40.44,72062
-78.13,40.57,72064
-77.39,40.56,72072
-75.96,40.78,72083
-75.46,40.16,72084
-75.34,40.8,72086
-80.05,39.93,72088
-79.06,39.87,72090
-78.95,39.78,72091
-76.96,41.54,72132
-79.57,40.37,72151
-79.26,40.19,72155
-77.36,40.32,72165
-77.49,39.74,72194
-76.1,45.56,76001
-73.33,45.08,76004
-73.4,45.71,76005
-74.06,45.78,76006
-72.58,45.95,76008
-71.13,46.01,76022
-70.61,47.65,76039
-70.85,45.38,76090
-74.68,45.78,76306
-107.85,52.25,79033
-81.03,32.25,80003
-80.46,33.32,80005
-96.88,43.33,81001
-97.47,43.94,81003
-103.64,43.82,81029
-89.07,35.36,82006
-88.81,35.34,82010
-87.32,35.87,82016
-87.67,35.49,82018
-86.66,36.5,82020
-84.34,36.04,82034
-82.07,36.31,82042
-85.36,35.1,82128
-99.26,27.97,83009
-96.5,28.52,83013
-97.02,29.78,83026
-94.93,30.71,83033
-99.14,30.35,83042
-94.81,31.2,83044
-94.52,31.88,83045
-98.04,32.16,83064
-103,29.19,83082
-97.7,26.53,83098
-102.24,35.75,83100
-98.05,30.24,83140
-114.02,40.45,85004
-111.95,39.9,85011
-111.18,37.92,85021
-113.63,41.96,85024
-113.89,41.7,85025
-113.48,39.61,85109
-72.58,43.47,87005
-72.4,44.33,87015
-79.16,38.19,88004
-78.5,38.57,88005
-78.56,38.81,88007
-82.47,37.21,88013
-81.94,37.01,88014
-78.78,37.7,88023
-77.62,37.21,88028
-77.14,36.6,88043
-77.28,36.59,88044
-124.27,48.25,89001
-123.38,48.11,89002
-121.21,48.7,89004
-124.29,47.34,89009
-117.92,47.73,89016
-119.27,48.72,89030
-121.55,46.4,89043
-121.98,47.74,89111
-81.11,37.61,90006
-81.02,38.71,90016
-81.79,38.58,90019
-80.79,38.82,90026
-81.03,39.09,90036
-78.5,39.18,90048
-89.6,46.17,91008
-92.23,45.59,91012
-91.47,45.31,91014
-90.08,45.32,91020
-89.63,45.31,91022
-89.15,45.92,91024
-88.77,45.46,91026
-88.62,45.37,91027
-88.01,45.5,91028
-87.87,45.44,91029
-90.35,44.81,91036
-90.06,44.69,91039
-88.95,44.42,91044
-88.17,44.87,91045
-87.7,44.05,91048
-87.64,44.58,91049
-90.35,43.78,91054
-89.86,43.44,91055
-89.22,43.53,91056
-88.33,43.65,91062
-87.87,43.37,91063
-88.7,42.91,91068
-88.05,42.61,91069
-87.98,42.8,91070
-106.71,44.78,92005
-106.12,42.86,92019
-104.28,42.01,92028
-110.73,44.88,92030
-109.63,43.53,92053
-106.87,43.88,92063
-106.99,42.56,92083
-105.29,42.21,92087
-106.38,41.68,92104
-105.81,42.83,92120
