AOU,Foraging,Trophic Group,Source,Notes
5470,ground glean,insct/om,The Birder's Handbook,
5480,ground glean,insct/om,The Birder's Handbook,
5490,ground glean,insct/om,The Birder's Handbook,
5491,ground glean,insct/om,The Birder's Handbook,
5500,ground glean,insct/om,The Birder's Handbook,
5520,ground glean,insct/om,The Birder's Handbook,
5540,ground glean,insct/om,The Birder's Handbook,
5570,ground glean,insct/om,The Birder's Handbook,
5580,ground glean,insct/om,The Birder's Handbook,
5590,ground glean,insct/om,The Birder's Handbook,
5600,ground glean,insct/om,The Birder's Handbook,
5610,ground glean,insct/om,The Birder's Handbook,
5620,ground glean,insct/om,The Birder's Handbook,
5630,ground glean,insct/om,The Birder's Handbook,
5650,ground glean,insct/om,The Birder's Handbook,
5660,ground glean,insct/om,The Birder's Handbook,
5670,ground glean,insct/om,The Birder's Handbook,
5671,ground glean,insct/om,The Birder's Handbook,
5677,ground glean,insct/om,The Birder's Handbook,
5690,ground glean,insct/om,The Birder's Handbook,
5700,ground glean,insct/om,The Birder's Handbook,
5730,ground glean,insct/om,The Birder's Handbook,
5740,ground glean,insct/om,The Birder's Handbook,
5750,ground glean,insct/om,The Birder's Handbook,
5760,ground glean,insct/om,The Birder's Handbook,
5780,ground glean,insct/om,The Birder's Handbook,
5790,foliage glean,insct/om,The Birder's Handbook,
5800,ground glean,insct/om,The Birder's Handbook,
5810,ground glean,insct/om,The Birder's Handbook,
5830,ground glean,insct/om,The Birder's Handbook,
5840,ground glean,insct/om,The Birder's Handbook,
5850,ground glean,insct/om,The Birder's Handbook,
5860,ground glean,insct/om,The Birder's Handbook,
5870,ground glean,insct/om,The Birder's Handbook,
5880,ground glean,insct/om,The Birder's Handbook,
5900,ground glean,insct/om,The Birder's Handbook,
5910,ground glean,insct/om,The Birder's Handbook,
5911,ground glean,insct/om,The Birder's Handbook,
5920,ground glean,insct/om,The Birder's Handbook,
5930,ground glean,insct/om,The Birder's Handbook,
5940,ground glean,insct/om,The Birder's Handbook,
5950,foliage glean,insectivore,The Birder's Handbook,
5960,foliage glean,insectivore,The Birder's Handbook,
5970,ground glean,insectivore,The Birder's Handbook,
5980,ground glean,insct/om,The Birder's Handbook,
5990,ground glean,insct/om,The Birder's Handbook,
6000,ground glean,insct/om,The Birder's Handbook,
6010,ground glean,insct/om,The Birder's Handbook,
6040,ground glean,insct/om,The Birder's Handbook,
6050,ground glean,insct/om,The Birder's Handbook,
6070,foliage glean,insectivore,The Birder's Handbook,
6080,hover/glean,insectivore,The Birder's Handbook,
6090,foliage glean,insct/om,The Birder's Handbook,
6100,foliage glean,insectivore,The Birder's Handbook,
6110,aerial foraging,insectivore,The Birder's Handbook,
6120,aerial foraging,insectivore,The Birder's Handbook,
6121,aerial foraging,insectivore,The Birder's Handbook,
6130,aerial foraging,insectivore,The Birder's Handbook,
6140,aerial foraging,insectivore,The Birder's Handbook,
6150,aerial foraging,insectivore,The Birder's Handbook,
6160,aerial foraging,insectivore,The Birder's Handbook,
6170,aerial foraging,insectivore,The Birder's Handbook,
6180,foliage glean,insct/om,The Birder's Handbook,
6190,foliage glean,insct/om,The Birder's Handbook,
6200,foliage glean,frugivore,The Birder's Handbook,
6210,swoops,insectivore,The Birder's Handbook,
6220,swoops,insectivore,The Birder's Handbook,
6230,foliage glean,insectivore,The Birder's Handbook,
6240,hover/glean,insectivore,The Birder's Handbook,
6260,hover/glean,insectivore,The Birder's Handbook,
6270,foliage glean,insectivore,The Birder's Handbook,
6280,foliage glean,insectivore,The Birder's Handbook,
6290,foliage glean,insectivore,The Birder's Handbook,
6291,foliage glean,insectivore,The Birder's Handbook,
6292,foliage glean,insectivore,The Birder's Handbook,
6295,foliage glean,insectivore,The Birder's Handbook,
6300,foliage glean,insectivore,The Birder's Handbook,
6310,foliage glean,insectivore,The Birder's Handbook,
6320,foliage glean,insectivore,The Birder's Handbook,
6330,foliage glean,insectivore,The Birder's Handbook,
6340,foliage glean,insectivore,The Birder's Handbook,
6360,bark glean,insectivore,The Birder's Handbook,
6370,bark glean,insectivore,The Birder's Handbook,
6380,ground glean,insectivore,The Birder's Handbook,
6390,foliage glean,insectivore,The Birder's Handbook,
6410,foliage glean,insectivore,The Birder's Handbook,
6420,foliage glean,insectivore,The Birder's Handbook,
6430,foliage glean,insectivore,The Birder's Handbook,
6440,ground glean,insectivore,The Birder's Handbook,
6450,foliage glean,insectivore,The Birder's Handbook,
6460,foliage glean,insectivore,The Birder's Handbook,
6470,foliage glean,insectivore,The Birder's Handbook,
6480,foliage glean,insectivore,The Birder's Handbook,
6490,foliage glean,insectivore,The Birder's Handbook,
6500,foliage glean,insectivore,The Birder's Handbook,
6510,foliage glean,insectivore,The Birder's Handbook,
6520,foliage glean,insectivore,The Birder's Handbook,
6540,hover/glean,insectivore,The Birder's Handbook,
6550,foliage glean,insectivore,The Birder's Handbook,
6556,foliage glean,insectivore,The Birder's Handbook,
6560,foliage glean,insectivore,The Birder's Handbook,
6570,hover/glean,insectivore,The Birder's Handbook,
6580,foliage glean,insectivore,The Birder's Handbook,
6590,foliage glean,insct/om,The Birder's Handbook,
6600,foliage glean,insectivore,The Birder's Handbook,
6610,foliage glean,insectivore,The Birder's Handbook,
6620,foliage glean,insct/om,The Birder's Handbook,
6630,bark glean,insectivore,The Birder's Handbook,
6640,foliage glean,insectivore,The Birder's Handbook,
6650,foliage glean,insectivore,The Birder's Handbook,
6660,foliage glean,insectivore,The Birder's Handbook,
6670,foliage glean,insectivore,The Birder's Handbook,
6680,foliage glean,insectivore,The Birder's Handbook,
6690,foliage glean,insectivore,The Birder's Handbook,
6700,foliage glean,insct/om,The Birder's Handbook,
6710,bark glean,insct/om,The Birder's Handbook,
6720,ground glean,insectivore,The Birder's Handbook,
6730,foliage glean,insectivore,The Birder's Handbook,
6740,ground glean,insectivore,The Birder's Handbook,
6750,ground glean,insectivore,The Birder's Handbook,
6760,ground glean,insectivore,The Birder's Handbook,
6770,ground glean,insectivore,The Birder's Handbook,
