AOU,Genus,Species,CommonName,Mass(g),added by AHH,Water Bird,Unknown,Notes
1230,Phalacrocorax,pelagicus,Pelagic Cormorant,1896.5,0,1,0,
1240,Phalacrocorax,urile,Red-faced Cormorant,2157,0,1,0,
1250,Pelecanus,erythrorhynchos,American White Pelican,7000,0,1,0,
1260,Pelecanus,occidentalis,Brown Pelican,3702,0,1,0,
1280,Fregata,magnificens,Magnificent Frigatebird,1281,0,1,0,
1281,Fregata,minor,Great Frigatebird,1063.5,0,1,0,
1282,Fregata,ariel,Lesser Frigatebird,805.75,0,1,0,
1290,Mergus,merganser,Common Merganser,1457.5,0,1,0,
1300,Mergus,serrator,Red-breasted Merganser,1135,0,1,0,
1310,Lophodytes,cucullatus,Hooded Merganser,680,0,1,0,
1311,Mergellus,albellus,Smew,610,0,1,0,
1320,Anas,platyrhynchos,Mallard,816.08,0,1,0,
1330,Anas,rubripes,American Black Duck,1300,0,1,0,
1340,Anas,fulvigula,Mottled Duck,1030,0,1,0,
1341,Anas,poecilorhyncha,Spot-billed Duck,1220,0,1,0,
1350,Anas,strepera,Gadwall,990,0,1,0,
1360,Anas,penelope,Eurasian Wigeon,788,0,1,0,
1370,Anas,americana,American Wigeon,742,0,1,0,
1371,Anas,falcata,Falcated Duck,637,0,1,0,
1390,Anas,crecca,Green-winged Teal,364,0,1,0,
1391,Anas,formosa,Baikal Teal,600,0,1,0,
1392,Anas,querquedula,Garganey,326,0,1,0,
1400,Anas,discors,Blue-winged Teal,409,0,1,0,
1410,Anas,cyanoptera,Cinnamon Teal,408,0,1,0,
1420,Anas,clypeata,Northern Shoveler,636,0,1,0,
1430,Anas,acuta,Northern Pintail,803,0,1,0,
1431,Anas,bahamensis,White-cheeked Pintail,486.5,0,1,0,
1440,Aix,sponsa,Wood Duck,681,0,1,0,
1460,Aythya,americana,Redhead,1100,0,1,0,
1461,Aythya,ferina,Common Pochard,823,0,1,0,
1470,Aythya,valisineria,Canvasback,1248,0,1,0,
1480,Aythya,marila,Greater Scaup,959.25,0,1,0,
1490,Aythya,affinis,Lesser Scaup,800,0,1,0,
1491,Aythya,fuligula,Tufted Duck,694,0,1,0,
1500,Aythya,collaris,Ring-necked Duck,730,0,1,0,
1510,Bucephala,clangula,Common Goldeneye,1000,0,1,0,
1520,Bucephala,islandica,Barrow's Goldeneye,1090,0,1,0,
1530,Bucephala,albeola,Bufflehead,404.25,0,1,0,
1540,Clangula,hyemalis,Oldsquaw,932,0,1,0,
1550,Histrionicus,histrionicus,Harlequin Duck,622,0,1,0,
1570,Polysticta,stelleri,Steller's Eider,799.25,0,1,0,
1580,Somateria,fischeri,Spectacled Eider,1403.5,0,1,0,
1600,Somateria,mollissima,Common Eider,2130.75,0,1,0,
1620,Somateria,spectabilis,King Eider,1668,0,1,0,
1630,Melanitta,nigra,Black Scoter,1100,0,1,0,
1650,Melanitta,fusca,White-winged Scoter,1628.5,0,1,0,
1660,Melanitta,perspicillata,Surf Scoter,1000,0,1,0,
1670,Oxyura,jamaicensis,Ruddy Duck,590,0,1,0,
1690,Anser,caerulescens,Snow Goose,3097,0,1,0,
1691,Anser,caerulescens,Snow Goose,3097,0,1,0,
1700,Anser,rossii,Ross's Goose,1572,0,1,0,
1710,Anser,albifrons,Greater White-fronted Goose,2539,0,1,0,
1711,Anser,fabalis,Bean Goose,2780.25,0,1,0,
1712,Anser,brachyrhynchus,Pink-footed Goose,2625,0,1,0,
1713,Anser,erythropus,Lesser White-fronted Goose,1964,0,1,0,
1720,Branta,canadensis,Canada Goose,2911.95,0,1,0,
1730,Branta,bernicla,Brant,1302.5,0,1,0,
1740,Branta,bernicla,Brant,1302.5,0,1,0,
1750,Branta,leucopsis,Barnacle Goose,1684,0,1,0,
1751,Branta,sandvicensis,Hawaiian Goose,2010,0,1,0,
1760,Anser,canagica,Emperor Goose,2743,0,1,0,
1770,Dendrocygna,autumnalis,Black-bellied Whistling-Duck,824.5,0,1,0,
1780,Dendrocygna,bicolor,#NAME?,710,0,1,0,
1782,Cygnus,olor,Mute Swan,10450,0,1,0,
1790,Cygnus,cygnus,Whooper Swan,9350,0,1,0,
1800,Cygnus,columbianus,Tundra Swan,6262.5,0,1,0,
1810,Cygnus,buccinator,Trumpeter Swan,11400,0,1,0,
1820,Phoenicopterus,ruber,Greater Flamingo,3120,0,1,0,
1830,Ajaia,ajaja,Roseate Spoonbill,1522.5,0,1,0,
1840,Eudocimus,albus,White Ibis,882.25,0,1,0,
1850,Eudocimus,ruber,Scarlet Ibis,664,0,1,0,
1860,Plegadis,falcinellus,Glossy Ibis,633.75,0,1,0,
1870,Plegadis,chihi,White-faced Ibis,626,0,1,0,
1880,Mycteria,americana,Wood Stork,2702,0,1,0,
1890,Jabiru,mycteria,Jabiru,6110,0,1,0,
1900,Botaurus,lentiginosus,American Bittern,706,0,1,0,
1910,Ixobrychus,exilis,Least Bittern,86,0,1,0,
1940,Ardea,herodias,Great Blue Heron,2576,0,1,0,
1960,Casmerodius,albus,Great Egret,935,0,1,0,
1961,Egretta,garzetta,Little Egret,500,0,1,0,
1962,Egretta,eulophotes,Chinese Egret,500,0,1,0,
1970,Egretta,thula,Snowy Egret,371,0,1,0,
1971,Egretta,gularis,Western Reef-Heron,400,0,1,0,
1980,Egretta,rufescens,Reddish Egret,450,0,1,0,
1990,Egretta,tricolor,Tricolored Heron,415,0,1,0,
2000,Egretta,caerulea,Little Blue Heron,364,0,1,0,
2001,Bubulcus,ibis,Cattle Egret,338,0,1,0,
2010,Butorides,striatus,Green Heron,212,0,1,0,
2020,Nycticorax,nycticorax,Black-crowned Night-Heron,883,0,1,0,
2030,Nyctanassa,violaceus,Yellow-crowned Night-Heron,716,0,1,0,
2040,Grus,americana,Whooping Crane,5826,0,1,0,
2060,Grus,canadensis,Sandhill Crane,4457.67,0,1,0,
2061,Grus,grus,Common Crane,5500,0,1,0,
2070,Aramus,guarauna,Limpkin,1080,0,1,0,
2080,Rallus,elegans,King Rail,352,0,1,0,
2110,Rallus,longirostris,Clapper Rail,292.75,0,1,0,
2120,Rallus,limicola,Virginia Rail,81.25,0,1,0,
2122,Pardirallus,maculatus,Spotted Rail,171,0,1,0,
2130,Porzana,porzana,Spotted Crake,78,0,1,0,
2140,Porzana,carolina,Sora,75,0,1,0,
2150,Coturnicops,noveboracensis,Yellow Rail,52,0,1,0,
2160,Laterallus,jamaicensis,Black Rail,34,0,1,0,
2170,Crex,crex,Corn Crake,155.75,0,1,0,
2171,Neocrex,erythrops,Paint-billed Crake,62,0,1,0,
2190,Gallinula,chloropus,Common Moorhen,300.25,0,1,0,
2200,Fulica,atra,Eurasian Coot,1150,0,1,0,
2210,Fulica,americana,American Coot,625.75,0,1,0,
2220,Phalaropus,fulicaria,Red Phalarope,50,0,1,0,
2230,Phalaropus,lobatus,Red-necked Phalarope,33,0,1,0,
2240,Steganopus,tricolor,Wilson's Phalarope,52,0,1,0,
2250,Recurvirostra,americana,American Avocet,316,0,1,0,
2260,Himantopus,mexicanus,Black-necked Stilt,166,0,1,0,
2280,Scolopax,minor,American Woodcock,176,0,1,0,
2300,Gallinago,gallinago,Common Snipe,112.5,0,1,0,
2310,Limnodromus,griseus,Short-billed Dowitcher,111.63,0,1,0,
2320,Limnodromus,scolopaceus,Long-billed Dowitcher,103,0,1,0,
2340,Calidris,canutus,Red Knot,139,0,1,0,
2341,Calidris,tenuirostris,Great Knot,167,0,1,0,
2350,Calidris,maritima,Purple Sandpiper,79.75,0,1,0,
2356,Calidris,ptilocnemis,Rock Sandpiper,81,0,1,0,
2380,Calidris,acuminata,Sharp-tailed Sandpiper,70,0,1,0,
2390,Calidris,melanotos,Pectoral Sandpiper,98,0,1,0,
2400,Calidris,fuscicollis,White-rumped Sandpiper,35,0,1,0,
2410,Calidris,bairdii,Baird's Sandpiper,39,0,1,0,
2411,Calidris,temminckii,Temminck's Stint,23,0,1,0,
2420,Calidris,minutilla,Least Sandpiper,23,0,1,0,
2421,Calidris,subminuta,Long-toed Stint,30,0,1,0,
2422,Calidris,ruficollis,Red-necked Stint,35.5,0,1,0,
2423,Calidris,minuta,Little Stint,23,0,1,0,
2430,Calidris,alpina,Dunlin,49.5,0,1,0,
2440,Calidris,ferruginea,Curlew Sandpiper,68,0,1,0,
2460,Calidris,pusilla,Semipalmated Sandpiper,31,0,1,0,
2470,Calidris,mauri,Western Sandpiper,23,0,1,0,
2480,Calidris,alba,Sanderling,57,0,1,0,
2490,Limosa,fedoa,Marbled Godwit,347.5,0,1,0,
2500,Limosa,lapponica,Bar-tailed Godwit,355.25,0,1,0,
2510,Limosa,haemastica,Hudsonian Godwit,222,0,1,0,
2520,Limosa,limosa,Black-tailed Godwit,290.75,0,1,0,
2530,Tringa,nebularia,Common Greenshank,174,0,1,0,
2532,Tringa,erythropus,Spotted Redshank,158,0,1,0,
2540,Tringa,melanoleuca,Greater Yellowlegs,171,0,1,0,
2550,Tringa,flavipes,Lesser Yellowlegs,81,0,1,0,
2560,Tringa,solitaria,Solitary Sandpiper,48,0,1,0,
2571,Tringa,glareola,Wood Sandpiper,66,0,1,0,
2580,Catoptrophorus,semipalmatus,Willet,215,0,1,0,
2600,Philomachus,pugnax,Ruff,171,0,1,0,
2610,Bartramia,longicauda,Upland Sandpiper,137,0,1,0,
2620,Tryngites,subruficollis,Buff-breasted Sandpiper,62.5,0,1,0,
2630,Actitis,macularia,Spotted Sandpiper,40.4,2,1,0,
2640,Numenius,americanus,Long-billed Curlew,582.5,0,1,0,
2641,Numenius,madagascariensis,Far Eastern Curlew,792,0,1,0,
2650,Numenius,phaeopus,Whimbrel,378.5,0,1,0,
2680,Numenius,tahitiensis,Bristle-thighed Curlew,378,0,1,0,
2690,Vanellus,vanellus,Northern Lapwing,229.75,0,1,0,
2700,Pluvialis,squatarola,Black-bellied Plover,220,0,1,0,
2720,Pluvialis,dominica,American Golden-Plover,145,0,1,0,
2721,Pluvialis,fulva,Pacific Golden-Plover,153,0,1,0,
2730,Charadrius,vociferus,Killdeer,98.25,0,1,0,
2740,Charadrius,semipalmatus,Semipalmated Plover,47.5,0,1,0,
2750,Charadrius,hiaticula,Common Ringed Plover,64,0,1,0,
2770,Charadrius,melodus,Piping Plover,55,0,1,0,
2780,Charadrius,alexandrinus,Snowy Plover,41,0,1,0,
2790,Charadrius,mongolus,Mongolian Plover,58,0,1,0,
2800,Charadrius,wilsonia,Wilson's Plover,55,0,1,0,
2810,Charadrius,montanus,Mountain Plover,109.5,0,1,0,
2820,Aphriza,virgata,Surfbird,193.5,0,1,0,
2830,Arenaria,interpres,Ruddy Turnstone,110,0,1,0,
2840,Arenaria,melanocephala,Black Turnstone,114,0,1,0,
2860,Haematopus,palliatus,American Oystercatcher,632,0,1,0,
2870,Haematopus,bachmani,Black Oystercatcher,645.5,0,1,0,
2880,Jacana,spinosa,Northern Jacana,79,0,1,0,
2881,Perdix,perdix,Gray Partridge,398,0,0,0,
2882,Alectoris,chukar,Chukar,619,0,0,0,
2883,Francolinus,francolinus,Black Francolin,482,0,0,0,
2884,Francolinus,pondicerianus,Gray Francolin,274,0,0,0,
2885,Francolinus,erckelii,Erckel's Francolin,1350,0,0,0,
2886,Coturnix,japonica,Japanese Quail,90,0,0,0,
2890,Colinus,virginianus,Northern Bobwhite,178,0,0,0,
2920,Oreortyx,pictus,Mountain Quail,233,0,0,0,
2930,Callipepla,squamata,Scaled Quail,191,0,0,0,
2940,Callipepla,californica,California Quail,176,0,0,0,
2950,Callipepla,gambelii,Gambel's Quail,170,0,0,0,
2960,Cyrtonyx,montezumae,Montezuma Quail,195,0,0,0,
2961,Numida,meleagris,Helmeted Guineafowl,1299,0,0,0,
2970,Dendragapus,obscurus,Blue Grouse,1188,0,0,0,
2980,Dendragapus,canadensis,Spruce Grouse,466.75,0,0,0,
3000,Bonasa,umbellus,Ruffed Grouse,621,0,0,0,
3010,Lagopus,lagopus,Willow Ptarmigan,601,0,0,0,
3020,Lagopus,mutus,Rock Ptarmigan,422,0,0,0,
3040,Lagopus,leucurus,White-tailed Ptarmigan,344.5,0,0,0,
3050,Tympanuchus,cupido,Greater Prairie-Chicken,892,0,0,0,
3070,Tympanuchus,pallidicinctus,Lesser Prairie-Chicken,756.25,0,0,0,
3080,Tympanuchus,phasianellus,Sharp-tailed Grouse,953,0,0,0,
3089,,,Sage/Sharp-tailed Grouse?,2071.5,1,0,1,
3090,Centrocercus,urophasianus,Sage Grouse,3190,0,0,0,
3091,Phasianus,colchicus,Ring-necked Pheasant,1317,0,0,0,
3093,Lophura,leucomelanos,Kalij Pheasant,894.5,0,0,0,
3094,Gallus,gallus,Red Junglefowl,844,0,0,0,
3095,Pavo,cristatus,Common Peafowl,2501.5,0,0,0,
3100,Meleagris,gallopavo,Wild Turkey,7400,0,0,0,
3110,Ortalis,vetula,Plain Chachalaca,579,0,0,0,
3111,Pterocles,exustus,Chestnut-belliedSandgrouse,200.25,0,0,0,
3120,Columba,fasciata,Band-tailed Pigeon,365.25,0,0,0,
3130,Columba,flavirostris,Red-billed Pigeon,324,0,0,0,
3131,Columba,livia,Rock Dove,369,0,0,0,
3140,Columba,leucocephala,White-crowned Pigeon,248.25,0,0,0,
3141,Columba,squamosa,Scaly-naped Pigeon,250,0,0,0,
3151,Streptopelia,chinensis,Spotted Dove,159,0,0,0,
3152,Streptopelia,risoria,Ringed Turtle-Dove,149,1,0,0,Based on mass of S. roseogrisea from Lislevand et al. 2007
3153,Geopelia,striata,Zebra Dove,56,0,0,0,
3160,Zenaida,macroura,Mourning Dove,123,1,0,0,
3180,Leptotila,verreauxi,White-tipped Dove,153,0,0,0,
3190,Zenaida,asiatica,White-winged Dove,153,1,0,0,
3200,Columbina,passerina,Common Ground-Dove,30,0,0,0,
3201,Columbina,talpacoti,Ruddy Ground-Dove,47,0,0,0,
3210,Columbina,inca,Inca Dove,48,0,0,0,
3220,Geotrygon,chrysia,Key West Quail-Dove,171,0,0,0,
3221,Geotrygon,montana,Ruddy Quail-Dove,115,0,0,0,
3240,Gymnogyps,californianus,California Condor,10104,0,0,0,
3250,Cathartes,aura,Turkey Vulture,1467,0,0,0,
3260,Coragyps,atratus,Black Vulture,2172,0,0,0,
3270,Elanoides,forficatus,Swallow-tailed Kite,442,0,0,0,
3271,Chondrohierax,uncinatus,Hook-billed Kite,278,0,0,0,
3280,Elanus,caeruleus,White-tailed Kite,334.75,0,0,0,
3290,Ictinia,mississippiensis,Mississippi Kite,276.75,0,0,0,
3300,Rostrhamus,sociabilis,Snail Kite,378,0,0,0,
3310,Circus,cyaneus,Northern Harrier,438,0,0,0,
3320,Accipiter,striatus,Sharp-shinned Hawk,137.5,0,0,0,
3330,Accipiter,cooperii,Cooper's Hawk,436.5,0,0,0,
3333,Accipiter,unk.,unid. Accipiter,527.42,1,0,1,
3340,Accipiter,gentilis,Northern Goshawk,1008.25,0,0,0,
3350,Parabuteo,unicinctus,Harris's Hawk,868.63,0,0,0,
3370,Buteo,jamaicensis,Red-tailed Hawk,1028,0,0,0,
3380,Buteo,jamaicensis,Harlan's Hawk=Red-tailed Hawk,1028,1,0,0,
3390,Buteo,lineatus,Red-shouldered Hawk,475,0,0,0,
3400,Buteo,albonotatus,Zone-tailed Hawk,759.5,0,0,0,
3410,Buteo,albicaudatus,White-tailed Hawk,884,0,0,0,
3420,Buteo,swainsoni,Swainson's Hawk,908,0,0,0,
3430,Buteo,platypterus,Broad-winged Hawk,420,0,0,0,
3431,Buteo,magnirostris,Roadside Hawk,269,0,0,0,
3440,Buteo,brachyurus,Short-tailed Hawk,495,0,0,0,
3450,Buteogallus,anthracinus,Common Black-Hawk,793,0,0,0,
3451,Buteo,unk.,unid. Buteo,709.93,1,0,1,
3470,Buteo,lagopus,Rough-legged Hawk,1034.25,0,0,0,
3480,Buteo,regalis,Ferruginous Hawk,1059,0,0,0,
3490,Aquila,chrysaetos,Golden Eagle,3477,0,0,0,
3510,Haliaeetus,albicilla,White-tailed Eagle,4757,0,0,0,
3520,Haliaeetus,leucocephalus,Bald Eagle,4822.75,0,0,0,
3540,Falco,rusticolus,Gyrfalcon,1434,0,0,0,
3550,Falco,mexicanus,Prairie Falcon,710.75,0,0,0,
3560,Falco,peregrinus,Peregrine Falcon,611,0,0,0,
3570,Falco,columbarius,Merlin,185.25,0,0,0,
3590,Falco,femoralis,Aplomado Falcon,332.5,0,0,0,
3591,Falco,tinnunculus,Eurasian Kestrel,202,0,0,0,
3600,Falco,sparverius,American Kestrel,111,0,0,0,
3620,Polyborus,plancus,Crested Caracara,834,0,0,0,
3640,Pandion,haliaetus,Osprey,1489,0,1,0,
3650,Tyto,alba,Barn Owl,386.5,0,0,0,
3660,Asio,otus,Long-eared Owl,260.5,0,0,0,
3670,Asio,flammeus,Short-eared Owl,347.25,0,0,0,
3680,Strix,varia,Barred Owl,731.25,0,0,0,
3690,Strix,occidentalis,Spotted Owl,618,0,0,0,
3700,Strix,nebulosa,Great Gray Owl,1039.5,0,0,0,
3710,Aegolius,funereus,Boreal Owl,130.5,0,0,0,
3720,Aegolius,acadicus,Northern Saw-whetOwl,84.75,0,0,0,
3730,Otus,asio,Eastern Screech-Owl,163,0,0,0,
3731,Otus,trichopsis,#NAME?,92.5,0,0,0,
3732,Otus,kennicottii,Western Screech-Owl,142.25,0,0,0,
3740,Otus,flammeolus,Flammulated Owl,55.5,0,0,0,
3741,Otus,sunia,Oriental Scops-Owl,84,0,0,0,
3750,Bubo,virginianus,Great Horned Owl,1350.08,0,0,0,
3760,Nyctea,scandiaca,Snowy Owl,2100.25,0,0,0,
3770,Surnia,ulula,Northern Hawk Owl,324,0,0,0,
3780,Athene,cunicularia,Burrowing Owl,162.5,0,0,0,
3790,Glaucidium,gnoma,Northern Pygmy-Owl,68.75,0,0,0,
3800,Glaucidium,brasilianum,#NAME?,69.75,0,0,0,
3810,Micrathene,whitneyi,Elf Owl,41,0,0,0,
3822,Melopsittacus,undulatus,Budgerigar,29,0,0,0,
3823,Psittacula,krameri,Rose-ringed Parakeet,117,0,0,0,
3824,Myiopsitta,monachus,Monk Parakeet,101,0,0,0,
3826,Amazona,viridigenalis,Red-crowned Parrot,294,0,0,0,
3830,Crotophaga,ani,Smooth-billed Ani,106.5,0,0,0,
3840,Crotophaga,sulcirostris,Groove-billed Ani,82.25,0,0,0,
3850,Geococcyx,californianus,Greater Roadrunner,376,0,0,0,
3860,Coccyzus,minor,Mangrove Cuckoo,64,0,0,0,
3870,Coccyzus,americanus,Yellow-billed Cuckoo,64,0,0,0,
3875,Coccyzus,sp.,unid. Cuckoo,57.5,1,0,1,Assigned mean of masses for AOU 3870 and 3880
3880,Coccyzus,erythropthalmus,Black-billed Cuckoo,51,0,0,0,
3881,Cuculus,saturatus,Oriental Cuckoo,98,0,0,0,
3882,Cuculus,canorus,Common Cuckoo,113,0,0,0,
3890,Trogon,elegans,Elegant Trogon,67,0,0,0,
3900,Megaceryle,alcyon,Belted Kingfisher,148,0,1,0,
3901,Megaceryle,torquata,Ringed Kingfisher,317,0,1,0,
3910,Chloroceryle,americana,Green Kingfisher,38,0,1,0,
3911,Upupa,epops,Eurasian Hoopoe,61,0,0,0,
3920,Unk.,sp.,unid. Woodpecker,59.89,1,0,1,Assigned mass of all woodpecker and sapsucker species in this table excluding Pilated Woodpecker
3930,Picoides,villosus,Hairy Woodpecker,66.25,0,0,0,
3940,Picoides,pubescens,Downy Woodpecker,27,0,0,0,
3950,Picoides,borealis,Red-cockaded Woodpecker,44,0,0,0,
3960,Picoides,scalaris,Ladder-backed Woodpecker,30,0,0,0,
3970,Picoides,nuttallii,Nuttall's Woodpecker,38,0,0,0,
3980,Picoides,stricklandi,Strickland's Woodpecker,49,0,0,0,
