"","FocalAOU","ENV","COMP","SHARED","NONE","ALPHA.CODE","Trophic.Group","Foraging","migclass","Family","CommonName"
"32",6390,0.111127481199101,0.0399764386421493,0.0375104571755962,0.811385622983153,"WEWA","insectivore","foliage glean","neotrop","Parulidae","Worm-eating Warbler"
"33",6410,0.0863992001771816,0.0716764666018314,-0.0209797649031791,0.862904098124166,"BWWA","insectivore","foliage glean","neotrop","Parulidae","Blue-winged Warbler"
"34",6450,0.0581282168227446,0.44723340658016,0.174317895068477,0.320320481528618,"NAWA","insectivore","foliage glean","neotrop","Parulidae","Nashville Warbler"
"35",6460,0.0343757627107961,0.616430899694629,0.00772237636541695,0.341470961229157,"OCWA","insectivore","foliage glean","neotrop","Parulidae","Orange-crowned Warbler"
"36",6540,0.0347299105879673,0.113393962599039,0.0390422155387262,0.812833911274267,"BTBW","insectivore","hover/glean","neotrop","Parulidae","Black-throated Blue Warbler"
"37",6570,0.0160260230008048,0.261401974814591,0.0309513458415184,0.691620656343085,"MAWA","insectivore","hover/glean","neotrop","Parulidae","Magnolia Warbler"
"38",6620,0.0291412165108632,0.478333305661472,0.0471418060323108,0.445383671795354,"BLBW","insct/om","foliage glean","neotrop","Parulidae","Blackburnian Warbler"
"39",6630,0.34346850049705,0.013738597621731,0.0124418048711521,0.630351097010067,"YTWA","insectivore","bark glean","neotrop","Parulidae","Yellow-throated Warbler"
"40",6650,0.321795498002686,0.0680496875519247,-0.0456419150156746,0.655796729461064,"BTYW","insectivore","foliage glean","neotrop","Parulidae","Black-throated Gray Warbler"
"41",6760,0.00441885180331029,0.000816147242048852,0.000755426191807742,0.994009574762833,"LOWA","insectivore","ground glean","neotrop","Parulidae","Louisiana Waterthrush"
"42",6770,0.0114929691867634,7.93272775678772e-05,7.1148633177884e-05,0.988356554902491,"KEWA","insectivore","ground glean","neotrop","Parulidae","Kentucky Warbler"
"43",6790,0.0494223573357473,0.532594563197522,0.0968089209185911,0.32117415854814,"MOWA","insectivore","foliage glean","neotrop","Parulidae","Mourning Warbler"
"44",6800,0.0832103728008032,0.160636798249841,0.0183957087071547,0.737757120242201,"MGWA","insectivore","foliage glean","neotrop","Parulidae","MacGillivray's Warbler"
"45",6840,0.0263794768290713,0.329404643887411,0.0897869043759078,0.55442897490761,"HOWA","insectivore","foliage glean","neotrop","Parulidae","Hooded Warbler"
"46",6860,0.0543451280483064,0.0284400740961377,0.00568511895292816,0.911529678902628,"CAWA","insectivore","hover/glean","neotrop","Parulidae","Canada Warbler"
"47",6870,0.0504175581380712,0.011055562715437,-0.0029984878798535,0.941525367026345,"AMRE","insectivore","hover/glean","neotrop","Parulidae","American Redstart"
"48",7020,0.299375837848664,0.106947828790357,0.00691369040653961,0.58676264295444,"SATH","insectivore","ground glean","short","Mimidae","Sage Thrasher"
"49",7030,0.114822787889344,0.0608997049369488,-0.00882086189369182,0.833098369067399,"NOMO","insectivore","ground glean","resid","Mimidae","Northern Mockingbird"
"50",7150,0.108164295310581,0.0224385399393992,0.0323003607310346,0.837096804018985,"ROWR","insectivore","ground glean","short","Troglodytidae","Rock Wren"
"51",7190,0.102024067743946,0.0471858146605567,0.1105424125521,0.740247705043398,"BEWR","insectivore","ground glean","short","Troglodytidae","Bewick's Wren"
"52",7222,0.0312169043777771,0.53589458092837,0.118449783298802,0.314438731395051,"WIWR","insectivore","ground glean","short","Troglodytidae","unid. Pacific Wren / Winter Wren"
"53",7240,0.149151574605331,0.240393219904338,-0.0104150535093313,0.620870258999663,"SEWR","insectivore","ground glean","short","Troglodytidae","Sedge Wren"
"54",7260,0.141615980121236,0.00561430774208091,-0.00300690042790519,0.855776612564589,"BRCR","insectivore","bark glean","short","Certhiidae","Brown Creeper"
"55",7280,0.102433858027093,0.0476211052299802,-0.0060563512338126,0.856001387976739,"RBNU","insectivore","bark glean","short","Sittidae","Red-breasted Nuthatch"
"56",7430,0.163979274349362,0.00124849740946939,0.00949360108614862,0.82527862715502,"BUSH","insectivore","foliage glean","resid","Aegithalidae","Bushtit"
"57",7480,0.225781591132889,0.0148582131887034,0.0112368063508366,0.748123389327571,"GCKI","insectivore","foliage glean","short","Regulidae","Golden-crowned Kinglet"
"58",7490,0.212617126816559,0.107978531279101,-0.01500159720516,0.694405939109499,"RCKI","insectivore","foliage glean","short","Regulidae","Ruby-crowned Kinglet"
"59",7540,0.119282443158103,0.126140265902392,-0.0115090350809078,0.766086326020412,"TOSO","insectivore","hawks","short","Turdidae","Townsend's Solitaire"
"60",7580,0.400073190098775,0.0154077360210501,0.0196106694585276,0.564908404421647,"SWTH","insectivore","foliage glean","neotrop","Turdidae","Swainson's Thrush"
"61",7590,0.118108975726906,0.0203691800393541,-0.0109034014647716,0.872425245698512,"HETH","insectivore","ground glean","short","Turdidae","Hermit Thrush"
"62",7670,0.354666510881639,0.0649590082282732,-0.0438824263965823,0.62425690728667,"WEBL","insectivore","hawks","short","Turdidae","Western Bluebird"
"63",7680,0.0760515753183963,0.0176058923663124,0.00941204230760191,0.896930490007689,"MOBL","insectivore","swoops","short","Turdidae","Mountain Bluebird"
