SampleID,Cruise,Date,Original_SampleNo,Original_StationNo,Depth,Lat,Lon,Daylength,Chl,QFChl,Temperature,QFTemp,SurfacePAR,QFPAR,Kd490,QFKd490,PARz,Nitrate,QFNO3,Nitrite,QFNO2,Ammonium,QFNH4,Phosphate,QFPO4,Silicate,QFSil,MLD,QFMLD
AMT1_30,AMT1,10-10-1995,9432,15,100,NA,NA,NA,0.48,0,NA,NA,50.2785342715,0,NA,NA,NA,1.4811111111,0,0.1255555556,0,NA,NA,0.3066666667,0,2.8548148148,0,NA,NA
AMT1_31,AMT1,11-10-1995,9446,16,7,-11.4695,-31.5546,12.3064545681,0.22,0,25.944,0,57.4510963422,0,0.0238400009,13,48.6209292669,0.09,0,0.01,0,NA,NA,0.06,0,1.1298,0,42.7718269143,2
AMT1_32,AMT1,11-10-1995,9448,16,140,-11.4695,-31.5546,12.3064545681,0.26,0,24.4855,0,57.4510963422,0,0.0238400009,13,2.0407838375,0.09,0,0.01,0,NA,NA,0.14,0,2.3638053097,0,42.7718269143,2
AMT1_33,AMT1,12-10-1995,9455,17,7,-15.5804,-33.4497,12.3940244799,0.13,0,25.525,0,47.661804186,0,0.0232100002,13,40.5145157945,0.09,0,0.01,0,NA,NA,0.11,0,1.446,0,37.3830289597,2
AMT1_34,AMT1,12-10-1995,9457,17,150,-15.5804,-33.4497,12.3940244799,0.59,0,24.162,0,47.661804186,0,0.0232100002,13,1.4661358837,0.09,0,0.01,0,NA,NA,0.16,0,1.11,0,37.3830289597,2
AMT1_35,AMT1,13-10-1995,9469,18,7,-19.6447,-35.3618,12.4923588153,0.13,0,25.0055,0,56.7241945338,0,0.0258699991,13,47.3284141681,0.01,0,0.01,0,NA,NA,0.09,0,1.565,0,30.4995489134,2
AMT1_36,AMT1,13-10-1995,9471,18,160,-19.6447,-35.3618,12.4923588153,0.21,0,23.6955,0,56.7241945338,0,0.0258699991,13,0.903933917,0.0293782383,0,0.0410880829,0,NA,NA,0.1443523316,0,1.6848704663,0,30.4995489134,2
AMT1_37,AMT1,14-10-1995,9475,19,7,-23.7904,-37.3878,12.6058841297,0.16,0,23.2375,0,35.6145772361,0,0.0301399995,13,28.8403379579,0.03,0,0.01,0,NA,NA,0.06,0,1.565,0,21.2800137803,2
AMT1_38,AMT1,14-10-1995,9477,19,120,-23.7904,-37.3878,12.6058841297,0.32,0,22.497,0,35.6145772361,0,0.0301399995,13,0.9569109829,0.0691435768,0,0.0126448363,0,NA,NA,0.1015869018,0,1.0919170984,0,21.2800137803,2
AMT1_39,AMT1,15-10-1995,9483,20,7,-27.1173,-40.138,12.7136022253,0.21,0,22.513,0,40.4975187596,0,0.0314299986,13,32.4996954007,0.03,0,0.01,0,NA,NA,0.06,0,1.15125,0,19.580741113,2
AMT1_40,AMT1,15-10-1995,9485,20,80,-27.1173,-40.138,12.7136022253,0.44,0,22.252,0,40.4975187596,0,0.0314299986,13,3.2767131151,0.03,0,0.01,0,NA,NA,0.061641791,0,1.2454228856,0,19.580741113,2
AMT1_41,AMT1,16-10-1995,9497,21,7,-30.2901,-43.3896,12.8300809483,0.25,0,19.2475,0,30.6209452504,0,0.0363500006,13,23.7417299109,0,0,0.01,0,NA,NA,0.04,0,0.945,0,20.3825101603,2
AMT1_42,AMT1,16-10-1995,9499,21,100,-30.2901,-43.3896,12.8300809483,0.47,0,19.1075,0,30.6209452504,0,0.0363500006,13,0.8079009579,0.1113043478,0,0.0385869565,0,NA,NA,0.0458695652,0,1.398,0,20.3825101603,2
AMT1_43,AMT1,17-10-1995,9504,22,7,-33.1801,-46.4154,12.9514286943,0.82,0,16.989,0,50.9191493036,0,0.0465199985,13,36.7669402191,0.1917142857,0,0.05,0,NA,NA,0.11,0,0.926,0,22.7052006227,2
AMT1_44,AMT1,17-10-1995,9506,22,40,-33.1801,-46.4154,12.9514286943,0.78,0,16.9075,0,50.9191493036,0,0.0465199985,13,7.9203795573,0.2881675393,0,0.0509424084,0,NA,NA,0.1106282723,0,1.0172277228,0,22.7052006227,2
AMT1_45,AMT1,22-10-1995,9539,23,7,-40.9514,-55.2599,13.4550386674,0.62,0,6.905,0,32.9641694847,0,0.0677300021,13,20.5181771531,19.6,0,0.18,0,NA,NA,1.28,0,2.41,0,19.6649717789,2
AMT1_46,AMT1,22-10-1995,9541,23,40,-40.9514,-55.2599,13.4550386674,1.14,0,6.2635,0,32.9641694847,0,0.0677300021,13,2.1950857552,19.72,0,0.1566666667,0,NA,NA,1.7344444444,0,3.8677777778,0,19.6649717789,2
AMT1_47,AMT1,23-10-1995,9547,24,7,-46.008,-56.2836,13.776900433,0.56,0,8.638,0,61.0317368444,0,0.0666799992,13,38.2687643181,16.24,0,0.2,0,NA,NA,1.05,0,1.63,0,19.1749503983,2
AMT1_48,AMT1,23-10-1995,9549,24,40,-46.008,-56.2836,13.776900433,0.92,0,8.576,0,61.0317368444,0,0.0666799992,13,4.2384347389,17.5398543689,0,0.2418874172,0,NA,NA,1.0981553398,0,2.9407526882,0,19.1749503983,2
AMT1_49,AMT1,24-10-1995,9560,25,7,-50.8081,-57.4196,14.1594642791,12.71,0,5.382,0,32.2211089077,0,0.1167199984,13,14.233264635,15.25,0,0.21,0,NA,NA,0.15,0,1.63,0,31.1630348579,2
AMT1_50,AMT1,24-10-1995,9561,25,30,-50.8081,-57.4196,14.1594642791,13.23,0,5.226,0,32.2211089077,0,0.1167199984,13,0.9714376817,16.4131067961,0,0.21,0,NA,NA,0.2886407767,0,2.41,0,31.1630348579,2
AMT2_51,AMT2,23-04-1996,9580,1,7,-47.5886,-55.597,10.2613112879,0.77,0,7.336,0,18.6776936452,0,0.0643000007,13,11.9082323371,10.31,0,0.32,0,NA,NA,1.32,0,1.69,0,23.703624522,2
AMT2_52,AMT2,23-04-1996,9581,1,60,-47.5886,-55.597,10.2613112879,0.77,0,7.0605,0,18.6776936452,0,0.0643000007,13,0.3942894158,10.270199005,0,0.359800995,0,NA,NA,1.4792537313,0,2.4166666667,0,23.703624522,2
AMT2_53,AMT2,24-04-1996,9584,2,7,-43.4254,-54.7414,10.4670384793,0.53,0,12.7895,0,19.6297643222,0,0.077229999,13,11.4322351421,5.4357251908,0,0.17,0,NA,NA,0.678778626,0,1.69,0,18.7822400228,2
AMT2_54,AMT2,24-04-1996,9585,2,30,-43.4254,-54.7414,10.4670384793,0.67,0,12.5355,0,19.6297643222,0,0.077229999,13,1.9350768318,6.2474528302,0,0.2425471698,0,NA,NA,0.8011320755,0,1.2313978495,0,18.7822400228,2
AMT2_55,AMT2,25-04-1996,9586,3,7,-39.4045,-53.3096,10.6454988673,0.49,0,19.106,0,18.0943060911,0,0.0621800013,13,11.7087602289,0,0,0.0809302326,0,NA,NA,0.1127906977,0,1.114,0,18.8754111822,2
AMT2_56,AMT2,25-04-1996,9589,3,50,-39.4045,-53.3096,10.6454988673,0.49,0,19.129,0,18.0943060911,0,0.0621800013,13,0.8078307128,0,0,0.09,0,NA,NA,0.1378787879,0,1.9851162791,0,18.8754111822,2
AMT2_57,AMT2,29-04-1996,9590,4,7,-36.0588,-49.8114,10.6805344626,0.25,0,20.7715,0,17.2874381038,0,0.04366,13,12.735076517,0.27,0,0.07,0,NA,NA,0.01,0,0.95,0,18.2971964448,2
AMT2_58,AMT2,29-04-1996,9591,4,80,-36.0588,-49.8114,10.6805344626,0.33,0,20.6815,0,17.2874381038,0,0.04366,13,0.5258076168,0.22,0,0.07,0,NA,NA,0.0892079208,0,0.942,0,18.2971964448,2
AMT2_59,AMT2,30-04-1996,9594,5,7,-33.3946,-46.6136,10.7869387999,0.21,0,20.4055,0,25.8953275622,0,0.034669999,13,20.3152646403,0,0,0.07,0,NA,NA,0.14,0,0.84875,0,22.7052006227,2
AMT2_60,AMT2,30-04-1996,9595,5,70,-33.3946,-46.6136,10.7869387999,0.38,0,19.4085,0,25.8953275622,0,0.034669999,13,2.2868209396,0,0,0.2134313725,0,NA,NA,0.2210784314,0,0.4159803922,0,22.7052006227,2
AMT2_61,AMT2,01-05-1996,9598,6,7,-30.31,-43.4269,10.9115766933,0.15,0,23.2845,0,28.3778215117,0,0.0333300009,13,22.4726249782,0,0,0.06,0,NA,NA,0.01,0,0.7271428571,0,20.3825101603,2
AMT2_62,AMT2,01-05-1996,9599,6,110,-30.31,-43.4269,10.9115766933,0.31,0,18.2655,0,28.3778215117,0,0.0333300009,13,0.7256465738,0.931047619,0,0.0931527094,0,NA,NA,0.128952381,0,0.9136842105,0,20.3825101603,2
AMT2_63,AMT2,02-05-1996,9602,7,7,-27.6196,-40.7161,11.0151678267,0.28,0,24.553,0,14.4845745633,0,0.0322199985,13,11.5599237844,0,0,0.07,0,NA,NA,0.03,0,0.47375,0,19.580741113,2
AMT2_64,AMT2,02-05-1996,9603,7,80,-27.6196,-40.7161,11.0151678267,0.27,0,21.99425,0,14.4845745633,0,0.0322199985,13,1.1001916335,0.7981651376,0,0.0893333333,0,NA,NA,0.03,0,0.48,0,19.580741113,2
AMT2_65,AMT2,03-05-1996,9606,8,7,-24.3494,-37.8635,11.1442288054,0.18,0,25.2035,0,19.4861452304,0,0.0308800004,13,15.6981631539,0,0,0.06,0,NA,NA,0.03,0,0.4681818182,0,19.074147855,2
AMT2_66,AMT2,03-05-1996,9607,8,100,-24.3494,-37.8635,11.1442288054,0.27,0,22.425,0,19.4861452304,0,0.0308800004,13,0.8884327424,0,0,0.07,0,NA,NA,0.0311320755,0,0.59,0,19.074147855,2
AMT2_67,AMT2,04-05-1996,9610,9,7,-19.9084,-35.5309,11.3226335509,0.17,0,27.36,0,31.0836220849,0,0.0297999997,13,25.2311933837,0,0,0.13,0,NA,NA,0.06,0,0.45,0,30.4995489134,2
AMT2_68,AMT2,04-05-1996,9613,9,80,-19.9084,-35.5309,11.3226335509,0.71,0,25.0245,0,31.0836220849,0,0.0297999997,13,2.865323006,0.0025,0,0.1316666667,0,NA,NA,0.13125,0,0.3369473684,0,30.4995489134,2
AMT2_69,AMT2,05-05-1996,9614,10,7,-15.1714,-33.3054,11.5104575542,0.05,0,28.1765,0,34.1844558577,0,0.0238499995,13,28.9283197351,0,0,0.1,0,NA,NA,0.11,0,0.45,0,37.3830289597,2
AMT2_70,AMT2,05-05-1996,9615,10,150,-15.1714,-33.3054,11.5104575542,0.28,0,23.224,0,34.1844558577,0,0.0238499995,13,0.9553009128,0,0,0.1,0,NA,NA,0.11,0,0.4540322581,0,37.3830289597,2
AMT2_71,AMT2,06-05-1996,9618,11,7,-11.2464,-31.4648,11.663878163,0.08,0,28.504,0,33.1571946255,0,0.0244600009,13,27.9394514113,0,0,0.1,0,NA,NA,0.09,0,0.45,0,42.7718269143,2
AMT2_72,AMT2,06-05-1996,9619,11,70,-11.2464,-31.4648,11.663878163,0.15,0,25.835,0,33.1571946255,0,0.0244600009,13,5.9838229998,0,0,0.1,0,NA,NA,0.09,0,0.3279816514,0,42.7718269143,2
AMT2_73,AMT2,06-05-1996,9620,11,130,-11.2464,-31.4648,11.663878163,0.3,0,22.817,0,33.1571946255,0,0.0244600009,13,1.3791392963,0.1423558897,0,0.1,0,NA,NA,0.2336340852,0,0.4185714286,0,42.7718269143,2
AMT2_74,AMT2,07-05-1996,9624,12,7,-7.4763,-29.7628,11.8127619987,0.08,0,28.581,0,40.2183889287,0,0.0279799998,13,33.0646365343,0,0,0.19,0,NA,NA,0.12,0,0.605,0,63.0205288409,2
AMT2_75,AMT2,07-05-1996,9628,12,30,-7.4763,-29.7628,11.8127619987,0.2,0,28.5415,0,40.2183889287,0,0.0279799998,13,17.3731225972,0,0,0.19,0,NA,NA,0.12,0,1.0319387755,0,63.0205288409,2
AMT2_76,AMT2,07-05-1996,9625,12,100,-7.4763,-29.7628,11.8127619987,0.52,0,23.2205,0,40.2183889287,0,0.0279799998,13,2.4505790633,0.2803921569,0,0.2458823529,0,NA,NA,0.3258823529,0,5.7265591398,0,63.0205288409,2
AMT2_77,AMT2,08-05-1996,9630,13,7,-3.9165,-28.2124,11.9560606955,0.12,0,28.388,0,43.7647075662,0,0.0378799997,13,33.5711722906,0,0,0.17,0,NA,NA,0.11,0,0.9916666667,0,49.3693192619,2
AMT2_78,AMT2,08-05-1996,9631,13,60,-3.9165,-28.2124,11.9560606955,0.5,0,22.6175,0,43.7647075662,0,0.0378799997,13,4.5087851341,3.5967961165,0,0.17,0,NA,NA,0.4958252427,0,1.8837209302,0,49.3693192619,2
AMT2_79,AMT2,09-05-1996,9634,14,7,-0.1951,-26.3851,12.1102677159,0.12,0,28.49,0,46.2201286121,0,0.0363700017,13,35.8314276389,0,0,0.17,0,NA,NA,0.09,0,0.9916666667,0,38.6240872853,2
AMT2_80,AMT2,09-05-1996,9635,14,40,-0.1951,-26.3851,12.1102677159,0.31,0,26.5675,0,46.2201286121,0,0.0363700017,13,10.7899518643,0,0,0.17,0,NA,NA,0.0937113402,0,1.220989011,0,38.6240872853,2
AMT2_81,AMT2,09-05-1996,9636,14,70,-0.1951,-26.3851,12.1102677159,0.69,0,22.3415,0,46.2201286121,0,0.0363700017,13,3.6237712529,0.6652173913,0,0.1869565217,0,NA,NA,0.2343478261,0,3.0166666667,0,38.6240872853,2
AMT2_82,AMT2,10-05-1996,9640,15,7,3.4015,-24.8052,12.2645797456,0.21,0,28.6305,0,42.7806724887,0,0.0375000015,13,32.9037427533,0,0,0.1694890511,0,NA,NA,0.06,0,0.9866666667,0,34.9375136228,2
AMT2_83,AMT2,10-05-1996,9641,15,60,3.4015,-24.8052,12.2645797456,0.49,0,17.729,0,42.7806724887,0,0.0375000015,13,4.5090493034,11.31375,0,0.37375,0,NA,NA,1.0795833333,0,4.3147826087,0,34.9375136228,2
AMT2_84,AMT2,11-05-1996,9644,16,7,7.5785,-22.9468,12.4511900782,0.22,0,26.799,0,40.2997786904,0,0.042059999,13,30.0218660551,0,0,0.18,0,NA,NA,0.05,0,0.86375,0,24.6760766885,2
AMT2_85,AMT2,11-05-1996,9645,16,50,7.5785,-22.9468,12.4511900782,0.81,0,18.3295,0,40.2997786904,0,0.042059999,13,4.9201844981,6.2342990654,0,0.3486915888,0,NA,NA,0.5314953271,0,3.9038297872,0,24.6760766885,2
AMT2_86,AMT2,12-05-1996,9648,17,7,11.7404,-21.0588,12.6471043276,0.28,0,26.1645,0,43.3648766717,0,0.0502500013,13,30.505280855,0,0,0.1902380952,0,NA,NA,0.07,0,0.86375,0,25.2687681569,2
AMT2_87,AMT2,12-05-1996,9649,17,40,11.7404,-21.0588,12.6471043276,1.64,0,18.527,0,43.3648766717,0,0.0502500013,13,5.8104020615,7.1470588235,0,0.3142105263,0,NA,NA,0.6042105263,0,2.0161538462,0,25.2687681569,2
AMT2_88,AMT2,14-05-1996,9652,18,7,21.7646,-21.4735,13.1700862336,0.13,0,21.8275,0,60.0518911284,0,0.0521299988,13,41.6915741223,0,0,0.19,0,NA,NA,0.05,0,0.57,0,75.9446828865,2
AMT2_89,AMT2,14-05-1996,9653,18,70,21.7646,-21.4735,13.1700862336,0.58,0,20.366,0,60.0518911284,0,0.0521299988,13,1.5622219337,0,0,0.19,0,NA,NA,0.05,0,0.57,0,75.9446828865,2
AMT2_90,AMT2,15-05-1996,9656,19,7,26.5409,-21.7865,13.4572599962,0.09,0,21.352,0,51.5827154705,0,0.0307199992,13,41.6019337392,0,0,0.19,0,NA,NA,0.03,0,0.556,0,99.8504105613,2
AMT2_91,AMT2,15-05-1996,9657,19,90,26.5409,-21.7865,13.4572599962,0.24,0,19.622,0,51.5827154705,0,0.0307199992,13,3.2491282017,0,0,0.19,0,NA,NA,0.07,0,0.69,0,99.8504105613,2
AMT2_92,AMT2,16-05-1996,9660,20,7,30.9106,-21.2587,13.7515011491,0.12,0,19.0785,0,58.1536951639,0,0.0284899995,13,47.6393655122,0,0,0.19,0,NA,NA,0,0,0.5533333333,0,113.3176443918,2
AMT2_93,AMT2,16-05-1996,9661,20,80,30.9106,-21.2587,13.7515011491,0.54,0,17.919,0,58.1536951639,0,0.0284899995,13,5.9529652959,0.0040229885,0,0.2301149425,0,NA,NA,0.0005747126,0,1.0968965517,0,113.3176443918,2
AMT2_94,AMT2,17-05-1996,9664,21,7,35.6675,-20.4248,14.1124076708,0.13,0,16.9585,0,61.9922124538,0,0.0331699997,13,49.1471457924,0,0,0.19,0,NA,NA,0.05,0,0.5533333333,0,105.2813828276,2
AMT2_95,AMT2,17-05-1996,9665,21,60,35.6675,-20.4248,14.1124076708,0.47,0,15.482,0,61.9922124538,0,0.0331699997,13,8.4723573578,1.7298,0,0.4579,0,NA,NA,0.1924,0,1.1946428571,0,105.2813828276,2
AMT2_96,AMT2,18-05-1996,9668,22,7,39.8961,-19.9964,14.4850222568,0.23,0,15.1225,0,61.626365461,0,0.0585200004,13,40.9130787882,0,0,0.2293043478,0,NA,NA,0.08,0,0.63,0,118.5880572436,2
AMT2_97,AMT2,18-05-1996,9669,22,40,39.8961,-19.9964,14.4850222568,0.3,0,14.533,0,61.626365461,0,0.0585200004,13,5.9315749774,0.0796629213,0,0.2220224719,0,NA,NA,0.101011236,0,0.6625,0,118.5880572436,2
AMT2_98,AMT2,19-05-1996,9672,23,7,44.1269,-20.0239,14.9203776078,0.19,0,13.6275,0,60.9446817196,0,0.0915199965,13,32.1151094898,1.58,0,0.29,0,NA,NA,0.16,0,0.6864705882,0,178.077662876,2
AMT2_99,AMT2,19-05-1996,9673,23,50,44.1269,-20.0239,14.9203776078,0.21,0,13.6045,0,60.9446817196,0,0.0915199965,13,0.627486432,1.6084848485,0,0.3005050505,0,NA,NA,0.14,0,0.86125,0,178.077662876,2
AMT2_100,AMT2,20-05-1996,9676,24,7,46.4879,-14.062,15.214132653,0.35,0,12.383,0,62.7809904554,0,0.0810799971,13,35.5909840244,3.4106060606,0,0.3001515152,0,NA,NA,0.2401515152,0,0.55,0,215.6062059573,2
AMT2_101,AMT2,20-05-1996,9677,24,20,46.4879,-14.062,15.214132653,0.38,0,12.356,0,62.7809904554,0,0.0810799971,13,12.4044141047,3.45,0,0.31,0,NA,NA,0.25,0,0.65,0,215.6062059573,2
AMT2_102,AMT2,21-05-1996,9680,25,7,48.7466,-8.0992,15.5293891696,2.01,0,11.6005,0,37.9114950247,0,0.1130999997,13,17.1767094908,0.64,0,0.26,0,NA,NA,0.07,0,0.55,0,189.9708525562,2
AMT2_103,AMT2,21-05-1996,9681,25,30,48.7466,-8.0992,15.5293891696,1.94,0,11.5945,0,37.9114950247,0,0.1130999997,13,1.2741182531,1.78,0,0.2669875776,0,NA,NA,0.07,0,0.3,0,189.9708525562,2
AMT3_104,AMT3,24-09-1996,9643,1,7,47.3563,-18.184,12.0652580171,0.689,0,11.5945,0,20.5876617569,0,0.0609799996,13,13.4345796689,0.4,0,0.11,0,NA,NA,0,0,0.31,0,251.6456950318,2
AMT3_105,AMT3,24-09-1996,9645,1,40,47.3563,-18.184,12.0652580171,0.326,0,11.5945,0,20.5876617569,0,0.0609799996,13,1.7958742818,2.1925,0,0.2439130435,0,NA,NA,0,0,0.487,0,251.6456950318,2
AMT3_106,AMT3,25-09-1996,9647,2,7,42.903,-19.992,12.0188762413,0.223,0,11.5945,0,20.8392772631,0,0.0400100015,13,15.7488843121,1,0,NA,NA,NA,NA,0.14,0,0.31,0,157.8323221111,2
AMT3_107,AMT3,25-09-1996,9649,2,40,42.903,-19.992,12.0188762413,0.406,0,11.5945,0,20.8392772631,0,0.0400100015,13,4.2056946484,1,0,NA,NA,NA,NA,0.169015544,0,0.487,0,157.8323221111,2
AMT3_108,AMT3,26-09-1996,9651,3,7,38.1715,-20.0155,11.9884270581,0.146,0,11.5945,0,35.6452891044,0,0.0285299998,13,29.1923589943,0,0,0,0,NA,NA,0,0,0.22,0,127.9950342326,2
AMT3_109,AMT3,26-09-1996,9653,3,40,38.1715,-20.0155,11.9884270581,0.198,0,11.5945,0,35.6452891044,0,0.0285299998,13,11.3863697499,0,0,0,0,NA,NA,0.8376136364,0,0.4440932642,0,127.9950342326,2
AMT3_110,AMT3,26-09-1996,9655,3,80,38.1715,-20.0155,11.9884270581,0.365,0,11.5945,0,35.6452891044,0,0.0285299998,13,3.6372103955,4.3643654822,0,0.1195939086,0,NA,NA,0.6402030457,0,1.6268472906,0,127.9950342326,2
